pg_id,x,y,t,inf_neighbors,inf_reps
13,0,0,0,1 4 7 10,010 | 100 | 110 | 120
14,0,0,1,1 4 7 10,010 | 100 | 110 | 120
15,0,0,2,1 4 7 10,010 | 100 | 110 | 120
16,0,1,0,1 5 8 11,010 | 101 | 111 | 121
17,0,1,1,1 5 8 11,010 | 101 | 111 | 121
18,0,1,2,1 5 8 11,010 | 101 | 111 | 121
19,0,2,0,1 6 9 12,010 | 102 | 112 | 122
20,0,2,1,1 6 9 12,010 | 102 | 112 | 122
21,0,2,2,1 6 9 12,010 | 102 | 112 | 122
22,1,0,0,3 4 9 11,012 | 100 | 112 | 121
23,1,0,1,3 4 9 11,012 | 100 | 112 | 121
24,1,0,2,3 4 9 11,012 | 100 | 112 | 121
25,1,1,0,3 5 7 12,012 | 101 | 110 | 122
26,1,1,1,3 5 7 12,012 | 101 | 110 | 122
27,1,1,2,3 5 7 12,012 | 101 | 110 | 122
28,1,2,0,3 6 8 10,012 | 102 | 111 | 120
29,1,2,1,3 6 8 10,012 | 102 | 111 | 120
30,1,2,2,3 6 8 10,012 | 102 | 111 | 120
31,2,0,0,2 4 8 12,011 | 100 | 111 | 122
32,2,0,1,2 4 8 12,011 | 100 | 111 | 122
33,2,0,2,2 4 8 12,011 | 100 | 111 | 122
34,2,1,0,2 5 9 10,011 | 101 | 112 | 120
35,2,1,1,2 5 9 10,011 | 101 | 112 | 120
36,2,1,2,2 5 9 10,011 | 101 | 112 | 120
37,2,2,0,2 6 7 11,011 | 102 | 110 | 121
38,2,2,1,2 6 7 11,011 | 102 | 110 | 121
39,2,2,2,2 6 7 11,011 | 102 | 110 | 121
