edge_id,gen,orient_before,orient_after,flip_Z2
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,1,1,0
13,0,1,1,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,1,1
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,0,0,1,1
22,0,0,1,1
23,0,1,1,0
24,0,0,1,1
25,0,0,1,1
26,0,0,1,1
27,0,0,1,1
28,0,0,1,1
29,0,0,1,1
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,1,1
34,0,0,1,1
35,0,0,1,1
36,0,0,1,1
37,0,0,1,1
38,0,0,1,1
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,1,0,1
43,0,1,0,1
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,1,1
50,0,0,0,0
51,0,0,0,0
52,0,0,1,1
53,0,1,0,1
54,0,1,0,1
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,1,1
61,0,0,0,0
62,0,0,0,0
63,0,0,1,1
64,0,1,0,1
65,0,1,0,1
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,1,1
72,0,0,0,0
73,0,0,0,0
74,0,0,1,1
75,0,1,1,0
76,0,0,1,1
77,0,0,1,1
78,0,0,0,0
79,0,0,1,1
80,0,0,1,1
81,0,0,0,0
82,0,0,1,1
83,0,0,1,1
84,0,0,0,0
85,0,1,1,0
86,0,0,1,1
87,0,0,1,1
88,0,0,0,0
89,0,0,1,1
90,0,0,1,1
91,0,0,0,0
92,0,0,1,1
93,0,0,1,1
94,0,0,0,0
95,0,1,1,0
96,0,0,1,1
97,0,0,1,1
98,0,0,0,0
99,0,0,1,1
100,0,0,1,1
101,0,0,0,0
102,0,0,1,1
103,0,0,1,1
104,0,0,0,0
105,0,0,1,1
106,0,0,1,1
107,0,0,0,0
108,0,0,1,1
109,0,0,1,1
110,0,0,0,0
111,0,0,1,1
112,0,0,1,1
113,0,0,0,0
114,0,0,1,1
115,0,0,1,1
116,0,0,0,0
117,0,0,1,1
118,0,0,1,1
119,0,0,0,0
120,0,0,1,1
121,0,0,1,1
122,0,0,0,0
123,0,0,1,1
124,0,0,1,1
125,0,0,0,0
126,0,0,1,1
127,0,0,1,1
128,0,0,0,0
129,0,0,1,1
130,0,0,1,1
131,0,0,0,0
132,0,1,1,0
133,0,1,1,0
134,0,1,1,0
135,0,1,1,0
136,0,1,1,0
137,0,1,1,0
138,0,1,1,0
139,0,1,1,0
140,0,1,1,0
141,0,1,1,0
142,0,1,1,0
143,0,1,1,0
144,0,1,0,1
145,0,1,0,1
146,0,1,0,1
147,0,1,0,1
148,0,1,0,1
149,0,1,0,1
150,0,1,1,0
151,0,1,1,0
152,0,1,1,0
153,0,1,1,0
154,0,1,1,0
155,0,1,1,0
156,0,1,1,0
157,0,1,1,0
158,0,1,1,0
159,0,1,1,0
160,0,1,1,0
161,0,1,1,0
162,0,1,0,1
163,0,1,0,1
164,0,1,0,1
165,0,1,1,0
166,0,1,1,0
167,0,1,1,0
168,0,1,1,0
169,0,1,1,0
170,0,1,1,0
171,0,1,0,1
172,0,1,0,1
173,0,1,0,1
174,0,1,1,0
175,0,1,1,0
176,0,1,0,1
177,0,1,0,1
178,0,1,0,1
179,0,1,0,1
180,0,1,0,1
181,0,1,0,1
182,0,1,1,0
183,0,1,0,1
184,0,1,0,1
185,0,1,0,1
186,0,1,0,1
187,0,1,0,1
188,0,1,0,1
189,0,1,0,1
190,0,1,0,1
191,0,1,0,1
192,0,1,0,1
193,0,1,0,1
194,0,1,0,1
195,0,1,1,0
196,0,1,0,1
197,0,1,1,0
198,0,1,1,0
199,0,1,0,1
200,0,1,1,0
201,0,1,0,1
202,0,1,1,0
203,0,1,1,0
204,0,1,0,1
205,0,1,1,0
206,0,1,0,1
207,0,1,1,0
208,0,1,1,0
209,0,1,0,1
210,0,1,0,1
211,0,1,1,0
212,0,1,1,0
213,0,1,0,1
214,0,1,0,1
215,0,1,1,0
216,0,1,1,0
217,0,1,0,1
218,0,1,0,1
219,0,1,1,0
220,0,1,1,0
221,0,1,0,1
222,0,1,0,1
223,0,1,0,1
224,0,1,1,0
225,0,1,0,1
226,0,1,0,1
227,0,1,1,0
228,0,1,0,1
229,0,1,0,1
230,0,1,1,0
231,0,1,1,0
232,0,1,0,1
233,0,1,1,0
234,0,1,0,1
235,0,1,1,0
236,0,1,0,1
237,0,1,0,1
238,0,1,0,1
239,0,1,0,1
0,1,0,0,0
1,1,0,1,1
2,1,0,1,1
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,1,0,1
13,1,1,0,1
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,1,1
20,1,0,0,0
21,1,0,0,0
22,1,0,1,1
23,1,1,1,0
24,1,0,0,0
25,1,0,0,0
26,1,0,0,0
27,1,0,0,0
28,1,0,0,0
29,1,0,0,0
30,1,0,0,0
31,1,0,0,0
32,1,0,0,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,1,1,0
43,1,1,1,0
44,1,0,0,0
45,1,0,0,0
46,1,0,0,0
47,1,0,0,0
48,1,0,0,0
49,1,0,0,0
50,1,0,0,0
51,1,0,0,0
52,1,0,0,0
53,1,1,1,0
54,1,1,1,0
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,1,0,0,0
61,1,0,0,0
62,1,0,0,0
63,1,0,0,0
64,1,1,0,1
65,1,1,0,1
66,1,0,0,0
67,1,0,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,1,0,0,0
72,1,0,0,0
73,1,0,0,0
74,1,0,0,0
75,1,1,1,0
76,1,0,0,0
77,1,0,0,0
78,1,0,0,0
79,1,0,0,0
80,1,0,0,0
81,1,0,0,0
82,1,0,0,0
83,1,0,0,0
84,1,0,0,0
85,1,1,1,0
86,1,0,0,0
87,1,0,0,0
88,1,0,0,0
89,1,0,0,0
90,1,0,0,0
91,1,0,0,0
92,1,0,0,0
93,1,0,0,0
94,1,0,0,0
95,1,1,1,0
96,1,0,0,0
97,1,0,0,0
98,1,0,0,0
99,1,0,0,0
100,1,0,0,0
101,1,0,0,0
102,1,0,0,0
103,1,0,0,0
104,1,0,0,0
105,1,0,0,0
106,1,0,0,0
107,1,0,0,0
108,1,0,0,0
109,1,0,0,0
110,1,0,0,0
111,1,0,0,0
112,1,0,0,0
113,1,0,0,0
114,1,0,0,0
115,1,0,0,0
116,1,0,0,0
117,1,0,0,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,1,0,0,0
122,1,0,0,0
123,1,0,0,0
124,1,0,0,0
125,1,0,0,0
126,1,0,0,0
127,1,0,0,0
128,1,0,0,0
129,1,0,0,0
130,1,0,0,0
131,1,0,0,0
132,1,1,1,0
133,1,1,1,0
134,1,1,1,0
135,1,1,1,0
136,1,1,1,0
137,1,1,1,0
138,1,1,1,0
139,1,1,1,0
140,1,1,1,0
141,1,1,1,0
142,1,1,1,0
143,1,1,1,0
144,1,1,1,0
145,1,1,1,0
146,1,1,1,0
147,1,1,1,0
148,1,1,1,0
149,1,1,1,0
150,1,1,1,0
151,1,1,1,0
152,1,1,1,0
153,1,1,1,0
154,1,1,1,0
155,1,1,1,0
156,1,1,1,0
157,1,1,1,0
158,1,1,1,0
159,1,1,1,0
160,1,1,1,0
161,1,1,1,0
162,1,1,1,0
163,1,1,1,0
164,1,1,1,0
165,1,1,1,0
166,1,1,1,0
167,1,1,1,0
168,1,1,1,0
169,1,1,1,0
170,1,1,1,0
171,1,1,1,0
172,1,1,1,0
173,1,1,1,0
174,1,1,1,0
175,1,1,1,0
176,1,1,1,0
177,1,1,1,0
178,1,1,1,0
179,1,1,1,0
180,1,1,1,0
181,1,1,1,0
182,1,1,1,0
183,1,1,1,0
184,1,1,1,0
