qid,pocket_a,pocket_b,core6,x,y,z
0,0,31,0 1 2 14 15 17,0,0,0
1,34,38,0 1 3 14 16 18,1,1,0
2,9,14,0 1 4 10 11 14,1,1,2
3,2,28,0 1 5 7 12 14,2,2,0
4,19,24,0 1 6 8 13 14,1,1,1
5,1,44,0 1 14 22 24 34,0,0,2
6,16,50,0 1 14 23 25 35,2,2,1
7,41,6,0 1 14 20 30 32,2,2,2
8,51,5,0 1 14 21 31 33,0,0,1
9,48,33,7 8 19 28 29 31,2,0,2
10,49,17,7 9 18 24 26 27,2,1,1
11,4,12,8 9 17 25 26 27,0,2,1
12,21,20,9 10 26 27 30 31,1,0,0
13,13,45,10 19 24 25 28 29,1,2,1
14,40,42,17 18 19 28 29 30,0,1,2
15,27,29,5 6 19 28 29 33,0,1,0
16,11,10,5 9 16 22 26 27,1,0,1
17,39,7,6 9 15 23 26 27,2,1,2
18,18,37,9 11 26 27 32 33,0,2,2
19,43,25,11 19 22 23 28 29,2,0,0
20,32,53,15 16 19 28 29 32,1,2,2
21,30,15,2 3 19 20 28 29,2,0,1
22,36,35,2 9 13 26 27 35,1,0,2
23,8,22,3 9 12 26 27 34,0,2,0
24,26,3,4 9 20 21 26 27,2,1,0
25,47,46,4 19 28 29 34 35,0,1,1
26,23,52,12 13 19 21 28 29,1,2,0
