tV,tF,tC,swapE1,swapE2
0,0,0,0,2
0,0,1,0,2
0,1,0,0,4
0,1,3,0,4
0,2,0,2,5
0,2,2,2,5
0,3,0,4,5
0,3,6,4,5
0,4,1,2,6
0,4,7,2,6
0,5,1,0,6
0,5,5,0,6
0,7,3,0,9
0,7,5,0,9
0,8,3,4,9
0,8,7,4,9
0,10,2,5,9
0,10,5,5,9
0,11,5,5,6
0,11,6,5,6
0,12,2,2,9
0,12,7,2,9
0,14,6,4,6
0,14,7,4,6
1,0,0,0,1
1,0,1,0,1
1,1,0,0,3
1,1,3,0,3
1,2,0,3,5
1,2,2,3,5
1,3,0,1,5
1,3,6,1,5
1,5,1,0,8
1,5,5,0,8
1,6,1,1,8
1,6,4,1,8
1,7,3,0,10
1,7,5,0,10
1,9,3,3,10
1,9,4,3,10
1,10,2,5,8
1,10,5,5,8
1,11,5,5,10
1,11,6,5,10
1,13,2,3,8
1,13,4,3,8
1,15,4,1,10
1,15,6,1,10
2,0,0,1,2
2,0,1,1,2
2,1,0,3,4
2,1,3,3,4
2,2,0,2,3
2,2,2,2,3
2,3,0,1,4
2,3,6,1,4
2,4,1,2,7
2,4,7,2,7
2,6,1,1,7
2,6,4,1,7
2,8,3,4,7
2,8,7,4,7
2,9,3,3,7
2,9,4,3,7
2,12,2,2,11
2,12,7,2,11
2,13,2,3,11
2,13,4,3,11
2,14,6,4,11
2,14,7,4,11
2,15,4,1,11
2,15,6,1,11
3,4,1,6,7
3,4,7,6,7
3,5,1,6,8
3,5,5,6,8
3,6,1,7,8
3,6,4,7,8
3,7,3,9,10
3,7,5,9,10
3,8,3,7,9
3,8,7,7,9
3,9,3,7,10
3,9,4,7,10
3,10,2,8,9
3,10,5,8,9
3,11,5,6,10
3,11,6,6,10
3,12,2,9,11
3,12,7,9,11
3,13,2,8,11
3,13,4,8,11
3,14,6,6,11
3,14,7,6,11
3,15,4,10,11
3,15,6,10,11
