class_index,order,size,fix_points40,fix_lines40,fix_edges240,fix_duads120,chi_1,chi_20,chi_15,chi_24,chi_60,chi_15prime,chi_81
18,1,1,40,40,240,120,1,20,15,24,60,15,81
14,2,270,0,4,8,12,1,4,3,0,4,-1,-3
19,2,45,8,16,32,16,1,4,7,8,-4,-1,9
10,3,480,4,7,6,3,1,-1,3,3,-3,0,0
15,3,240,4,1,6,3,1,5,0,0,-3,3,0
1,3,40,13,4,24,12,1,2,-3,6,6,6,0
17,3,40,13,4,24,12,1,2,-3,6,6,6,0
2,4,3240,0,2,0,2,1,0,1,0,0,-1,-1
12,4,540,4,0,0,0,1,0,-1,0,0,3,-3
8,5,5184,0,0,0,0,1,0,0,-1,0,0,1
4,6,2160,0,1,2,3,1,1,0,0,1,-1,0
7,6,1440,2,1,2,1,1,1,1,-1,-1,2,0
11,6,720,2,1,2,1,1,1,-2,2,-1,-1,0
13,6,720,2,1,2,1,1,1,-2,2,-1,-1,0
0,6,360,5,4,8,4,1,-2,1,2,2,2,0
16,6,360,5,4,8,4,1,-2,1,2,2,2,0
5,9,2880,1,1,0,0,1,-1,0,0,0,0,0
9,9,2880,1,1,0,0,1,-1,0,0,0,0,0
3,12,2160,1,0,0,0,1,0,-1,0,0,0,0
6,12,2160,1,0,0,0,1,0,-1,0,0,0,0
