class_index,order,size,c0_id,c1_sameLineOtherMatch,c2_skew_selected,c3_meetLine,c4_skew_other,chi_dim1,chi_dim20,chi_dim15,chi_dim24,chi_dim60
18,1,1,120,0,0,0,0,1,20,15,24,60
14,2,270,12,0,60,0,48,1,4,3,0,4
19,2,45,16,32,72,0,0,1,4,7,8,-4
10,3,480,3,18,27,18,54,1,-1,3,3,-3
15,3,240,3,0,81,36,0,1,5,0,0,-3
1,3,40,12,0,0,108,0,1,2,-3,6,6
17,3,40,12,0,0,108,0,1,2,-3,6,6
2,4,3240,2,4,30,24,60,1,0,1,0,0
12,4,540,0,0,24,48,48,1,0,-1,0,0
8,5,5184,0,0,30,30,60,1,0,0,-1,0
4,6,2160,3,0,33,36,48,1,1,0,0,1
7,6,1440,1,2,45,18,54,1,1,1,-1,-1
11,6,720,1,2,27,72,18,1,1,-2,2,-1
13,6,720,1,2,27,72,18,1,1,-2,2,-1
0,6,360,4,8,0,36,72,1,-2,1,2,2
16,6,360,4,8,0,36,72,1,-2,1,2,2
5,9,2880,0,3,18,36,63,1,-1,0,0,0
9,9,2880,0,3,18,36,63,1,-1,0,0,0
3,12,2160,0,0,24,48,48,1,0,-1,0,0
6,12,2160,0,0,24,48,48,1,0,-1,0,0
