tail_line,head_line,tri_a,tri_b,tri_c,image_face,edge_special_face,holonomy
0,18,7,18,24,"9,26,27","7,24,27",1
0,19,8,17,25,"9,26,27","8,25,27",1
0,33,6,15,23,"9,26,27","6,23,27",1
0,36,3,12,34,"9,26,27","3,26,34",1
0,37,2,13,35,"9,26,27","2,26,35",1
0,38,5,16,22,"9,26,27","5,22,27",1
1,5,2,19,22,"3,23,31","2,22,31",1
1,21,1,18,21,"3,23,31","1,21,31",1
1,29,8,11,29,"3,23,31","8,29,31",1
1,33,6,10,27,"3,23,31","6,23,27",1
1,35,0,16,35,"3,23,31","0,23,35",1
1,39,9,12,30,"3,23,31","9,30,31",1
2,4,5,19,35,"6,30,34","5,30,35",1
2,7,8,14,32,"6,30,34","8,32,34",1
2,15,4,18,28,"6,30,34","4,28,34",1
2,31,0,13,22,"6,30,34","0,22,34",1
2,36,3,10,26,"6,30,34","3,26,34",1
2,39,9,15,31,"6,30,34","9,30,31",1
3,6,7,19,23,"8,20,22","7,20,23",1
3,8,6,14,24,"8,20,22","6,20,24",1
3,16,9,17,21,"8,20,22","9,20,21",1
3,26,3,11,28,"8,20,22","3,20,28",1
3,32,4,16,26,"8,20,22","4,20,26",1
3,34,1,13,30,"8,20,22","1,20,30",1
4,2,6,19,34,"5,30,35","6,30,34",1
4,12,7,14,32,"5,30,35","7,32,35",1
4,20,4,17,29,"5,30,35","4,29,35",1
4,35,0,12,23,"5,30,35","0,23,35",1
4,37,2,10,26,"5,30,35","2,26,35",1
4,39,9,16,31,"5,30,35","9,30,31",1
5,1,3,19,23,"2,22,31","3,23,31",1
5,21,1,17,21,"2,22,31","1,21,31",1
5,24,7,11,28,"2,22,31","7,28,31",1
5,31,0,15,34,"2,22,31","0,22,34",1
5,38,5,10,27,"2,22,31","5,22,27",1
5,39,9,13,30,"2,22,31","9,30,31",1
6,3,8,19,22,"7,20,23","8,20,22",1
6,10,5,14,25,"7,20,23","5,20,25",1
6,16,9,18,21,"7,20,23","9,20,21",1
6,22,2,11,29,"7,20,23","2,20,29",1
6,32,4,15,26,"7,20,23","4,20,26",1
6,34,1,12,30,"7,20,23","1,20,30",1
7,2,6,14,30,"8,32,34","6,30,34",1
7,12,7,19,35,"8,32,34","7,32,35",1
7,15,4,16,28,"8,32,34","4,28,34",1
7,23,9,17,33,"8,32,34","9,32,33",1
7,27,1,13,24,"8,32,34","1,24,34",1
7,36,3,11,26,"8,32,34","3,26,34",1
8,3,8,14,22,"6,20,24","8,20,22",1
8,10,5,19,25,"6,20,24","5,20,25",1
8,14,0,13,32,"6,20,24","0,20,32",1
8,16,9,15,21,"6,20,24","9,20,21",1
8,26,3,10,28,"6,20,24","3,20,28",1
8,32,4,18,26,"6,20,24","4,20,26",1
9,11,2,19,24,"3,25,33","2,24,33",1
9,13,6,10,29,"3,25,33","6,29,33",1
9,19,8,11,27,"3,25,33","8,25,27",1
9,23,9,12,32,"3,25,33","9,32,33",1
9,25,0,16,21,"3,25,33","0,21,33",1
9,28,1,18,35,"3,25,33","1,25,35",1
10,6,7,14,23,"5,20,25","7,20,23",1
10,8,6,19,24,"5,20,25","6,20,24",1
10,14,0,12,32,"5,20,25","0,20,32",1
10,16,9,16,21,"5,20,25","9,20,21",1
10,22,2,10,29,"5,20,25","2,20,29",1
10,32,4,17,26,"5,20,25","4,20,26",1
11,9,3,19,25,"2,24,33","3,25,33",1
11,17,5,10,28,"2,24,33","5,28,33",1
11,18,7,11,27,"2,24,33","7,24,27",1
11,23,9,13,32,"2,24,33","9,32,33",1
11,25,0,15,21,"2,24,33","0,21,33",1
11,27,1,17,34,"2,24,33","1,24,34",1
12,4,5,14,30,"7,32,35","5,30,35",1
12,7,8,19,34,"7,32,35","8,32,34",1
12,20,4,15,29,"7,32,35","4,29,35",1
12,23,9,18,33,"7,32,35","9,32,33",1
12,28,1,12,25,"7,32,35","1,25,35",1
12,37,2,11,26,"7,32,35","2,26,35",1
13,9,3,10,25,"6,29,33","3,25,33",1
13,17,5,19,28,"6,29,33","5,28,33",1
13,20,4,18,35,"6,29,33","4,29,35",1
13,23,9,15,32,"6,29,33","9,32,33",1
13,25,0,13,21,"6,29,33","0,21,33",1
13,29,8,14,31,"6,29,33","8,29,31",1
14,8,6,13,24,"0,20,32","6,20,24",1
14,10,5,12,25,"0,20,32","5,20,25",1
14,22,2,15,29,"0,20,32","2,20,29",1
14,26,3,16,28,"0,20,32","3,20,28",1
14,32,4,11,26,"0,20,32","4,20,26",1
14,34,1,14,30,"0,20,32","1,20,30",1
15,2,6,18,30,"4,28,34","6,30,34",1
15,7,8,16,32,"4,28,34","8,32,34",1
15,17,5,17,33,"4,28,34","5,28,33",1
15,24,7,15,31,"4,28,34","7,28,31",1
15,27,1,10,24,"4,28,34","1,24,34",1
15,31,0,11,22,"4,28,34","0,22,34",1
