u,v
0,18
0,19
0,33
0,36
0,37
0,38
1,5
1,21
1,29
1,33
1,35
1,39
2,4
2,7
2,15
2,31
2,36
2,39
3,6
3,8
3,16
3,26
3,32
3,34
4,12
4,20
4,35
4,37
4,39
5,21
5,24
5,31
5,38
5,39
6,10
6,16
6,22
6,32
6,34
7,12
7,15
7,23
7,27
7,36
8,10
8,14
8,16
8,26
8,32
9,11
9,13
9,19
9,23
9,25
9,28
10,14
10,16
10,22
10,32
11,17
11,18
11,23
11,25
11,27
12,20
12,23
12,28
12,37
13,17
13,20
13,23
13,25
13,29
14,22
14,26
14,32
14,34
15,17
15,24
15,27
15,31
16,22
16,26
17,23
17,24
17,25
18,19
18,27
18,30
18,38
19,28
19,30
19,33
20,28
20,29
20,35
21,24
21,25
21,29
21,30
22,26
22,34
24,29
24,39
25,30
26,34
27,31
27,36
28,35
28,37
29,39
30,33
30,38
31,36
31,38
32,34
33,35
33,38
35,37
36,37
