edgepair,pocket0,pocket1
"((0, 1), (0, 2))",428,430
"((0, 1), (0, 3))",348,350
"((0, 1), (0, 4))",174,176
"((0, 1), (1, 2))",448,450
"((0, 1), (1, 3))",407,409
"((0, 1), (1, 4))",300,302
"((0, 1), (2, 3))",383,385
"((0, 1), (2, 4))",245,247
"((0, 1), (3, 4))",89,91
"((0, 2), (0, 3))",342,344
"((0, 2), (0, 4))",168,170
"((0, 2), (1, 2))",434,436
"((0, 2), (1, 3))",401,403
"((0, 2), (1, 4))",294,296
"((0, 2), (2, 3))",377,379
"((0, 2), (2, 4))",239,241
"((0, 2), (3, 4))",83,85
"((0, 3), (0, 4))",141,143
"((0, 3), (1, 2))",354,356
"((0, 3), (1, 3))",334,336
"((0, 3), (1, 4))",270,272
"((0, 3), (2, 3))",325,327
"((0, 3), (2, 4))",213,215
"((0, 3), (3, 4))",54,56
"((0, 4), (1, 2))",180,182
"((0, 4), (1, 3))",162,164
"((0, 4), (1, 4))",129,131
"((0, 4), (2, 3))",154,156
"((0, 4), (2, 4))",115,117
"((0, 4), (3, 4))",12,14
"((1, 2), (1, 3))",413,415
"((1, 2), (1, 4))",306,308
"((1, 2), (2, 3))",387,389
"((1, 2), (2, 4))",249,251
"((1, 2), (3, 4))",93,95
"((1, 3), (1, 4))",288,290
"((1, 3), (2, 3))",369,371
"((1, 3), (2, 4))",233,235
"((1, 3), (3, 4))",72,74
"((1, 4), (2, 3))",278,280
"((1, 4), (2, 4))",200,202
"((1, 4), (3, 4))",42,44
"((2, 3), (2, 4))",223,225
"((2, 3), (3, 4))",64,66
"((2, 4), (3, 4))",28,30
