stab_index,axis_unit,silent_sign,phi0,phi1,phi2,phi3,phi4,phi5,phi6,bit0,bit1,bit2,bit3,bit4,bit5,bit6
0,7,1,1,2,4,3,5,6,7,1,1,1,0,0,1,0
1,7,-1,1,2,4,3,5,6,7,1,1,0,0,1,0,1
2,7,-1,1,2,4,3,5,6,7,1,0,1,1,0,0,1
3,7,1,1,2,4,3,5,6,7,1,0,0,1,1,1,0
4,7,-1,1,2,4,3,5,6,7,0,1,1,1,1,1,1
5,7,1,1,2,4,3,5,6,7,0,1,0,1,0,0,0
6,7,1,1,2,4,3,5,6,7,0,0,1,0,1,0,0
7,7,-1,1,2,4,3,5,6,7,0,0,0,0,0,1,1
40,7,-1,1,3,5,2,4,6,7,1,1,1,1,1,0,1
41,7,1,1,3,5,2,4,6,7,1,1,0,1,0,1,0
42,7,1,1,3,5,2,4,6,7,1,0,1,0,1,1,0
43,7,-1,1,3,5,2,4,6,7,1,0,0,0,0,0,1
44,7,1,1,3,5,2,4,6,7,0,1,1,0,0,0,0
45,7,-1,1,3,5,2,4,6,7,0,1,0,0,1,1,1
46,7,-1,1,3,5,2,4,6,7,0,0,1,1,0,1,1
47,7,1,1,3,5,2,4,6,7,0,0,0,1,1,0,0
64,7,-1,1,4,2,5,3,6,7,1,1,1,0,0,0,1
65,7,1,1,4,2,5,3,6,7,1,1,0,0,1,1,0
66,7,1,1,4,2,5,3,6,7,1,0,1,1,0,1,0
67,7,-1,1,4,2,5,3,6,7,1,0,0,1,1,0,1
68,7,1,1,4,2,5,3,6,7,0,1,1,1,1,0,0
69,7,-1,1,4,2,5,3,6,7,0,1,0,1,0,1,1
70,7,-1,1,4,2,5,3,6,7,0,0,1,0,1,1,1
71,7,1,1,4,2,5,3,6,7,0,0,0,0,0,0,0
104,7,1,1,5,3,4,2,6,7,1,1,1,1,1,1,0
105,7,-1,1,5,3,4,2,6,7,1,1,0,1,0,0,1
106,7,-1,1,5,3,4,2,6,7,1,0,1,0,1,0,1
107,7,1,1,5,3,4,2,6,7,1,0,0,0,0,1,0
108,7,-1,1,5,3,4,2,6,7,0,1,1,0,0,1,1
109,7,1,1,5,3,4,2,6,7,0,1,0,0,1,0,0
110,7,1,1,5,3,4,2,6,7,0,0,1,1,0,0,0
111,7,-1,1,5,3,4,2,6,7,0,0,0,1,1,1,1
192,7,-1,2,1,4,3,6,5,7,1,1,1,1,0,1,1
193,7,1,2,1,4,3,6,5,7,1,1,0,1,1,0,0
194,7,1,2,1,4,3,6,5,7,1,0,1,0,0,0,0
195,7,-1,2,1,4,3,6,5,7,1,0,0,0,1,1,1
196,7,1,2,1,4,3,6,5,7,0,1,1,0,1,1,0
197,7,-1,2,1,4,3,6,5,7,0,1,0,0,0,0,1
198,7,-1,2,1,4,3,6,5,7,0,0,1,1,1,0,1
199,7,1,2,1,4,3,6,5,7,0,0,0,1,0,1,0
240,7,-1,2,3,6,1,4,5,7,1,1,1,0,1,1,1
241,7,1,2,3,6,1,4,5,7,1,1,0,0,0,0,0
242,7,1,2,3,6,1,4,5,7,1,0,1,1,1,0,0
243,7,-1,2,3,6,1,4,5,7,1,0,0,1,0,1,1
244,7,1,2,3,6,1,4,5,7,0,1,1,1,0,1,0
245,7,-1,2,3,6,1,4,5,7,0,1,0,1,1,0,1
246,7,-1,2,3,6,1,4,5,7,0,0,1,0,0,0,1
247,7,1,2,3,6,1,4,5,7,0,0,0,0,1,1,0
256,7,1,2,4,1,6,3,5,7,1,1,1,0,1,0,0
257,7,-1,2,4,1,6,3,5,7,1,1,0,0,0,1,1
258,7,-1,2,4,1,6,3,5,7,1,0,1,1,1,1,1
259,7,1,2,4,1,6,3,5,7,1,0,0,1,0,0,0
260,7,-1,2,4,1,6,3,5,7,0,1,1,1,0,0,1
261,7,1,2,4,1,6,3,5,7,0,1,0,1,1,1,0
262,7,1,2,4,1,6,3,5,7,0,0,1,0,0,1,0
263,7,-1,2,4,1,6,3,5,7,0,0,0,0,1,0,1
328,7,1,2,6,3,4,1,5,7,1,1,1,1,0,0,0
329,7,-1,2,6,3,4,1,5,7,1,1,0,1,1,1,1
330,7,-1,2,6,3,4,1,5,7,1,0,1,0,0,1,1
331,7,1,2,6,3,4,1,5,7,1,0,0,0,1,0,0
332,7,-1,2,6,3,4,1,5,7,0,1,1,0,1,0,1
333,7,1,2,6,3,4,1,5,7,0,1,0,0,0,1,0
334,7,1,2,6,3,4,1,5,7,0,0,1,1,1,1,0
335,7,-1,2,6,3,4,1,5,7,0,0,0,1,0,0,1
392,7,1,3,1,5,2,6,4,7,1,1,1,0,1,0,0
393,7,-1,3,1,5,2,6,4,7,1,1,0,0,0,1,1
394,7,-1,3,1,5,2,6,4,7,1,0,1,1,1,1,1
395,7,1,3,1,5,2,6,4,7,1,0,0,1,0,0,0
396,7,-1,3,1,5,2,6,4,7,0,1,1,1,0,0,1
397,7,1,3,1,5,2,6,4,7,0,1,0,1,1,1,0
398,7,1,3,1,5,2,6,4,7,0,0,1,0,0,1,0
399,7,-1,3,1,5,2,6,4,7,0,0,0,0,1,0,1
432,7,1,3,2,6,1,5,4,7,1,1,1,1,0,0,0
433,7,-1,3,2,6,1,5,4,7,1,1,0,1,1,1,1
434,7,-1,3,2,6,1,5,4,7,1,0,1,0,0,1,1
435,7,1,3,2,6,1,5,4,7,1,0,0,0,1,0,0
436,7,-1,3,2,6,1,5,4,7,0,1,1,0,1,0,1
437,7,1,3,2,6,1,5,4,7,0,1,0,0,0,1,0
438,7,1,3,2,6,1,5,4,7,0,0,1,1,1,1,0
439,7,-1,3,2,6,1,5,4,7,0,0,0,1,0,0,1
480,7,-1,3,5,1,6,2,4,7,1,1,1,1,0,1,1
481,7,1,3,5,1,6,2,4,7,1,1,0,1,1,0,0
482,7,1,3,5,1,6,2,4,7,1,0,1,0,0,0,0
483,7,-1,3,5,1,6,2,4,7,1,0,0,0,1,1,1
484,7,1,3,5,1,6,2,4,7,0,1,1,0,1,1,0
485,7,-1,3,5,1,6,2,4,7,0,1,0,0,0,0,1
486,7,-1,3,5,1,6,2,4,7,0,0,1,1,1,0,1
487,7,1,3,5,1,6,2,4,7,0,0,0,1,0,1,0
520,7,-1,3,6,2,5,1,4,7,1,1,1,0,1,1,1
521,7,1,3,6,2,5,1,4,7,1,1,0,0,0,0,0
522,7,1,3,6,2,5,1,4,7,1,0,1,1,1,0,0
523,7,-1,3,6,2,5,1,4,7,1,0,0,1,0,1,1
524,7,1,3,6,2,5,1,4,7,0,1,1,1,0,1,0
525,7,-1,3,6,2,5,1,4,7,0,1,0,1,1,0,1
526,7,-1,3,6,2,5,1,4,7,0,0,1,0,0,0,1
527,7,1,3,6,2,5,1,4,7,0,0,0,0,1,1,0
576,7,1,4,1,2,5,6,3,7,1,1,1,1,1,1,0
577,7,-1,4,1,2,5,6,3,7,1,1,0,1,0,0,1
578,7,-1,4,1,2,5,6,3,7,1,0,1,0,1,0,1
579,7,1,4,1,2,5,6,3,7,1,0,0,0,0,1,0
580,7,-1,4,1,2,5,6,3,7,0,1,1,0,0,1,1
581,7,1,4,1,2,5,6,3,7,0,1,0,0,1,0,0
582,7,1,4,1,2,5,6,3,7,0,0,1,1,0,0,0
583,7,-1,4,1,2,5,6,3,7,0,0,0,1,1,1,1
608,7,-1,4,2,1,6,5,3,7,1,1,1,1,1,0,1
609,7,1,4,2,1,6,5,3,7,1,1,0,1,0,1,0
610,7,1,4,2,1,6,5,3,7,1,0,1,0,1,1,0
611,7,-1,4,2,1,6,5,3,7,1,0,0,0,0,0,1
612,7,1,4,2,1,6,5,3,7,0,1,1,0,0,0,0
613,7,-1,4,2,1,6,5,3,7,0,1,0,0,1,1,1
614,7,-1,4,2,1,6,5,3,7,0,0,1,1,0,1,1
615,7,1,4,2,1,6,5,3,7,0,0,0,1,1,0,0
688,7,-1,4,5,6,1,2,3,7,1,1,1,0,0,0,1
689,7,1,4,5,6,1,2,3,7,1,1,0,0,1,1,0
690,7,1,4,5,6,1,2,3,7,1,0,1,1,0,1,0
691,7,-1,4,5,6,1,2,3,7,1,0,0,1,1,0,1
692,7,1,4,5,6,1,2,3,7,0,1,1,1,1,0,0
693,7,-1,4,5,6,1,2,3,7,0,1,0,1,0,1,1
694,7,-1,4,5,6,1,2,3,7,0,0,1,0,1,1,1
695,7,1,4,5,6,1,2,3,7,0,0,0,0,0,0,0
720,7,1,4,6,5,2,1,3,7,1,1,1,0,0,1,0
721,7,-1,4,6,5,2,1,3,7,1,1,0,0,1,0,1
722,7,-1,4,6,5,2,1,3,7,1,0,1,1,0,0,1
723,7,1,4,6,5,2,1,3,7,1,0,0,1,1,1,0
724,7,-1,4,6,5,2,1,3,7,0,1,1,1,1,1,1
725,7,1,4,6,5,2,1,3,7,0,1,0,1,0,0,0
726,7,1,4,6,5,2,1,3,7,0,0,1,0,1,0,0
727,7,-1,4,6,5,2,1,3,7,0,0,0,0,0,1,1
776,7,-1,5,1,3,4,6,2,7,1,1,1,0,0,0,1
777,7,1,5,1,3,4,6,2,7,1,1,0,0,1,1,0
778,7,1,5,1,3,4,6,2,7,1,0,1,1,0,1,0
779,7,-1,5,1,3,4,6,2,7,1,0,0,1,1,0,1
780,7,1,5,1,3,4,6,2,7,0,1,1,1,1,0,0
781,7,-1,5,1,3,4,6,2,7,0,1,0,1,0,1,1
782,7,-1,5,1,3,4,6,2,7,0,0,1,0,1,1,1
783,7,1,5,1,3,4,6,2,7,0,0,0,0,0,0,0
832,7,1,5,3,1,6,4,2,7,1,1,1,0,0,1,0
