block,tE,tF,pockets,silent,r1_split,r2_split
0,0,0,"[0, 1, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""2"": 2, ""1"": 2}","{""3"": 2, ""15"": 2}"
1,1,0,"[0, 1, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""0"": 2, ""2"": 2}","{""10"": 2, ""19"": 2}"
2,2,0,"[0, 1, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""0"": 2, ""1"": 2}","{""8"": 2, ""14"": 2}"
3,0,1,"[0, 1, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""5"": 2, ""4"": 2}","{""0"": 2, ""22"": 2}"
4,3,1,"[0, 1]","["""", """"]","{""3"": 2, ""5"": 2}","{""7"": 2, ""28"": 2}"
5,4,1,"[0, 1]","["""", """"]","{""3"": 2, ""4"": 2}","{""11"": 2, ""26"": 2}"
6,5,2,"[0, 1]","["""", """"]","{""8"": 2, ""7"": 2}","{""9"": 2, ""31"": 2}"
7,3,2,"[0, 1]","["""", """"]","{""6"": 2, ""8"": 2}","{""4"": 2, ""39"": 2}"
8,2,2,"[2, 3, 18, 19, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""6"": 2, ""7"": 2}","{""2"": 2, ""38"": 2}"
9,5,3,"[2, 3, 18, 19, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""11"": 2, ""10"": 2}","{""6"": 2, ""34"": 2}"
10,1,3,"[2, 3, 18, 19, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""9"": 2, ""11"": 2}","{""1"": 2, ""45"": 2}"
11,4,3,"[2, 3, 18, 19, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""9"": 2, ""10"": 2}","{""5"": 2, ""44"": 2}"
12,6,4,"[2, 3]","["""", """"]","{""14"": 2, ""13"": 2}","{""16"": 2, ""42"": 2}"
13,7,4,"[2, 3]","["""", """"]","{""14"": 2, ""12"": 2}","{""18"": 2, ""25"": 2}"
14,2,4,"[2, 3]","["""", """"]","{""12"": 2, ""13"": 2}","{""2"": 2, ""38"": 2}"
15,0,5,"[2, 3]","["""", """"]","{""16"": 2, ""17"": 2}","{""0"": 2, ""22"": 2}"
16,6,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""15"": 2, ""17"": 2}","{""12"": 2, ""33"": 2}"
17,8,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""15"": 2, ""16"": 2}","{""20"": 2, ""32"": 2}"
18,7,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""19"": 2, ""20"": 2}","{""13"": 2, ""27"": 2}"
19,1,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","["""", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]","{""20"": 2, ""18"": 2}","{""1"": 2, ""45"": 2}"
