u,qid,twin_bit,gen,cocycle_Z3_exp,orient_index,target_qid,target_twin,v,sheet_id
0,0,0,g2,0,0,7,0,1,0
0,0,0,g3,0,1,3,0,2,0
0,0,0,g5,0,2,12,0,3,0
0,0,0,g8,0,3,19,0,4,0
0,0,0,g9,0,4,19,0,4,0
1,7,0,g2,0,0,6,0,5,0
1,7,0,g3,0,1,5,0,6,0
1,7,0,g5,0,2,16,0,7,0
1,7,0,g8,0,3,11,0,8,0
1,7,0,g9,0,4,11,0,8,0
2,3,0,g2,0,0,5,0,6,0
2,3,0,g3,0,1,2,0,9,0
2,3,0,g5,0,2,15,0,10,0
2,3,0,g8,0,3,15,1,11,0
2,3,0,g9,0,4,15,1,11,0
3,12,0,g2,0,0,16,0,7,0
3,12,0,g3,0,1,19,1,12,0
3,12,0,g5,0,2,22,0,13,0
3,12,0,g8,0,3,2,1,14,0
3,12,0,g9,0,4,2,1,14,0
4,19,0,g2,0,0,11,0,8,0
4,19,0,g3,0,1,15,1,11,0
4,19,0,g5,0,2,9,0,15,0
4,19,0,g8,0,3,0,0,0,0
4,19,0,g9,0,4,0,0,0,0
5,6,0,g2,0,0,0,0,0,1
5,6,0,g3,0,1,8,0,16,1
5,6,0,g5,0,2,18,0,17,1
5,6,0,g8,0,3,21,0,18,1
5,6,0,g9,0,4,21,0,18,1
6,5,0,g2,0,0,8,0,16,1
6,5,0,g3,0,1,4,0,19,1
6,5,0,g5,0,2,20,0,20,1
6,5,0,g8,0,3,20,1,21,1
6,5,0,g9,0,4,20,1,21,1
7,16,0,g2,0,0,18,0,17,0
7,16,0,g3,0,1,11,1,22,0
7,16,0,g5,0,2,24,0,23,0
7,16,0,g8,0,3,4,1,24,0
7,16,0,g9,0,4,4,1,24,0
8,11,0,g2,0,0,21,0,18,0
8,11,0,g3,0,1,20,1,21,0
8,11,0,g5,0,2,23,0,25,0
8,11,0,g8,0,3,7,0,1,0
8,11,0,g9,0,4,7,0,1,0
9,2,0,g2,0,0,4,0,19,1
9,2,0,g3,0,1,0,0,0,1
9,2,0,g5,1,2,19,1,12,1
9,2,0,g8,0,3,12,1,26,1
9,2,0,g9,0,4,12,1,26,1
10,15,0,g2,0,0,20,0,20,0
10,15,0,g3,2,1,12,0,3,0
10,15,0,g5,0,2,14,0,27,0
10,15,0,g8,0,3,3,1,28,0
10,15,0,g9,0,4,3,1,28,0
11,15,1,g2,0,5,20,1,21,0
11,15,1,g3,0,6,12,1,26,0
11,15,1,g5,0,7,14,1,29,0
11,15,1,g8,0,8,3,0,2,0
11,15,1,g9,0,9,3,0,2,0
12,19,1,g2,0,5,11,1,22,1
12,19,1,g3,1,6,15,0,10,1
12,19,1,g5,0,7,9,1,30,1
12,19,1,g8,0,8,0,1,31,1
12,19,1,g9,0,9,0,1,31,1
13,22,0,g2,0,0,24,0,23,1
13,22,0,g3,0,1,25,0,32,1
13,22,0,g5,0,2,0,0,0,1
13,22,0,g8,0,3,9,0,15,1
13,22,0,g9,0,4,9,0,15,1
14,2,1,g2,0,5,4,1,24,1
14,2,1,g3,0,6,0,1,31,1
14,2,1,g5,0,7,19,0,4,1
14,2,1,g8,0,8,12,0,3,1
14,2,1,g9,0,9,12,0,3,1
15,9,0,g2,0,0,23,0,25,2
15,9,0,g3,0,1,17,0,33,2
15,9,0,g5,0,2,2,1,14,2
15,9,0,g8,0,3,22,0,13,2
15,9,0,g9,0,4,22,0,13,2
16,8,0,g2,0,0,3,0,2,2
16,8,0,g3,0,1,1,0,34,2
16,8,0,g5,0,2,10,0,35,2
16,8,0,g8,0,3,10,1,36,2
16,8,0,g9,0,4,10,1,36,2
17,18,0,g2,0,0,12,0,3,1
17,18,0,g3,0,1,21,1,37,1
17,18,0,g5,2,2,25,0,32,1
17,18,0,g8,0,3,1,1,38,1
17,18,0,g9,0,4,1,1,38,1
18,21,0,g2,0,0,19,0,4,1
18,21,0,g3,0,1,10,1,36,1
18,21,0,g5,2,2,17,0,33,1
18,21,0,g8,0,3,6,0,5,1
18,21,0,g9,0,4,6,0,5,1
19,4,0,g2,0,0,1,0,34,2
19,4,0,g3,0,1,7,0,1,2
19,4,0,g5,1,2,11,1,22,2
19,4,0,g8,0,3,16,1,39,2
19,4,0,g9,0,4,16,1,39,2
20,20,0,g2,0,0,10,0,35,2
20,20,0,g3,2,1,16,0,7,2
20,20,0,g5,0,2,26,0,40,2
20,20,0,g8,0,3,5,1,41,2
20,20,0,g9,0,4,5,1,41,2
21,20,1,g2,0,5,10,1,36,2
21,20,1,g3,0,6,16,1,39,2
21,20,1,g5,0,7,26,1,42,2
21,20,1,g8,0,8,5,0,6,2
21,20,1,g9,0,9,5,0,6,2
22,11,1,g2,0,5,21,1,37,2
22,11,1,g3,1,6,20,0,20,2
22,11,1,g5,0,7,23,1,43,2
22,11,1,g8,0,8,7,1,44,2
22,11,1,g9,0,9,7,1,44,2
23,24,0,g2,2,0,25,0,32,1
23,24,0,g3,1,1,22,0,13,1
23,24,0,g5,0,2,7,0,1,1
23,24,0,g8,0,3,23,0,25,1
23,24,0,g9,0,4,23,0,25,1
24,4,1,g2,0,5,1,1,38,2
24,4,1,g3,0,6,7,1,44,2
24,4,1,g5,0,7,11,0,8,2
24,4,1,g8,0,8,16,0,7,2
24,4,1,g9,0,9,16,0,7,2
25,23,0,g2,2,0,17,0,33,3
25,23,0,g3,1,1,9,0,15,3
25,23,0,g5,0,2,4,1,24,3
25,23,0,g8,0,3,24,0,23,3
25,23,0,g9,0,4,24,0,23,3
26,12,1,g2,0,5,16,1,39,2
26,12,1,g3,0,6,19,0,4,2
26,12,1,g5,0,7,22,1,45,2
26,12,1,g8,0,8,2,0,9,2
26,12,1,g9,0,9,2,0,9,2
27,14,0,g2,0,0,26,0,40,2
27,14,0,g3,0,1,13,0,46,2
27,14,0,g5,0,2,3,0,2,2
27,14,0,g8,0,3,14,1,29,2
27,14,0,g9,0,4,14,1,29,2
28,3,1,g2,0,5,5,1,41,3
28,3,1,g3,2,6,2,1,14,3
28,3,1,g5,0,7,15,1,11,3
28,3,1,g8,0,8,15,0,10,3
28,3,1,g9,0,9,15,0,10,3
29,14,1,g2,0,5,26,1,42,3
29,14,1,g3,0,6,13,1,47,3
29,14,1,g5,0,7,3,1,28,3
29,14,1,g8,0,8,14,0,27,3
29,14,1,g9,0,9,14,0,27,3
30,9,1,g2,0,5,23,1,43,3
30,9,1,g3,0,6,17,1,48,3
30,9,1,g5,2,7,2,0,9,3
30,9,1,g8,2,8,22,1,45,3
30,9,1,g9,2,9,22,1,45,3
31,0,1,g2,0,5,7,1,44,3
31,0,1,g3,1,6,3,1,28,3
