pg_id,X0,X1,X2,X3,kind,x,y,t
0,0,0,0,1,infinity,,,
1,0,0,1,0,infinity,,,
2,0,0,1,1,infinity,,,
3,0,0,1,2,infinity,,,
4,0,1,0,0,infinity,,,
5,0,1,0,1,infinity,,,
6,0,1,0,2,infinity,,,
7,0,1,1,0,infinity,,,
8,0,1,1,1,infinity,,,
9,0,1,1,2,infinity,,,
10,0,1,2,0,infinity,,,
11,0,1,2,1,infinity,,,
12,0,1,2,2,infinity,,,
13,1,0,0,0,affine,0.0,0.0,0.0
14,1,0,0,1,affine,0.0,0.0,1.0
15,1,0,0,2,affine,0.0,0.0,2.0
16,1,0,1,0,affine,0.0,1.0,0.0
17,1,0,1,1,affine,0.0,1.0,1.0
18,1,0,1,2,affine,0.0,1.0,2.0
19,1,0,2,0,affine,0.0,2.0,0.0
20,1,0,2,1,affine,0.0,2.0,1.0
21,1,0,2,2,affine,0.0,2.0,2.0
22,1,1,0,0,affine,1.0,0.0,0.0
23,1,1,0,1,affine,1.0,0.0,1.0
24,1,1,0,2,affine,1.0,0.0,2.0
25,1,1,1,0,affine,1.0,1.0,0.0
26,1,1,1,1,affine,1.0,1.0,1.0
27,1,1,1,2,affine,1.0,1.0,2.0
28,1,1,2,0,affine,1.0,2.0,0.0
29,1,1,2,1,affine,1.0,2.0,1.0
30,1,1,2,2,affine,1.0,2.0,2.0
31,1,2,0,0,affine,2.0,0.0,0.0
32,1,2,0,1,affine,2.0,0.0,1.0
33,1,2,0,2,affine,2.0,0.0,2.0
34,1,2,1,0,affine,2.0,1.0,0.0
35,1,2,1,1,affine,2.0,1.0,1.0
36,1,2,1,2,affine,2.0,1.0,2.0
37,1,2,2,0,affine,2.0,2.0,0.0
38,1,2,2,1,affine,2.0,2.0,1.0
39,1,2,2,2,affine,2.0,2.0,2.0
