cycle_id,cycle_len,pos,root,image
0,1,0,"(-1, -1, -1, -1, -1, 0, 0, 0)","(-1, -1, -1, -1, -1, 0, 0, 0)"
1,1,0,"(-2, -3, -3, -5, -4, -3, -2, -1)","(-2, -3, -3, -5, -4, -3, -2, -1)"
2,2,0,"(-1, -2, -2, -4, -3, -3, -2, -1)","(2, 3, 3, 5, 4, 3, 2, 1)"
2,2,1,"(2, 3, 3, 5, 4, 3, 2, 1)","(-1, -2, -2, -4, -3, -3, -2, -1)"
3,2,0,"(1, 1, 1, 1, 1, 0, 0, 0)","(1, 2, 2, 4, 3, 3, 2, 1)"
3,2,1,"(1, 2, 2, 4, 3, 3, 2, 1)","(1, 1, 1, 1, 1, 0, 0, 0)"
4,3,0,"(-1, -1, -2, -2, -2, -1, 0, 0)","(0, 0, -1, -1, -1, -1, 0, 0)"
4,3,1,"(0, 0, -1, -1, -1, -1, 0, 0)","(0, 0, 0, -1, -1, 0, 0, 0)"
4,3,2,"(0, 0, 0, -1, -1, 0, 0, 0)","(-1, -1, -2, -2, -2, -1, 0, 0)"
5,3,0,"(-1, -1, -2, -3, -2, -1, -1, -1)","(1, 1, 2, 2, 2, 1, 0, 0)"
5,3,1,"(1, 1, 2, 2, 2, 1, 0, 0)","(0, -1, -1, -2, -1, -1, 0, 0)"
5,3,2,"(0, -1, -1, -2, -1, -1, 0, 0)","(-1, -1, -2, -3, -2, -1, -1, -1)"
6,3,0,"(-1, -1, -2, -3, -2, -1, -1, 0)","(-1, -1, -2, -2, -2, -2, -2, -1)"
6,3,1,"(-1, -1, -2, -2, -2, -2, -2, -1)","(2, 2, 3, 4, 3, 2, 1, 1)"
6,3,2,"(2, 2, 3, 4, 3, 2, 1, 1)","(-1, -1, -2, -3, -2, -1, -1, 0)"
7,3,0,"(-1, -1, -2, -3, -3, -2, -1, 0)","(-1, -2, -2, -4, -3, -2, -1, -1)"
7,3,1,"(-1, -2, -2, -4, -3, -2, -1, -1)","(-1, -2, -2, -3, -3, -2, -1, -1)"
7,3,2,"(-1, -2, -2, -3, -3, -2, -1, -1)","(-1, -1, -2, -3, -3, -2, -1, 0)"
8,3,0,"(-1, -2, -3, -4, -3, -2, -1, -1)","(1, 0, 1, 1, 1, 1, 1, 0)"
8,3,1,"(1, 0, 1, 1, 1, 1, 1, 0)","(0, -1, -1, -1, -1, -1, 0, 0)"
8,3,2,"(0, -1, -1, -1, -1, -1, 0, 0)","(-1, -2, -3, -4, -3, -2, -1, -1)"
9,3,0,"(-2, -2, -3, -4, -3, -2, -1, -1)","(0, -1, -1, -2, -2, -1, -1, 0)"
9,3,1,"(0, -1, -1, -2, -2, -1, -1, 0)","(0, 0, 0, 0, 0, 0, -1, -1)"
9,3,2,"(0, 0, 0, 0, 0, 0, -1, -1)","(-2, -2, -3, -4, -3, -2, -1, -1)"
10,3,0,"(-2, -2, -3, -4, -3, -2, -2, -1)","(0, -1, -1, -2, -2, -2, -2, -1)"
10,3,1,"(0, -1, -1, -2, -2, -2, -2, -1)","(0, 1, 0, 1, 1, 1, 1, 0)"
10,3,2,"(0, 1, 0, 1, 1, 1, 1, 0)","(-2, -2, -3, -4, -3, -2, -2, -1)"
11,3,0,"(-2, -3, -4, -6, -5, -4, -3, -1)","(1, 1, 1, 2, 2, 1, 1, 0)"
11,3,1,"(1, 1, 1, 2, 2, 1, 1, 0)","(-1, 0, -1, 0, 0, 0, 0, 0)"
11,3,2,"(-1, 0, -1, 0, 0, 0, 0, 0)","(-2, -3, -4, -6, -5, -4, -3, -1)"
12,3,0,"(0, 0, 0, 0, -1, -1, -1, 0)","(0, 0, 0, -1, -1, -1, 0, 0)"
12,3,1,"(0, 0, 0, -1, -1, -1, 0, 0)","(0, -1, -1, -1, -1, 0, 0, 0)"
12,3,2,"(0, -1, -1, -1, -1, 0, 0, 0)","(0, 0, 0, 0, -1, -1, -1, 0)"
13,3,0,"(0, 0, 0, 0, 0, 0, 1, 0)","(-1, -1, -2, -2, -2, -2, -1, -1)"
13,3,1,"(-1, -1, -2, -2, -2, -2, -1, -1)","(0, -1, -1, -1, 0, 0, 0, 0)"
13,3,2,"(0, -1, -1, -1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 1, 0)"
14,6,0,"(-1, -1, -1, -2, -1, -1, -1, 0)","(-1, -2, -2, -3, -3, -3, -2, -1)"
14,6,1,"(-1, -2, -2, -3, -3, -3, -2, -1)","(-1, -2, -2, -3, -2, -2, -2, -1)"
14,6,2,"(-1, -2, -2, -3, -2, -2, -2, -1)","(-1, -3, -3, -5, -4, -3, -2, -1)"
14,6,3,"(-1, -3, -3, -5, -4, -3, -2, -1)","(-1, -1, -1, -2, -2, -2, -1, 0)"
14,6,4,"(-1, -1, -1, -2, -2, -2, -1, 0)","(0, -1, 0, -1, -1, -1, 0, 0)"
14,6,5,"(0, -1, 0, -1, -1, -1, 0, 0)","(-1, -1, -1, -2, -1, -1, -1, 0)"
15,6,0,"(-1, -1, -1, -2, -1, -1, 0, 0)","(1, 1, 2, 2, 2, 1, 1, 1)"
15,6,1,"(1, 1, 2, 2, 2, 1, 1, 1)","(1, 2, 3, 5, 4, 3, 2, 1)"
15,6,2,"(1, 2, 3, 5, 4, 3, 2, 1)","(1, 2, 2, 3, 3, 2, 2, 1)"
15,6,3,"(1, 2, 2, 3, 3, 2, 2, 1)","(-1, -2, -2, -3, -2, -2, -1, 0)"
15,6,4,"(-1, -2, -2, -3, -2, -2, -1, 0)","(0, 1, 0, 0, 0, 0, 0, 0)"
15,6,5,"(0, 1, 0, 0, 0, 0, 0, 0)","(-1, -1, -1, -2, -1, -1, 0, 0)"
16,6,0,"(-1, -1, -1, -2, -2, -1, -1, 0)","(2, 2, 3, 4, 3, 2, 2, 1)"
16,6,1,"(2, 2, 3, 4, 3, 2, 2, 1)","(0, 1, 1, 2, 2, 2, 2, 1)"
