cycle_id,cycle_len,pos,vertex,image,coords
0,1,0,26,26,"(1, 1, 1, 1)"
1,1,0,36,36,"(1, 2, 1, 2)"
2,2,0,5,16,"(0, 1, 0, 1)"
2,2,1,16,5,"(1, 0, 1, 0)"
3,3,0,2,22,"(0, 0, 1, 1)"
3,3,1,22,30,"(1, 1, 0, 0)"
3,3,2,30,2,"(1, 1, 2, 2)"
4,3,0,3,31,"(0, 0, 1, 2)"
4,3,1,31,38,"(1, 2, 0, 0)"
4,3,2,38,3,"(1, 2, 2, 1)"
5,6,0,0,13,"(0, 0, 0, 1)"
5,6,1,13,6,"(1, 0, 0, 0)"
5,6,2,6,1,"(0, 1, 0, 2)"
5,6,3,1,4,"(0, 0, 1, 0)"
5,6,4,4,19,"(0, 1, 0, 0)"
5,6,5,19,0,"(1, 0, 2, 0)"
6,6,0,7,28,"(0, 1, 1, 0)"
6,6,1,28,21,"(1, 1, 2, 0)"
6,6,2,21,14,"(1, 0, 2, 2)"
6,6,3,14,24,"(1, 0, 0, 1)"
6,6,4,24,12,"(1, 1, 0, 2)"
6,6,5,12,7,"(0, 1, 2, 2)"
7,6,0,8,34,"(0, 1, 1, 1)"
7,6,1,34,29,"(1, 2, 1, 0)"
7,6,2,29,17,"(1, 1, 2, 1)"
7,6,3,17,33,"(1, 0, 1, 1)"
7,6,4,33,27,"(1, 2, 0, 2)"
7,6,5,27,8,"(1, 1, 1, 2)"
8,6,0,9,10,"(0, 1, 1, 2)"
8,6,1,10,37,"(0, 1, 2, 0)"
8,6,2,37,20,"(1, 2, 2, 0)"
8,6,3,20,15,"(1, 0, 2, 1)"
8,6,4,15,32,"(1, 0, 0, 2)"
8,6,5,32,9,"(1, 2, 0, 1)"
9,6,0,11,25,"(0, 1, 2, 1)"
9,6,1,25,39,"(1, 1, 1, 0)"
9,6,2,39,18,"(1, 2, 2, 2)"
9,6,3,18,23,"(1, 0, 1, 2)"
9,6,4,23,35,"(1, 1, 0, 1)"
9,6,5,35,11,"(1, 2, 1, 1)"
