edge_id,gen,rot
0,0,2
1,0,0
2,0,2
3,0,1
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,2
10,0,2
11,0,1
12,0,1
13,0,0
14,0,0
15,0,0
16,0,0
17,0,1
18,0,0
19,0,2
20,0,0
21,0,0
22,0,0
23,0,1
24,0,1
25,0,1
26,0,2
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,0
35,0,0
36,0,0
37,0,2
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,2
44,0,1
45,0,0
46,0,0
47,0,2
48,0,0
49,0,1
50,0,2
51,0,0
52,0,0
53,0,0
54,0,0
55,0,1
56,0,0
57,0,0
58,0,2
59,0,0
60,0,0
61,0,2
62,0,0
63,0,0
64,0,0
65,0,1
66,0,1
67,0,0
68,0,0
69,0,2
70,0,0
71,0,0
72,0,2
73,0,2
74,0,0
75,0,0
76,0,1
77,0,1
78,0,0
79,0,0
80,0,0
81,0,2
82,0,2
83,0,0
84,0,0
85,0,0
86,0,0
87,0,1
88,0,1
89,0,0
90,0,0
91,0,1
92,0,2
93,0,0
94,0,0
95,0,0
96,0,0
97,0,1
98,0,0
99,0,0
100,0,0
101,0,1
102,0,2
103,0,0
104,0,1
105,0,2
106,0,0
107,0,1
108,0,0
109,0,1
110,0,0
111,0,2
112,0,0
113,0,0
114,0,0
115,0,0
116,0,1
117,0,0
118,0,2
119,0,0
120,0,2
121,0,0
122,0,1
123,0,0
124,0,0
125,0,1
126,0,0
127,0,0
128,0,2
129,0,2
130,0,0
131,0,0
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,2
141,0,2
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,1
151,0,0
152,0,0
153,0,1
154,0,1
155,0,0
156,0,0
157,0,1
158,0,0
159,0,0
160,0,0
161,0,1
162,0,1
163,0,1
164,0,1
165,0,2
166,0,1
167,0,2
168,0,2
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,2
175,0,1
176,0,0
177,0,0
178,0,0
179,0,2
180,0,0
181,0,0
182,0,1
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,1
190,0,1
191,0,1
192,0,0
193,0,1
194,0,2
195,0,0
196,0,0
197,0,2
198,0,0
199,0,0
200,0,0
201,0,0
202,0,2
203,0,0
204,0,0
205,0,0
206,0,1
207,0,2
208,0,2
209,0,0
210,0,0
211,0,2
212,0,0
213,0,0
214,0,0
215,0,2
216,0,0
217,0,2
218,0,2
219,0,2
220,0,0
221,0,0
222,0,2
223,0,0
224,0,0
225,0,2
226,0,0
227,0,0
228,0,2
229,0,1
230,0,0
231,0,2
232,0,2
233,0,2
234,0,2
235,0,2
236,0,2
237,0,1
238,0,2
239,0,2
0,1,1
1,1,1
2,1,0
3,1,1
4,1,1
5,1,0
6,1,2
7,1,1
8,1,1
9,1,0
10,1,2
11,1,2
12,1,0
13,1,2
14,1,1
15,1,2
16,1,0
17,1,2
18,1,2
19,1,1
20,1,2
21,1,0
22,1,1
23,1,2
24,1,0
25,1,1
26,1,1
27,1,1
28,1,0
29,1,1
30,1,2
31,1,0
32,1,1
33,1,2
34,1,2
35,1,1
36,1,2
37,1,0
38,1,1
39,1,0
40,1,0
41,1,0
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,0
54,1,1
55,1,0
56,1,2
57,1,2
58,1,2
59,1,1
60,1,1
61,1,2
62,1,1
63,1,0
64,1,2
65,1,2
66,1,2
67,1,2
68,1,1
69,1,1
70,1,1
71,1,1
72,1,0
73,1,1
74,1,0
75,1,2
76,1,2
77,1,1
78,1,0
79,1,1
80,1,2
81,1,0
82,1,0
83,1,0
84,1,0
85,1,1
86,1,0
87,1,1
88,1,2
89,1,0
90,1,1
91,1,2
92,1,0
93,1,2
94,1,2
95,1,0
96,1,1
97,1,0
98,1,1
99,1,2
100,1,0
101,1,1
102,1,0
103,1,1
104,1,2
105,1,2
106,1,0
107,1,2
108,1,2
109,1,0
110,1,2
111,1,2
112,1,0
113,1,2
114,1,2
115,1,1
116,1,1
117,1,2
118,1,1
119,1,2
120,1,0
121,1,0
122,1,2
123,1,2
124,1,1
125,1,0
126,1,2
127,1,2
128,1,1
129,1,0
130,1,0
131,1,2
132,1,0
133,1,2
134,1,2
135,1,1
136,1,0
137,1,2
138,1,2
139,1,1
140,1,2
141,1,1
142,1,0
143,1,1
144,1,2
145,1,1
146,1,0
147,1,0
148,1,0
149,1,0
150,1,2
151,1,1
152,1,1
153,1,2
154,1,2
155,1,2
156,1,2
157,1,2
158,1,2
159,1,2
160,1,2
161,1,1
162,1,0
163,1,0
164,1,0
165,1,1
166,1,0
167,1,2
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,2
177,1,0
178,1,0
179,1,2
180,1,2
181,1,2
182,1,0
183,1,2
184,1,0
185,1,1
186,1,0
187,1,2
188,1,1
189,1,0
190,1,0
191,1,1
192,1,1
193,1,2
194,1,0
195,1,0
196,1,2
197,1,2
198,1,2
199,1,2
200,1,0
201,1,1
202,1,0
203,1,0
204,1,2
205,1,0
206,1,0
207,1,1
208,1,1
209,1,0
210,1,1
211,1,2
212,1,2
213,1,2
214,1,2
215,1,0
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,0
222,1,0
223,1,1
224,1,2
225,1,2
226,1,1
227,1,1
228,1,2
229,1,1
230,1,2
231,1,2
232,1,0
233,1,1
234,1,2
235,1,0
236,1,2
237,1,2
238,1,0
239,1,2
0,2,2
1,2,1
2,2,1
3,2,0
4,2,1
5,2,0
6,2,0
7,2,2
8,2,0
9,2,0
10,2,0
11,2,0
12,2,2
13,2,2
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,1
24,2,1
25,2,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,2
31,2,0
32,2,0
33,2,1
34,2,2
35,2,1
36,2,1
37,2,0
38,2,1
39,2,1
40,2,1
41,2,1
42,2,1
43,2,1
44,2,2
45,2,1
46,2,0
47,2,0
48,2,0
49,2,0
50,2,0
51,2,1
52,2,2
53,2,1
54,2,1
55,2,1
56,2,1
57,2,1
58,2,1
59,2,0
60,2,2
61,2,1
62,2,1
63,2,1
64,2,1
65,2,1
66,2,0
67,2,1
68,2,2
69,2,0
70,2,0
71,2,0
72,2,0
73,2,0
74,2,0
75,2,1
76,2,1
77,2,1
78,2,1
79,2,0
80,2,0
81,2,0
82,2,1
83,2,1
84,2,1
85,2,1
86,2,2
87,2,0
88,2,1
89,2,0
90,2,0
91,2,0
92,2,2
93,2,1
94,2,0
95,2,1
96,2,0
97,2,2
98,2,1
99,2,0
100,2,0
101,2,0
102,2,0
103,2,0
104,2,0
105,2,1
106,2,2
107,2,0
108,2,0
109,2,0
110,2,0
111,2,2
112,2,1
113,2,0
114,2,1
115,2,0
116,2,2
117,2,1
118,2,2
119,2,0
120,2,0
121,2,0
122,2,0
123,2,1
124,2,1
125,2,1
126,2,0
127,2,1
128,2,2
129,2,1
130,2,1
131,2,1
132,2,0
133,2,2
134,2,0
135,2,2
136,2,0
137,2,0
138,2,0
139,2,2
140,2,0
141,2,0
142,2,2
143,2,0
144,2,0
145,2,0
146,2,0
147,2,0
148,2,2
149,2,2
150,2,1
151,2,0
152,2,0
153,2,0
154,2,1
155,2,2
156,2,2
157,2,0
158,2,0
159,2,0
160,2,0
161,2,0
162,2,0
163,2,2
164,2,1
165,2,0
166,2,0
167,2,0
168,2,0
169,2,2
170,2,0
171,2,0
172,2,2
173,2,0
174,2,0
175,2,0
176,2,1
177,2,2
178,2,0
179,2,0
180,2,0
181,2,1
182,2,0
183,2,0
184,2,2
185,2,2
186,2,0
187,2,0
188,2,0
189,2,0
190,2,2
191,2,1
192,2,2
193,2,1
194,2,0
195,2,2
196,2,2
197,2,1
198,2,2
199,2,0
200,2,2
201,2,2
202,2,2
203,2,2
204,2,2
205,2,2
206,2,0
207,2,0
208,2,2
209,2,1
210,2,1
211,2,1
212,2,2
213,2,0
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,2,0
220,2,2
221,2,1
222,2,1
223,2,2
224,2,0
225,2,2
226,2,2
227,2,2
228,2,0
229,2,2
230,2,1
231,2,0
232,2,0
233,2,1
234,2,0
235,2,0
236,2,0
237,2,0
238,2,2
239,2,0
0,3,2
1,3,2
2,3,2
3,3,2
4,3,2
5,3,2
6,3,2
7,3,2
8,3,2
9,3,2
10,3,2
11,3,2
12,3,1
13,3,1
14,3,0
15,3,0
16,3,0
17,3,1
18,3,0
19,3,2
20,3,0
21,3,0
22,3,0
23,3,1
24,3,2
25,3,0
26,3,1
27,3,1
28,3,1
29,3,1
30,3,1
31,3,1
32,3,1
33,3,0
34,3,0
35,3,0
36,3,1
37,3,2
38,3,0
39,3,0
40,3,0
41,3,0
42,3,0
43,3,2
44,3,1
45,3,0
46,3,0
47,3,2
48,3,0
49,3,0
50,3,2
51,3,0
52,3,0
53,3,0
54,3,0
55,3,1
56,3,0
57,3,0
58,3,1
59,3,0
60,3,0
61,3,2
62,3,1
63,3,0
64,3,0
65,3,1
66,3,1
67,3,0
68,3,0
69,3,0
70,3,0
71,3,0
72,3,2
73,3,2
74,3,0
75,3,0
76,3,0
77,3,1
78,3,0
79,3,0
80,3,0
81,3,0
82,3,2
83,3,0
84,3,0
85,3,0
86,3,0
87,3,1
88,3,0
89,3,0
90,3,0
91,3,0
92,3,2
93,3,0
94,3,2
95,3,0
96,3,0
97,3,1
98,3,0
99,3,0
100,3,0
101,3,0
102,3,2
103,3,0
104,3,1
105,3,0
106,3,0
107,3,1
108,3,0
109,3,1
110,3,0
111,3,2
112,3,0
113,3,2
114,3,0
115,3,0
116,3,1
117,3,0
118,3,2
119,3,1
120,3,2
121,3,0
122,3,1
123,3,0
124,3,0
125,3,1
126,3,0
127,3,0
128,3,2
129,3,2
130,3,0
131,3,0
132,3,1
133,3,1
134,3,1
135,3,1
136,3,1
137,3,1
138,3,0
139,3,2
140,3,1
141,3,2
142,3,0
143,3,1
144,3,0
145,3,0
146,3,0
147,3,0
148,3,0
149,3,0
150,3,1
151,3,2
152,3,0
153,3,1
154,3,1
155,3,0
156,3,2
157,3,1
158,3,0
159,3,0
160,3,0
161,3,1
162,3,1
163,3,1
164,3,1
165,3,0
166,3,0
167,3,0
168,3,2
169,3,0
170,3,1
171,3,0
172,3,0
173,3,0
174,3,1
175,3,1
176,3,0
177,3,0
178,3,0
179,3,0
180,3,0
181,3,0
182,3,1
183,3,0
184,3,0
185,3,0
186,3,0
187,3,0
188,3,0
189,3,1
190,3,1
191,3,1
192,3,0
193,3,1
194,3,2
195,3,0
196,3,0
197,3,2
198,3,0
199,3,0
200,3,0
201,3,2
202,3,2
203,3,0
204,3,0
205,3,0
206,3,1
207,3,2
208,3,0
209,3,0
210,3,0
211,3,2
212,3,0
213,3,0
214,3,0
215,3,2
216,3,0
217,3,0
218,3,0
219,3,2
220,3,0
221,3,0
222,3,2
223,3,0
224,3,0
225,3,2
226,3,0
227,3,0
228,3,2
229,3,0
230,3,0
231,3,2
232,3,2
233,3,2
234,3,2
235,3,2
236,3,2
237,3,2
238,3,1
239,3,0
0,4,0
1,4,2
2,4,1
3,4,0
4,4,2
5,4,1
6,4,0
7,4,1
8,4,2
9,4,0
10,4,2
11,4,1
12,4,2
13,4,1
14,4,0
15,4,0
16,4,0
17,4,2
18,4,1
19,4,2
20,4,2
21,4,2
22,4,2
23,4,0
24,4,2
25,4,2
26,4,0
27,4,2
28,4,0
29,4,1
30,4,0
31,4,1
32,4,1
33,4,1
34,4,0
35,4,1
36,4,1
37,4,1
38,4,0
39,4,0
40,4,1
41,4,2
42,4,1
43,4,1
44,4,0
45,4,1
46,4,0
47,4,1
48,4,1
49,4,2
50,4,2
51,4,2
52,4,1
53,4,1
54,4,2
55,4,0
56,4,0
57,4,0
58,4,1
59,4,1
60,4,2
61,4,2
62,4,2
63,4,1
64,4,1
65,4,1
66,4,0
67,4,0
68,4,0
69,4,2
70,4,1
71,4,2
72,4,1
73,4,1
74,4,1
75,4,0
76,4,2
77,4,1
78,4,0
79,4,2
80,4,1
81,4,2
82,4,0
83,4,2
84,4,1
85,4,0
86,4,0
87,4,1
88,4,1
89,4,1
90,4,1
91,4,2
92,4,1
93,4,0
94,4,1
95,4,0
96,4,2
97,4,0
98,4,2
99,4,0
100,4,1
101,4,2
102,4,2
103,4,2
104,4,2
105,4,1
106,4,1
107,4,0
108,4,0
109,4,1
110,4,2
111,4,1
112,4,0
113,4,1
114,4,1
115,4,2
116,4,2
117,4,2
118,4,0
119,4,2
120,4,2
121,4,2
122,4,2
123,4,1
124,4,0
125,4,1
126,4,1
127,4,1
128,4,1
129,4,0
130,4,2
131,4,1
132,4,2
133,4,1
134,4,1
135,4,1
136,4,2
137,4,2
138,4,1
139,4,2
140,4,0
141,4,1
142,4,2
143,4,2
144,4,2
145,4,2
146,4,2
147,4,1
148,4,1
149,4,0
150,4,2
151,4,1
152,4,1
153,4,1
154,4,2
155,4,1
156,4,1
157,4,2
158,4,2
159,4,2
160,4,2
161,4,0
162,4,1
163,4,0
164,4,2
165,4,1
166,4,1
167,4,1
168,4,1
169,4,2
170,4,2
171,4,2
172,4,1
173,4,0
174,4,2
175,4,1
176,4,2
177,4,2
178,4,2
179,4,1
180,4,1
181,4,1
182,4,0
183,4,1
184,4,1
185,4,0
186,4,2
187,4,1
188,4,0
189,4,1
190,4,0
191,4,2
192,4,2
193,4,0
194,4,2
195,4,2
196,4,0
197,4,0
198,4,1
199,4,1
200,4,1
201,4,2
202,4,0
203,4,0
204,4,0
205,4,0
206,4,2
207,4,0
208,4,2
209,4,2
210,4,0
211,4,1
212,4,2
213,4,1
214,4,2
215,4,2
216,4,0
217,4,1
218,4,2
219,4,0
220,4,0
221,4,0
222,4,0
223,4,2
224,4,0
225,4,2
226,4,2
227,4,0
228,4,2
229,4,2
230,4,0
231,4,2
232,4,0
233,4,0
234,4,2
235,4,2
236,4,1
237,4,0
238,4,1
239,4,1
0,5,0
1,5,2
2,5,1
3,5,2
4,5,0
5,5,1
6,5,0
7,5,0
8,5,2
9,5,1
10,5,0
11,5,0
12,5,2
13,5,1
14,5,0
15,5,1
16,5,2
17,5,2
18,5,0
19,5,1
20,5,1
21,5,2
22,5,0
23,5,0
24,5,0
25,5,0
26,5,1
27,5,2
28,5,0
29,5,1
30,5,2
31,5,1
32,5,1
33,5,1
34,5,2
35,5,2
36,5,1
37,5,0
38,5,1
39,5,0
40,5,0
41,5,0
42,5,2
43,5,1
44,5,1
45,5,2
46,5,1
47,5,1
48,5,1
49,5,2
50,5,1
