u,v,gen,exp,qid_u,qid_v,twin_u,twin_v,x_u,y_u,z_u,x_v,y_v,z_v,core_intersection_u_v
0,1,g2,0,0,5,0,0,0,0,0,0,0,2,3
0,2,g3,0,0,3,0,0,0,0,0,2,2,0,3
0,3,g5,0,0,24,0,1,0,0,0,2,1,0,1
0,4,g8,0,0,11,0,0,0,0,0,0,2,1,3
0,4,g9,0,0,11,0,0,0,0,0,0,2,1,3
1,5,g2,0,5,8,0,1,0,0,2,0,0,1,3
1,6,g3,0,5,7,0,1,0,0,2,2,2,2,3
1,7,g5,0,5,17,0,1,0,0,2,2,1,2,1
1,8,g8,0,5,23,0,0,0,0,2,0,2,0,3
1,8,g9,0,5,23,0,0,0,0,2,0,2,0,3
2,6,g2,0,3,7,0,1,2,2,0,2,2,2,3
2,9,g3,0,3,2,0,0,2,2,0,1,1,2,3
2,10,g5,0,3,16,0,1,2,2,0,1,0,1,2
2,11,g8,0,3,16,0,0,2,2,0,1,0,1,3
2,11,g9,0,3,16,0,0,2,2,0,1,0,1,3
3,7,g2,0,24,17,1,1,2,1,0,2,1,2,3
3,12,g3,0,24,11,1,1,2,1,0,0,2,1,3
3,13,g5,0,24,13,1,0,2,1,0,1,2,1,1
3,14,g8,0,24,2,1,1,2,1,0,1,1,2,2
3,14,g9,0,24,2,1,1,2,1,0,1,1,2,2
4,8,g2,0,11,23,0,0,0,2,1,0,2,0,3
4,11,g3,0,11,16,0,0,0,2,1,1,0,1,3
4,15,g5,0,11,21,0,1,0,2,1,2,0,1,1
4,0,g8,0,11,0,0,0,0,2,1,0,0,0,3
4,0,g9,0,11,0,0,0,0,2,1,0,0,0,3
5,0,g2,0,8,0,1,0,0,0,1,0,0,0,3
5,16,g3,0,8,6,1,0,0,0,1,2,2,1,3
5,17,g5,0,8,10,1,1,0,0,1,2,1,1,1
5,18,g8,0,8,18,1,0,0,0,1,0,2,2,3
5,18,g9,0,8,18,1,0,0,0,1,0,2,2,3
6,16,g2,0,7,6,1,0,2,2,2,2,2,1,3
6,19,g3,0,7,4,1,0,2,2,2,1,1,1,3
6,20,g5,0,7,12,1,1,2,2,2,1,0,0,2
6,21,g8,0,7,12,1,0,2,2,2,1,0,0,3
6,21,g9,0,7,12,1,0,2,2,2,1,0,0,3
7,17,g2,0,17,10,1,1,2,1,2,2,1,1,3
7,22,g3,0,17,23,1,1,2,1,2,0,2,0,3
7,23,g5,0,17,26,1,0,2,1,2,1,2,0,1
7,24,g8,0,17,4,1,1,2,1,2,1,1,1,2
7,24,g9,0,17,4,1,1,2,1,2,1,1,1,2
8,18,g2,0,23,18,0,0,0,2,0,0,2,2,3
8,21,g3,0,23,12,0,0,0,2,0,1,0,0,3
8,25,g5,0,23,19,0,1,0,2,0,2,0,0,1
8,1,g8,0,23,5,0,0,0,2,0,0,0,2,3
8,1,g9,0,23,5,0,0,0,2,0,0,0,2,3
9,19,g2,0,2,4,0,0,1,1,2,1,1,1,3
9,0,g3,0,2,0,0,0,1,1,2,0,0,0,3
9,12,g5,1,2,11,0,1,1,1,2,0,2,1,1
9,26,g8,0,2,24,0,0,1,1,2,2,1,0,3
9,26,g9,0,2,24,0,0,1,1,2,2,1,0,3
10,20,g2,0,16,12,1,1,1,0,1,1,0,0,3
