i,j,comm_order,cycle_types,nontriv_cycles,fixed_reflections
0,1,1,"{""1,0,0"": 120}",0,0
0,2,4,"{""2,0,0"": 8, ""4,0,0"": 26}",0,0
0,3,1,"{""1,0,0"": 120}",0,0
0,4,1,"{""1,0,0"": 120}",0,0
0,5,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
0,6,4,"{""2,0,0"": 8, ""4,0,0"": 26}",0,0
0,7,1,"{""1,0,0"": 120}",0,0
0,8,1,"{""1,0,0"": 120}",0,0
0,9,1,"{""1,0,0"": 120}",0,0
1,2,1,"{""1,0,0"": 120}",0,0
1,3,4,"{""2,0,0"": 8, ""4,0,0"": 26}",0,0
1,4,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
1,5,1,"{""1,0,0"": 120}",0,0
1,6,1,"{""1,0,0"": 120}",0,0
1,7,4,"{""2,0,0"": 8, ""4,0,0"": 26}",0,0
1,8,1,"{""1,0,0"": 120}",0,0
1,9,1,"{""1,0,0"": 120}",0,0
2,3,1,"{""1,0,0"": 120}",0,0
2,4,3,"{""1,0,0"": 3, ""3,0,0"": 39}",0,0
2,5,1,"{""1,0,0"": 120}",0,0
2,6,4,"{""2,0,0"": 8, ""4,0,0"": 26}",0,0
2,7,1,"{""1,0,0"": 120}",0,0
2,8,1,"{""1,0,0"": 120}",0,0
2,9,1,"{""1,0,0"": 120}",0,0
3,4,1,"{""1,0,0"": 120}",0,0
3,5,3,"{""1,0,0"": 3, ""3,0,0"": 39}",0,0
3,6,1,"{""1,0,0"": 120}",0,0
3,7,4,"{""2,0,0"": 8, ""4,0,0"": 26}",0,0
3,8,1,"{""1,0,0"": 120}",0,0
3,9,1,"{""1,0,0"": 120}",0,0
4,5,2,"{""1,0,0"": 4, ""1,1,0"": 8, ""2,0,0"": 54}",8,8
4,6,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
4,7,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
4,8,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
4,9,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
5,6,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
5,7,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
5,8,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
5,9,3,"{""3,0,0"": 39, ""1,0,0"": 3}",0,0
6,7,1,"{""1,0,0"": 120}",0,0
6,8,1,"{""1,0,0"": 120}",0,0
6,9,1,"{""1,0,0"": 120}",0,0
7,8,1,"{""1,0,0"": 120}",0,0
7,9,1,"{""1,0,0"": 120}",0,0
8,9,1,"{""1,0,0"": 120}",0,0
