edgepair_id,gen,edgepair_image,flip_Z2,rot_Z3
0,0,6,0,0
0,1,13,0,0
0,2,0,0,0
0,3,0,0,0
0,4,2,0,0
0,5,1,1,0
0,6,3,0,0
0,7,12,0,0
0,8,0,0,0
0,9,0,0,0
1,0,7,0,0
1,1,19,1,0
1,2,1,0,0
1,3,1,0,0
1,4,0,0,0
1,5,2,0,0
1,6,4,0,0
1,7,18,1,0
1,8,2,0,0
1,9,2,0,0
2,0,8,0,0
2,1,16,1,0
2,2,2,0,0
2,3,2,0,0
2,4,1,0,0
2,5,0,1,0
2,6,5,0,0
2,7,15,1,0
2,8,1,0,0
2,9,1,0,0
3,0,3,0,0
3,1,48,0,0
3,2,6,0,0
3,3,3,0,0
3,4,3,0,0
3,5,30,0,0
3,6,0,0,0
3,7,39,0,0
3,8,3,0,0
3,9,3,0,0
4,0,4,0,0
4,1,51,0,0
4,2,7,0,0
4,3,4,0,0
4,4,4,0,0
4,5,37,0,0
4,6,2,0,0
4,7,42,0,0
4,8,5,0,0
4,9,5,0,0
5,0,5,0,0
5,1,54,0,0
5,2,8,0,0
5,3,5,0,0
5,4,5,0,0
5,5,35,0,0
5,6,1,0,0
5,7,45,0,0
5,8,4,0,0
5,9,4,0,0
6,0,9,0,0
6,1,49,0,0
6,2,9,0,0
6,3,6,0,0
6,4,8,0,0
6,5,33,0,0
6,6,9,0,0
6,7,40,0,0
6,8,6,0,0
6,9,6,0,0
7,0,11,0,0
7,1,52,0,0
7,2,10,0,0
7,3,7,0,0
7,4,6,0,0
7,5,31,0,0
7,6,10,0,0
7,7,43,0,0
7,8,8,0,0
7,9,8,0,0
8,0,10,0,0
8,1,55,0,0
8,2,11,0,0
8,3,8,0,0
8,4,7,0,0
8,5,38,0,0
8,6,11,0,0
8,7,46,0,0
8,8,7,0,0
8,9,7,0,0
9,0,0,0,0
9,1,50,0,0
9,2,3,0,0
9,3,9,0,0
9,4,10,0,0
9,5,36,0,0
9,6,6,0,0
9,7,41,0,0
9,8,9,0,0
9,9,9,0,0
10,0,2,0,0
10,1,53,0,0
10,2,4,0,0
10,3,10,0,0
10,4,11,0,0
10,5,34,0,0
10,6,8,0,0
10,7,44,0,0
10,8,11,0,0
10,9,11,0,0
11,0,1,0,0
11,1,56,0,0
11,2,5,0,0
11,3,11,0,0
11,4,9,0,0
11,5,32,0,0
11,6,7,0,0
11,7,47,0,0
11,8,10,0,0
11,9,10,0,0
12,0,40,0,0
12,1,12,0,0
12,2,12,0,0
12,3,13,0,0
12,4,30,0,0
12,5,12,0,0
12,6,39,0,0
12,7,0,0,0
12,8,12,0,0
