gen,cycle_len,hol_flip_Z2,hol_rot_Z3
0,3,0,0
0,3,0,0
0,3,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,1,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
4,3,0,0
4,1,0,0
4,1,0,0
4,1,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
