orbit_id,pocket_vertices,axis_vertex,parent_orbit_id,parent_gen
0,"[0, 1, 2, 14, 15, 17, 27]",27,,
1,"[0, 1, 9, 14, 22, 24, 34]",9,0.0,g2
2,"[0, 1, 5, 7, 12, 14, 26]",26,0.0,g3
3,"[4, 9, 19, 20, 21, 26, 27]",19,0.0,g5
4,"[0, 8, 9, 17, 25, 26, 27]",0,0.0,g8
5,"[0, 1, 14, 21, 26, 31, 33]",26,1.0,g2
6,"[0, 1, 14, 20, 27, 30, 32]",27,1.0,g3
7,"[6, 9, 15, 23, 26, 27, 28]",28,1.0,g5
8,"[3, 9, 12, 14, 26, 27, 34]",14,1.0,g8
9,"[0, 1, 4, 9, 10, 11, 14]",9,2.0,g3
10,"[5, 9, 16, 22, 26, 27, 29]",29,2.0,g5
11,"[1, 5, 9, 16, 22, 26, 27]",1,2.0,g8
12,"[8, 9, 17, 25, 26, 27, 28]",28,3.0,g3
13,"[0, 10, 19, 24, 25, 28, 29]",0,3.0,g5
14,"[0, 1, 4, 10, 11, 14, 19]",19,3.0,g8
15,"[2, 3, 19, 20, 27, 28, 29]",27,4.0,g5
16,"[0, 1, 9, 14, 23, 25, 35]",9,5.0,g3
17,"[7, 9, 18, 24, 26, 27, 29]",29,5.0,g5
18,"[1, 9, 11, 26, 27, 32, 33]",1,5.0,g8
19,"[0, 1, 6, 8, 13, 14, 26]",26,6.0,g3
20,"[9, 10, 19, 26, 27, 30, 31]",19,6.0,g5
21,"[0, 9, 10, 26, 27, 30, 31]",0,6.0,g8
22,"[3, 9, 12, 26, 27, 29, 34]",29,7.0,g3
23,"[12, 13, 14, 19, 21, 28, 29]",14,7.0,g5
24,"[0, 1, 6, 8, 13, 14, 28]",28,7.0,g8
25,"[9, 11, 19, 22, 23, 28, 29]",9,8.0,g5
26,"[4, 9, 14, 20, 21, 26, 27]",14,9.0,g8
27,"[1, 5, 6, 19, 28, 29, 33]",1,10.0,g5
28,"[0, 1, 5, 7, 12, 14, 29]",29,10.0,g8
29,"[5, 6, 19, 26, 28, 29, 33]",26,11.0,g5
30,"[2, 3, 14, 19, 20, 28, 29]",14,12.0,g5
31,"[0, 1, 2, 14, 15, 17, 28]",28,12.0,g8
32,"[1, 15, 16, 19, 28, 29, 32]",1,13.0,g3
33,"[7, 8, 19, 26, 28, 29, 31]",26,15.0,g3
34,"[0, 1, 3, 14, 16, 18, 27]",27,16.0,g3
35,"[2, 9, 13, 26, 27, 28, 35]",28,16.0,g5
36,"[2, 9, 13, 14, 26, 27, 35]",14,16.0,g8
37,"[9, 11, 19, 26, 27, 32, 33]",19,17.0,g3
38,"[0, 1, 3, 14, 16, 18, 29]",29,17.0,g8
39,"[1, 6, 9, 15, 23, 26, 27]",1,19.0,g8
40,"[0, 17, 18, 19, 28, 29, 30]",0,20.0,g5
41,"[0, 1, 14, 19, 20, 30, 32]",19,20.0,g8
42,"[17, 18, 19, 27, 28, 29, 30]",27,21.0,g5
43,"[1, 11, 19, 22, 23, 28, 29]",1,22.0,g5
44,"[0, 1, 14, 22, 24, 29, 34]",29,22.0,g8
45,"[9, 10, 19, 24, 25, 28, 29]",9,26.0,g5
46,"[4, 14, 19, 28, 29, 34, 35]",14,27.0,g3
47,"[4, 9, 19, 28, 29, 34, 35]",9,29.0,g3
48,"[0, 7, 8, 19, 28, 29, 31]",0,30.0,g3
49,"[0, 7, 9, 18, 24, 26, 27]",0,34.0,g8
50,"[0, 1, 14, 23, 25, 28, 35]",28,35.0,g8
51,"[0, 1, 14, 19, 21, 31, 33]",19,37.0,g8
52,"[12, 13, 19, 21, 26, 28, 29]",26,39.0,g5
53,"[15, 16, 19, 27, 28, 29, 32]",27,45.0,g3
