pocket_id,pocket_vertices,k5_edge1,k5_edge2,shared_endpoints,unlabeled_vertices,completion
12,0 1 14 19 20 30 32,"(0, 4)","(3, 4)",1,14 19,0
14,0 1 14 20 27 30 32,"(0, 4)","(3, 4)",1,14 27,1
28,0 2 15 18 20 29 32,"(2, 4)","(3, 4)",1,15 18,0
30,0 2 15 20 27 29 32,"(2, 4)","(3, 4)",1,15 27,1
42,0 3 16 17 20 28 32,"(1, 4)","(3, 4)",1,16 17,0
44,0 3 16 20 27 28 32,"(1, 4)","(3, 4)",1,16 27,1
54,0 4 11 19 20 26 32,"(0, 3)","(3, 4)",1,11 19,0
56,0 4 11 20 26 31 32,"(0, 3)","(3, 4)",1,11 31,1
64,0 5 12 18 20 25 32,"(2, 3)","(3, 4)",1,12 18,0
66,0 5 12 20 25 31 32,"(2, 3)","(3, 4)",1,12 31,1
72,0 6 13 17 20 24 32,"(1, 3)","(3, 4)",1,13 17,0
74,0 6 13 20 24 31 32,"(1, 3)","(3, 4)",1,13 31,1
83,0 7 10 20 23 32 35,"(0, 2)","(3, 4)",0,10 35,0
85,0 7 17 20 23 32 35,"(0, 2)","(3, 4)",0,17 35,1
89,0 8 10 20 22 32 34,"(0, 1)","(3, 4)",0,10 34,0
91,0 8 18 20 22 32 34,"(0, 1)","(3, 4)",0,18 34,1
93,0 9 10 20 21 32 33,"(1, 2)","(3, 4)",0,10 33,0
95,0 9 19 20 21 32 33,"(1, 2)","(3, 4)",0,19 33,1
115,1 2 16 17 20 29 30,"(0, 4)","(2, 4)",1,16 17,0
117,1 2 17 20 27 29 30,"(0, 4)","(2, 4)",1,17 27,1
129,1 3 15 18 20 28 30,"(0, 4)","(1, 4)",1,15 18,0
131,1 3 18 20 27 28 30,"(0, 4)","(1, 4)",1,18 27,1
141,1 4 10 19 20 26 30,"(0, 3)","(0, 4)",1,10 19,0
143,1 4 10 20 26 30 33,"(0, 3)","(0, 4)",1,10 33,1
154,1 5 11 20 25 30 35,"(0, 4)","(2, 3)",0,11 35,0
156,1 5 15 20 25 30 35,"(0, 4)","(2, 3)",0,15 35,1
162,1 6 11 20 24 30 34,"(0, 4)","(1, 3)",0,11 34,0
164,1 6 16 20 24 30 34,"(0, 4)","(1, 3)",0,16 34,1
168,1 7 12 16 20 23 30,"(0, 2)","(0, 4)",1,12 16,0
170,1 7 12 20 23 30 33,"(0, 2)","(0, 4)",1,12 33,1
174,1 8 13 15 20 22 30,"(0, 1)","(0, 4)",1,13 15,0
176,1 8 13 20 22 30 33,"(0, 1)","(0, 4)",1,13 33,1
180,1 9 11 20 21 30 31,"(0, 4)","(1, 2)",0,11 31,0
182,1 9 19 20 21 30 31,"(0, 4)","(1, 2)",0,19 31,1
200,2 3 14 19 20 28 29,"(1, 4)","(2, 4)",1,14 19,0
202,2 3 19 20 27 28 29,"(1, 4)","(2, 4)",1,19 27,1
213,2 4 12 20 26 29 35,"(0, 3)","(2, 4)",0,12 35,0
215,2 4 14 20 26 29 35,"(0, 3)","(2, 4)",0,14 35,1
223,2 5 10 18 20 25 29,"(2, 3)","(2, 4)",1,10 18,0
225,2 5 10 20 25 29 34,"(2, 3)","(2, 4)",1,10 34,1
233,2 6 12 20 24 29 33,"(1, 3)","(2, 4)",0,12 33,0
235,2 6 16 20 24 29 33,"(1, 3)","(2, 4)",0,16 33,1
239,2 7 11 16 20 23 29,"(0, 2)","(2, 4)",1,11 16,0
241,2 7 11 20 23 29 34,"(0, 2)","(2, 4)",1,11 34,1
245,2 8 12 20 22 29 31,"(0, 1)","(2, 4)",0,12 31,0
247,2 8 18 20 22 29 31,"(0, 1)","(2, 4)",0,18 31,1
249,2 9 13 14 20 21 29,"(1, 2)","(2, 4)",1,13 14,0
251,2 9 13 20 21 29 34,"(1, 2)","(2, 4)",1,13 34,1
270,3 4 13 20 26 28 34,"(0, 3)","(1, 4)",0,13 34,0
272,3 4 14 20 26 28 34,"(0, 3)","(1, 4)",0,14 34,1
278,3 5 13 20 25 28 33,"(1, 4)","(2, 3)",0,13 33,0
280,3 5 15 20 25 28 33,"(1, 4)","(2, 3)",0,15 33,1
