line_id,a,b,c,odd_nonface_preimages,even_nonface_preimages,self_included,total_preimages
0,0,1,14,0,9,1,10
19,0,2,15,0,9,1,10
18,0,3,16,0,9,1,10
39,0,4,11,0,9,1,10
29,0,5,12,0,9,1,10
24,0,6,13,0,9,1,10
14,0,20,32,6,3,1,10
25,0,21,33,6,3,1,10
31,0,22,34,6,3,1,10
35,0,23,35,6,3,1,10
33,1,2,17,0,9,1,10
38,1,3,18,0,9,1,10
23,1,4,10,0,9,1,10
13,1,7,12,0,9,1,10
17,1,8,13,0,9,1,10
34,1,20,30,6,3,1,10
21,1,21,31,6,3,1,10
27,1,24,34,6,3,1,10
28,1,25,35,6,3,1,10
30,2,3,19,0,9,1,10
7,2,5,10,0,9,1,10
2,2,7,11,0,9,1,10
15,2,9,13,0,9,1,10
22,2,20,29,6,3,1,10
5,2,22,31,6,3,1,10
11,2,24,33,6,3,1,10
37,2,26,35,6,3,1,10
12,3,6,10,0,9,1,10
4,3,8,11,0,9,1,10
20,3,9,12,0,9,1,10
26,3,20,28,6,3,1,10
1,3,23,31,6,3,1,10
9,3,25,33,6,3,1,10
36,3,26,34,6,3,1,10
1,4,5,17,0,9,1,10
5,4,6,18,0,9,1,10
9,4,7,15,0,9,1,10
11,4,8,16,0,9,1,10
32,4,20,26,6,3,1,10
30,4,21,27,6,3,1,10
15,4,28,34,6,3,1,10
20,4,29,35,6,3,1,10
21,5,6,19,0,9,1,10
36,5,7,14,0,9,1,10
27,5,9,16,0,9,1,10
10,5,20,25,6,3,1,10
38,5,22,27,6,3,1,10
17,5,28,33,6,3,1,10
4,5,30,35,6,3,1,10
37,6,8,14,0,9,1,10
28,6,9,15,0,9,1,10
8,6,20,24,6,3,1,10
33,6,23,27,6,3,1,10
13,6,29,33,6,3,1,10
2,6,30,34,6,3,1,10
25,7,8,19,0,9,1,10
31,7,9,18,0,9,1,10
6,7,20,23,6,3,1,10
18,7,24,27,6,3,1,10
24,7,28,31,6,3,1,10
12,7,32,35,6,3,1,10
35,8,9,17,0,9,1,10
3,8,20,22,6,3,1,10
19,8,25,27,6,3,1,10
29,8,29,31,6,3,1,10
7,8,32,34,6,3,1,10
16,9,20,21,6,3,1,10
0,9,26,27,6,3,1,10
39,9,30,31,6,3,1,10
23,9,32,33,6,3,1,10
16,10,11,14,0,9,1,10
3,10,12,15,0,9,1,10
6,10,13,16,0,9,1,10
35,10,24,28,0,9,1,10
31,10,25,29,0,9,1,10
25,10,26,30,0,9,1,10
14,10,27,31,0,9,1,10
8,11,12,17,0,9,1,10
10,11,13,18,0,9,1,10
28,11,22,28,0,9,1,10
27,11,23,29,0,9,1,10
21,11,26,32,0,9,1,10
34,11,27,33,0,9,1,10
32,12,13,19,0,9,1,10
37,12,21,28,0,9,1,10
11,12,23,30,0,9,1,10
5,12,25,32,0,9,1,10
22,12,27,34,0,9,1,10
36,13,21,29,0,9,1,10
9,13,22,30,0,9,1,10
1,13,24,32,0,9,1,10
26,13,27,35,0,9,1,10
26,14,15,17,0,9,1,10
22,14,16,18,0,9,1,10
20,14,22,24,0,9,1,10
15,14,23,25,0,9,1,10
30,14,30,32,0,9,1,10
32,14,31,33,0,9,1,10
34,15,16,19,0,9,1,10
4,15,21,24,0,9,1,10
17,15,23,26,0,9,1,10
38,15,29,32,0,9,1,10
10,15,31,34,0,9,1,10
2,16,21,25,0,9,1,10
13,16,22,26,0,9,1,10
33,16,28,32,0,9,1,10
8,16,31,35,0,9,1,10
14,17,18,19,0,9,1,10
12,17,21,22,0,9,1,10
24,17,25,26,0,9,1,10
18,17,29,30,0,9,1,10
6,17,33,34,0,9,1,10
7,18,21,23,0,9,1,10
29,18,24,26,0,9,1,10
19,18,28,30,0,9,1,10
3,18,33,35,0,9,1,10
23,19,22,23,0,9,1,10
39,19,24,25,0,9,1,10
0,19,28,29,0,9,1,10
16,19,34,35,0,9,1,10
