i,j,k,image_face_a,image_face_b,image_face_c,line_id
0,11,22,4,28,34,15
0,11,23,4,29,35,20
0,11,32,4,20,26,32
0,11,33,4,21,27,30
0,12,21,5,28,33,17
0,12,23,5,30,35,4
0,12,32,5,20,25,10
0,12,34,5,22,27,38
0,13,21,6,29,33,13
0,13,22,6,30,34,2
0,13,32,6,20,24,8
0,13,35,6,23,27,33
0,14,22,1,24,34,27
0,14,23,1,25,35,28
0,14,32,1,20,30,34
0,14,33,1,21,31,21
0,15,21,2,24,33,11
0,15,23,2,26,35,37
0,15,32,2,20,29,22
0,15,34,2,22,31,5
0,16,21,3,25,33,9
0,16,22,3,26,34,36
0,16,32,3,20,28,26
0,16,35,3,23,31,1
1,10,24,4,28,34,15
1,10,25,4,29,35,20
1,10,30,4,20,26,32
1,10,31,4,21,27,30
1,12,21,7,28,31,24
1,12,25,7,32,35,12
1,12,30,7,20,23,6
1,12,34,7,24,27,18
1,13,21,8,29,31,29
1,13,24,8,32,34,7
1,13,30,8,20,22,3
1,13,35,8,25,27,19
1,14,24,0,22,34,31
1,14,25,0,23,35,35
1,14,30,0,20,32,14
1,14,31,0,21,33,25
1,17,21,2,22,31,5
1,17,25,2,26,35,37
1,17,30,2,20,29,22
1,17,34,2,24,33,11
1,18,21,3,23,31,1
1,18,24,3,26,34,36
1,18,30,3,20,28,26
1,18,35,3,25,33,9
2,10,24,5,28,33,17
2,10,26,5,30,35,4
2,10,29,5,20,25,10
2,10,31,5,22,27,38
2,11,22,7,28,31,24
2,11,26,7,32,35,12
2,11,29,7,20,23,6
2,11,33,7,24,27,18
2,13,22,9,30,31,39
2,13,24,9,32,33,23
2,13,29,9,20,21,16
2,13,35,9,26,27,0
2,15,24,0,21,33,25
2,15,26,0,23,35,35
2,15,29,0,20,32,14
2,15,31,0,22,34,31
2,17,22,1,21,31,21
2,17,26,1,25,35,28
2,17,29,1,20,30,34
2,17,33,1,24,34,27
2,19,22,3,23,31,1
2,19,24,3,25,33,9
2,19,29,3,20,28,26
2,19,35,3,26,34,36
3,10,25,6,29,33,13
3,10,26,6,30,34,2
3,10,28,6,20,24,8
3,10,31,6,23,27,33
3,11,23,8,29,31,29
3,11,26,8,32,34,7
3,11,28,8,20,22,3
3,11,33,8,25,27,19
3,12,23,9,30,31,39
3,12,25,9,32,33,23
3,12,28,9,20,21,16
3,12,34,9,26,27,0
3,16,25,0,21,33,25
3,16,26,0,22,34,31
3,16,28,0,20,32,14
3,16,31,0,23,35,35
3,18,23,1,21,31,21
3,18,26,1,24,34,27
3,18,28,1,20,30,34
3,18,33,1,25,35,28
3,19,23,2,22,31,5
3,19,25,2,24,33,11
3,19,28,2,20,29,22
3,19,34,2,26,35,37
4,10,26,1,20,30,34
4,10,27,1,21,31,21
4,10,28,1,24,34,27
4,10,29,1,25,35,28
4,11,26,0,20,32,14
4,11,27,0,21,33,25
4,11,28,0,22,34,31
4,11,29,0,23,35,35
4,15,21,7,24,27,18
4,15,26,7,20,23,6
4,15,29,7,32,35,12
4,15,34,7,28,31,24
4,16,21,8,25,27,19
4,16,26,8,20,22,3
4,16,28,8,32,34,7
4,16,35,8,29,31,29
4,17,21,5,22,27,38
4,17,26,5,20,25,10
4,17,29,5,30,35,4
4,17,34,5,28,33,17
4,18,21,6,23,27,33
4,18,26,6,20,24,8
4,18,28,6,30,34,2
4,18,35,6,29,33,13
5,10,25,2,20,29,22
5,10,27,2,22,31,5
5,10,28,2,24,33,11
5,10,30,2,26,35,37
5,12,25,0,20,32,14
5,12,27,0,22,34,31
5,12,28,0,21,33,25
5,12,30,0,23,35,35
5,14,22,7,24,27,18
5,14,25,7,20,23,6
5,14,30,7,32,35,12
5,14,33,7,28,31,24
5,16,22,9,26,27,0
5,16,25,9,20,21,16
5,16,28,9,32,33,23
5,16,35,9,30,31,39
5,17,22,4,21,27,30
5,17,25,4,20,26,32
5,17,30,4,29,35,20
5,17,33,4,28,34,15
5,19,22,6,23,27,33
5,19,25,6,20,24,8
5,19,28,6,29,33,13
5,19,35,6,30,34,2
6,10,24,3,20,28,26
6,10,27,3,23,31,1
6,10,29,3,25,33,9
6,10,30,3,26,34,36
6,13,24,0,20,32,14
6,13,27,0,23,35,35
6,13,29,0,21,33,25
6,13,30,0,22,34,31
6,14,23,8,25,27,19
6,14,24,8,20,22,3
6,14,30,8,32,34,7
6,14,33,8,29,31,29
6,15,23,9,26,27,0
6,15,24,9,20,21,16
6,15,29,9,32,33,23
6,15,34,9,30,31,39
6,18,23,4,21,27,30
6,18,24,4,20,26,32
6,18,30,4,28,34,15
6,18,33,4,29,35,20
6,19,23,5,22,27,38
6,19,24,5,20,25,10
6,19,29,5,28,33,17
6,19,34,5,30,35,4
7,11,23,2,20,29,22
7,11,27,2,24,33,11
7,11,28,2,22,31,5
7,11,32,2,26,35,37
7,12,23,1,20,30,34
7,12,27,1,24,34,27
7,12,28,1,21,31,21
7,12,32,1,25,35,28
7,14,23,5,20,25,10
7,14,24,5,22,27,38
7,14,31,5,28,33,17
7,14,32,5,30,35,4
7,15,23,4,20,26,32
7,15,24,4,21,27,30
7,15,31,4,28,34,15
7,15,32,4,29,35,20
7,18,23,9,20,21,16
7,18,24,9,26,27,0
7,18,28,9,30,31,39
7,18,35,9,32,33,23
7,19,23,8,20,22,3
7,19,24,8,25,27,19
7,19,28,8,29,31,29
7,19,35,8,32,34,7
8,11,22,3,20,28,26
8,11,27,3,25,33,9
8,11,29,3,23,31,1
8,11,32,3,26,34,36
8,13,22,1,20,30,34
8,13,27,1,25,35,28
8,13,29,1,21,31,21
8,13,32,1,24,34,27
8,14,22,6,20,24,8
8,14,25,6,23,27,33
8,14,31,6,29,33,13
8,14,32,6,30,34,2
8,16,22,4,20,26,32
8,16,25,4,21,27,30
8,16,31,4,29,35,20
8,16,32,4,28,34,15
8,17,22,9,20,21,16
8,17,25,9,26,27,0
8,17,29,9,30,31,39
8,17,34,9,32,33,23
8,19,22,7,20,23,6
8,19,25,7,24,27,18
8,19,29,7,28,31,24
8,19,34,7,32,35,12
9,12,21,3,20,28,26
9,12,27,3,26,34,36
9,12,30,3,23,31,1
9,12,32,3,25,33,9
9,13,21,2,20,29,22
9,13,27,2,26,35,37
9,13,30,2,22,31,5
9,13,32,2,24,33,11
9,15,21,6,20,24,8
9,15,26,6,23,27,33
9,15,31,6,30,34,2
9,15,32,6,29,33,13
9,16,21,5,20,25,10
9,16,26,5,22,27,38
9,16,31,5,30,35,4
9,16,32,5,28,33,17
9,17,21,8,20,22,3
9,17,26,8,25,27,19
9,17,30,8,29,31,29
9,17,33,8,32,34,7
9,18,21,7,20,23,6
9,18,26,7,24,27,18
9,18,30,7,28,31,24
9,18,33,7,32,35,12
