flag_index,stab_index,orbit96
0,0,0
1,1,1
2,2,1
3,3,0
4,4,1
5,5,0
6,6,0
7,7,1
8,40,1
9,41,0
10,42,0
11,43,1
12,44,0
13,45,1
14,46,1
15,47,0
16,64,1
17,65,0
18,66,0
19,67,1
20,68,0
21,69,1
22,70,1
23,71,0
24,104,0
25,105,1
26,106,1
27,107,0
28,108,1
29,109,0
30,110,0
31,111,1
32,192,1
33,193,0
34,194,0
35,195,1
36,196,0
37,197,1
38,198,1
39,199,0
40,240,1
41,241,0
42,242,0
43,243,1
44,244,0
45,245,1
46,246,1
47,247,0
48,256,0
49,257,1
50,258,1
51,259,0
52,260,1
53,261,0
54,262,0
55,263,1
56,328,0
57,329,1
58,330,1
59,331,0
60,332,1
61,333,0
62,334,0
63,335,1
64,392,0
65,393,1
66,394,1
67,395,0
68,396,1
69,397,0
70,398,0
71,399,1
72,432,0
73,433,1
74,434,1
75,435,0
76,436,1
77,437,0
78,438,0
79,439,1
80,480,1
81,481,0
82,482,0
83,483,1
84,484,0
85,485,1
86,486,1
87,487,0
88,520,1
89,521,0
90,522,0
91,523,1
92,524,0
93,525,1
94,526,1
95,527,0
96,576,0
97,577,1
98,578,1
99,579,0
100,580,1
101,581,0
102,582,0
103,583,1
104,608,1
105,609,0
106,610,0
107,611,1
108,612,0
109,613,1
110,614,1
111,615,0
112,688,1
113,689,0
114,690,0
115,691,1
116,692,0
117,693,1
118,694,1
119,695,0
120,720,0
121,721,1
122,722,1
123,723,0
124,724,1
125,725,0
126,726,0
127,727,1
128,776,1
129,777,0
130,778,0
131,779,1
132,780,0
133,781,1
134,782,1
135,783,0
136,832,0
137,833,1
138,834,1
139,835,0
140,836,1
141,837,0
142,838,0
143,839,1
144,880,0
145,881,1
146,882,1
147,883,0
148,884,1
149,885,0
150,886,0
151,887,1
152,912,1
153,913,0
154,914,0
155,915,1
156,916,0
157,917,1
158,918,1
159,919,0
160,1000,1
161,1001,0
162,1002,0
163,1003,1
164,1004,0
165,1005,1
166,1006,1
167,1007,0
168,1032,0
169,1033,1
170,1034,1
171,1035,0
172,1036,1
173,1037,0
174,1038,0
175,1039,1
176,1072,1
177,1073,0
178,1074,0
179,1075,1
180,1076,0
181,1077,1
182,1078,1
183,1079,0
184,1104,0
185,1105,1
186,1106,1
187,1107,0
188,1108,1
189,1109,0
190,1110,0
191,1111,1
