stab_index,axis_unit,silent_sign,phi0,phi1,phi2,phi3,phi4,phi5,phi6,bit0,bit1,bit2,bit3,bit4,bit5,bit6
7,7,1,1,2,4,3,5,6,7,0,0,0,0,0,1,0
6,7,-1,1,2,4,3,5,6,7,0,0,1,0,1,0,1
5,7,-1,1,2,4,3,5,6,7,0,1,0,1,0,0,1
4,7,1,1,2,4,3,5,6,7,0,1,1,1,1,1,0
3,7,-1,1,2,4,3,5,6,7,1,0,0,1,1,1,1
2,7,1,1,2,4,3,5,6,7,1,0,1,1,0,0,0
1,7,1,1,2,4,3,5,6,7,1,1,0,0,1,0,0
0,7,-1,1,2,4,3,5,6,7,1,1,1,0,0,1,1
15,6,-1,1,2,5,3,4,7,6,0,0,0,0,1,1,1
14,6,1,1,2,5,3,4,7,6,0,0,1,0,0,0,0
13,6,1,1,2,5,3,4,7,6,0,1,0,1,1,0,0
12,6,-1,1,2,5,3,4,7,6,0,1,1,1,0,1,1
11,6,1,1,2,5,3,4,7,6,1,0,0,1,0,1,0
10,6,-1,1,2,5,3,4,7,6,1,0,1,1,1,0,1
9,6,-1,1,2,5,3,4,7,6,1,1,0,0,0,0,1
8,6,1,1,2,5,3,4,7,6,1,1,1,0,1,1,0
23,5,1,1,2,6,3,7,4,5,0,0,0,0,1,0,0
22,5,-1,1,2,6,3,7,4,5,0,0,1,0,0,1,1
21,5,-1,1,2,6,3,7,4,5,0,1,0,1,1,1,1
20,5,1,1,2,6,3,7,4,5,0,1,1,1,0,0,0
19,5,-1,1,2,6,3,7,4,5,1,0,0,1,0,0,1
18,5,1,1,2,6,3,7,4,5,1,0,1,1,1,1,0
17,5,1,1,2,6,3,7,4,5,1,1,0,0,0,1,0
16,5,-1,1,2,6,3,7,4,5,1,1,1,0,1,0,1
31,4,-1,1,2,7,3,6,5,4,0,0,0,0,0,0,1
30,4,1,1,2,7,3,6,5,4,0,0,1,0,1,1,0
29,4,1,1,2,7,3,6,5,4,0,1,0,1,0,1,0
28,4,-1,1,2,7,3,6,5,4,0,1,1,1,1,0,1
27,4,1,1,2,7,3,6,5,4,1,0,0,1,1,0,0
26,4,-1,1,2,7,3,6,5,4,1,0,1,1,0,1,1
25,4,-1,1,2,7,3,6,5,4,1,1,0,0,1,1,1
24,4,1,1,2,7,3,6,5,4,1,1,1,0,0,0,0
39,6,-1,1,3,4,2,5,7,6,0,0,0,1,0,1,1
38,6,1,1,3,4,2,5,7,6,0,0,1,1,1,0,0
37,6,1,1,3,4,2,5,7,6,0,1,0,0,0,0,0
36,6,-1,1,3,4,2,5,7,6,0,1,1,0,1,1,1
35,6,1,1,3,4,2,5,7,6,1,0,0,0,1,1,0
34,6,-1,1,3,4,2,5,7,6,1,0,1,0,0,0,1
33,6,-1,1,3,4,2,5,7,6,1,1,0,1,1,0,1
32,6,1,1,3,4,2,5,7,6,1,1,1,1,0,1,0
47,7,-1,1,3,5,2,4,6,7,0,0,0,1,1,0,1
46,7,1,1,3,5,2,4,6,7,0,0,1,1,0,1,0
45,7,1,1,3,5,2,4,6,7,0,1,0,0,1,1,0
44,7,-1,1,3,5,2,4,6,7,0,1,1,0,0,0,1
43,7,1,1,3,5,2,4,6,7,1,0,0,0,0,0,0
42,7,-1,1,3,5,2,4,6,7,1,0,1,0,1,1,1
41,7,-1,1,3,5,2,4,6,7,1,1,0,1,0,1,1
40,7,1,1,3,5,2,4,6,7,1,1,1,1,1,0,0
55,4,1,1,3,6,2,7,5,4,0,0,0,1,1,1,0
54,4,-1,1,3,6,2,7,5,4,0,0,1,1,0,0,1
53,4,-1,1,3,6,2,7,5,4,0,1,0,0,1,0,1
52,4,1,1,3,6,2,7,5,4,0,1,1,0,0,1,0
51,4,-1,1,3,6,2,7,5,4,1,0,0,0,0,1,1
50,4,1,1,3,6,2,7,5,4,1,0,1,0,1,0,0
49,4,1,1,3,6,2,7,5,4,1,1,0,1,0,0,0
48,4,-1,1,3,6,2,7,5,4,1,1,1,1,1,1,1
63,5,1,1,3,7,2,6,4,5,0,0,0,1,0,0,0
62,5,-1,1,3,7,2,6,4,5,0,0,1,1,1,1,1
61,5,-1,1,3,7,2,6,4,5,0,1,0,0,0,1,1
60,5,1,1,3,7,2,6,4,5,0,1,1,0,1,0,0
59,5,-1,1,3,7,2,6,4,5,1,0,0,0,1,0,1
58,5,1,1,3,7,2,6,4,5,1,0,1,0,0,1,0
57,5,1,1,3,7,2,6,4,5,1,1,0,1,1,1,0
56,5,-1,1,3,7,2,6,4,5,1,1,1,1,0,0,1
71,7,-1,1,4,2,5,3,6,7,0,0,0,0,0,0,1
70,7,1,1,4,2,5,3,6,7,0,0,1,0,1,1,0
69,7,1,1,4,2,5,3,6,7,0,1,0,1,0,1,0
68,7,-1,1,4,2,5,3,6,7,0,1,1,1,1,0,1
67,7,1,1,4,2,5,3,6,7,1,0,0,1,1,0,0
66,7,-1,1,4,2,5,3,6,7,1,0,1,1,0,1,1
65,7,-1,1,4,2,5,3,6,7,1,1,0,0,1,1,1
64,7,1,1,4,2,5,3,6,7,1,1,1,0,0,0,0
79,6,1,1,4,3,5,2,7,6,0,0,0,0,1,0,0
78,6,-1,1,4,3,5,2,7,6,0,0,1,0,0,1,1
77,6,-1,1,4,3,5,2,7,6,0,1,0,1,1,1,1
76,6,1,1,4,3,5,2,7,6,0,1,1,1,0,0,0
75,6,-1,1,4,3,5,2,7,6,1,0,0,1,0,0,1
74,6,1,1,4,3,5,2,7,6,1,0,1,1,1,1,0
73,6,1,1,4,3,5,2,7,6,1,1,0,0,0,1,0
72,6,-1,1,4,3,5,2,7,6,1,1,1,0,1,0,1
