pg_id,x,y,t,inf1,inf2,inf3,inf4
13,0,0,0,0,1,2,3
14,0,0,1,0,7,8,9
15,0,0,2,0,10,11,12
16,0,1,0,1,6,9,12
17,0,1,1,2,6,7,11
18,0,1,2,3,6,8,10
19,0,2,0,1,5,8,11
20,0,2,1,3,5,7,12
21,0,2,2,2,5,9,10
22,1,0,0,0,1,2,3
23,1,0,1,0,7,8,9
24,1,0,2,0,10,11,12
25,1,1,0,1,6,9,12
26,1,1,1,2,6,7,11
27,1,1,2,3,6,8,10
28,1,2,0,1,5,8,11
29,1,2,1,3,5,7,12
30,1,2,2,2,5,9,10
31,2,0,0,0,1,2,3
32,2,0,1,0,7,8,9
33,2,0,2,0,10,11,12
34,2,1,0,1,6,9,12
35,2,1,1,2,6,7,11
36,2,1,2,3,6,8,10
37,2,2,0,1,5,8,11
38,2,2,1,3,5,7,12
39,2,2,2,2,5,9,10
