v1,v2,direction,triangle_class
0,4,0,
0,5,0,
0,6,0,
0,13,0,
0,14,0,
0,15,0,
0,22,0,
0,23,0,
0,24,0,
0,31,0,
0,32,0,
0,33,0,
1,4,1,0
1,7,1,0
1,10,1,0
1,13,1,0
1,16,1,0
1,19,1,0
1,22,1,0
1,25,1,0
1,28,1,0
1,31,1,0
1,34,1,0
1,37,1,0
2,4,2,0
2,8,2,0
2,12,2,0
2,13,2,0
2,17,2,0
2,21,2,0
2,22,2,0
2,26,2,0
2,30,2,0
2,31,2,0
2,35,2,0
2,39,2,0
3,4,3,0
3,9,3,0
3,11,3,0
3,13,3,0
3,18,3,0
3,20,3,0
3,22,3,0
3,27,3,0
3,29,3,0
3,31,3,0
3,36,3,0
3,38,3,0
4,5,4,1
4,6,4,1
4,7,4,1
4,8,4,1
4,9,4,1
4,10,4,1
4,11,4,1
4,12,4,1
5,6,5,1
5,19,5,1
5,20,5,1
5,21,5,1
5,28,5,1
5,29,5,1
5,30,5,1
5,37,5,1
5,38,5,1
5,39,5,1
6,16,6,1
6,17,6,1
6,18,6,1
6,25,6,1
6,26,6,1
6,27,6,1
6,34,6,1
6,35,6,1
6,36,6,1
7,10,7,2
7,14,7,2
7,17,7,2
7,20,7,2
7,23,7,2
7,26,7,2
7,29,7,2
7,32,7,2
7,35,7,2
7,38,7,2
8,12,8,2
8,14,8,2
8,18,8,2
8,19,8,2
8,23,8,2
8,27,8,2
8,28,8,2
8,32,8,2
8,36,8,2
8,37,8,2
9,11,9,2
9,14,9,2
9,16,9,2
9,21,9,2
9,23,9,2
9,25,9,2
9,30,9,2
9,32,9,2
9,34,9,2
9,39,9,2
10,15,10,3
10,18,10,3
10,21,10,3
10,24,10,3
10,27,10,3
10,30,10,3
10,33,10,3
10,36,10,3
10,39,10,3
11,15,11,3
11,17,11,3
11,19,11,3
11,24,11,3
11,26,11,3
11,28,11,3
11,33,11,3
11,35,11,3
11,37,11,3
12,15,12,3
12,16,12,3
12,20,12,3
12,24,12,3
12,25,12,3
12,29,12,3
12,33,12,3
12,34,12,3
12,38,12,3
13,14,0,
13,15,0,
13,16,1,0
13,17,2,0
13,18,3,0
13,19,1,0
13,20,3,0
13,21,2,0
14,15,0,
14,25,9,2
14,26,7,2
14,27,8,2
14,37,8,2
14,38,7,2
14,39,9,2
15,28,11,3
15,29,12,3
15,30,10,3
15,34,12,3
15,35,11,3
15,36,10,3
16,19,1,0
16,24,12,3
16,27,6,1
16,30,9,2
16,32,9,2
16,35,6,1
16,38,12,3
17,21,2,0
17,24,11,3
17,25,6,1
17,29,7,2
17,32,7,2
17,36,6,1
17,37,11,3
18,20,3,0
18,24,10,3
18,26,6,1
18,28,8,2
18,32,8,2
18,34,6,1
18,39,10,3
19,23,8,2
19,26,11,3
19,29,5,1
19,33,11,3
19,36,8,2
19,39,5,1
20,23,7,2
20,25,12,3
20,30,5,1
20,33,12,3
20,35,7,2
20,37,5,1
21,23,9,2
21,27,10,3
21,28,5,1
21,33,10,3
21,34,9,2
21,38,5,1
22,23,0,
22,24,0,
22,25,1,0
22,26,2,0
22,27,3,0
22,28,1,0
22,29,3,0
22,30,2,0
23,24,0,
23,34,9,2
23,35,7,2
23,36,8,2
24,37,11,3
24,38,12,3
24,39,10,3
25,28,1,0
25,33,12,3
25,36,6,1
25,39,9,2
26,30,2,0
26,33,11,3
26,34,6,1
26,38,7,2
27,29,3,0
27,33,10,3
27,35,6,1
27,37,8,2
28,32,8,2
28,35,11,3
28,38,5,1
29,32,7,2
29,34,12,3
29,39,5,1
30,32,9,2
30,36,10,3
30,37,5,1
31,32,0,
31,33,0,
31,34,1,0
31,35,2,0
31,36,3,0
31,37,1,0
31,38,3,0
31,39,2,0
32,33,0,
34,37,1,0
35,39,2,0
36,38,3,0
