line_vertices,direction,affine_points
"[0, 4, 5, 6]",,[]
"[0, 13, 14, 15]",0,"[13, 14, 15]"
"[0, 22, 23, 24]",0,"[22, 23, 24]"
"[0, 31, 32, 33]",0,"[31, 32, 33]"
"[1, 4, 7, 10]",,[]
"[1, 13, 16, 19]",1,"[13, 16, 19]"
"[1, 22, 25, 28]",1,"[22, 25, 28]"
"[1, 31, 34, 37]",1,"[31, 34, 37]"
"[2, 4, 8, 12]",,[]
"[2, 13, 17, 21]",2,"[13, 17, 21]"
"[2, 22, 26, 30]",2,"[22, 26, 30]"
"[2, 31, 35, 39]",2,"[31, 35, 39]"
"[3, 4, 9, 11]",,[]
"[3, 13, 18, 20]",3,"[13, 18, 20]"
"[3, 22, 27, 29]",3,"[22, 27, 29]"
"[3, 31, 36, 38]",3,"[31, 36, 38]"
"[5, 19, 29, 39]",5,"[19, 29, 39]"
"[5, 20, 30, 37]",5,"[20, 30, 37]"
"[5, 21, 28, 38]",5,"[21, 28, 38]"
"[6, 16, 27, 35]",6,"[16, 27, 35]"
"[6, 17, 25, 36]",6,"[17, 25, 36]"
"[6, 18, 26, 34]",6,"[18, 26, 34]"
"[7, 14, 26, 38]",7,"[14, 26, 38]"
"[7, 17, 29, 32]",7,"[17, 29, 32]"
"[7, 20, 23, 35]",7,"[20, 23, 35]"
"[8, 14, 27, 37]",8,"[14, 27, 37]"
"[8, 18, 28, 32]",8,"[18, 28, 32]"
"[8, 19, 23, 36]",8,"[19, 23, 36]"
"[9, 14, 25, 39]",9,"[14, 25, 39]"
"[9, 16, 30, 32]",9,"[16, 30, 32]"
"[9, 21, 23, 34]",9,"[21, 23, 34]"
"[10, 15, 30, 36]",10,"[15, 30, 36]"
"[10, 18, 24, 39]",10,"[18, 24, 39]"
"[10, 21, 27, 33]",10,"[21, 27, 33]"
"[11, 15, 28, 35]",11,"[15, 28, 35]"
"[11, 17, 24, 37]",11,"[17, 24, 37]"
"[11, 19, 26, 33]",11,"[19, 26, 33]"
"[12, 15, 29, 34]",12,"[15, 29, 34]"
"[12, 16, 24, 38]",12,"[16, 24, 38]"
"[12, 20, 25, 33]",12,"[20, 25, 33]"
