c,match,other,sign,c2,match2,other2,sign2,ratio,branch
0,1,15,-1,1,7,19,1,-1,weil
0,1,16,-1,1,7,9,1,-1,weil
0,2,15,1,1,4,19,-1,-1,weil
0,2,16,1,1,4,9,-1,-1,weil
0,3,6,-1,1,6,3,1,-1,weil
0,3,14,-1,1,6,18,1,-1,weil
0,5,10,-1,1,11,17,-1,1,weil
0,5,12,-1,1,11,5,-1,1,weil
0,6,3,-1,1,3,6,1,-1,weil
0,6,11,1,1,3,13,-1,-1,weil
0,7,10,-1,1,10,17,-1,1,weil
0,7,12,1,1,10,5,-1,-1,weil
0,10,5,-1,1,17,11,-1,1,weil
0,10,7,-1,1,17,10,-1,1,weil
0,11,6,1,1,13,3,-1,-1,weil
0,11,14,-1,1,13,18,1,-1,weil
0,12,5,-1,1,5,11,-1,1,weil
0,12,7,1,1,5,10,-1,-1,weil
0,14,3,-1,1,18,6,1,-1,weil
0,14,11,-1,1,18,13,1,-1,weil
0,15,1,-1,1,19,7,1,-1,weil
0,15,2,1,1,19,4,-1,-1,weil
0,16,1,-1,1,9,7,1,-1,weil
0,16,2,1,1,9,4,-1,-1,weil
1,0,20,1,7,1,25,-1,-1,weil
1,2,20,1,7,4,25,1,1,weil
1,3,6,1,7,6,3,-1,-1,weil
1,3,13,-1,7,6,20,1,-1,weil
1,5,10,-1,7,11,17,1,-1,weil
1,6,3,1,7,3,6,-1,-1,weil
1,10,5,-1,7,17,11,1,-1,weil
1,11,17,-1,7,13,8,1,-1,weil
1,13,3,-1,7,20,6,1,-1,weil
1,17,11,-1,7,8,13,1,-1,weil
1,20,0,1,7,25,1,-1,-1,weil
1,20,2,1,7,25,4,1,1,weil
2,0,23,-1,4,1,12,1,-1,weil
2,1,23,1,4,7,12,1,1,weil
2,3,6,-1,4,6,3,1,-1,constant
2,3,19,-1,4,6,24,-1,1,constant
2,5,10,1,4,11,17,1,1,weil
2,5,18,1,4,11,2,-1,-1,weil
2,6,3,-1,4,3,6,1,-1,constant
2,8,10,1,4,16,17,-1,-1,weil
2,8,18,1,4,16,2,1,1,weil
2,10,5,1,4,17,11,1,1,weil
2,10,8,1,4,17,16,-1,-1,weil
2,14,17,1,4,18,8,-1,-1,constant
2,17,14,1,4,8,18,-1,-1,constant
2,18,5,1,4,2,11,-1,-1,weil
2,18,8,1,4,2,16,1,1,weil
2,19,3,-1,4,24,6,-1,1,constant
2,23,0,-1,4,12,1,1,-1,weil
2,23,1,1,4,12,7,1,1,weil
3,0,17,1,6,1,8,-1,-1,weil
3,1,15,1,6,7,19,-1,-1,weil
3,2,20,1,6,4,25,1,1,constant
3,7,12,-1,6,10,5,1,-1,constant
3,8,18,-1,6,16,2,1,-1,weil
3,11,17,1,6,13,8,1,1,weil
3,12,7,-1,6,5,10,1,-1,constant
3,15,1,1,6,19,7,-1,-1,weil
3,17,0,1,6,8,1,-1,-1,weil
3,17,11,1,6,8,13,1,1,weil
3,18,8,-1,6,2,16,1,-1,weil
3,20,2,1,6,25,4,1,1,constant
4,6,24,-1,21,3,14,-1,1,weil
4,10,24,1,21,17,14,-1,-1,weil
4,16,17,-1,21,9,8,1,-1,constant
4,17,16,-1,21,8,9,1,-1,constant
4,24,6,-1,21,14,3,-1,1,weil
4,24,10,1,21,14,17,-1,-1,weil
5,0,19,1,11,1,24,1,1,weil
5,0,21,1,11,1,15,1,1,weil
5,1,14,1,11,7,18,-1,-1,weil
5,2,13,-1,11,4,20,-1,1,weil
5,7,19,-1,11,10,24,-1,1,weil
5,7,21,-1,11,10,15,1,-1,weil
5,8,13,-1,11,16,20,1,-1,weil
5,9,25,1,11,0,22,-1,-1,weil
5,13,2,-1,11,20,4,-1,1,weil
5,13,8,-1,11,20,16,1,-1,weil
5,14,1,1,11,18,7,-1,-1,weil
5,19,0,1,11,24,1,1,1,weil
5,19,7,-1,11,24,10,-1,1,weil
5,21,0,1,11,15,1,1,1,weil
5,21,7,-1,11,15,10,1,-1,weil
5,25,9,1,11,22,0,-1,-1,weil
6,0,17,1,3,1,8,-1,-1,weil
6,1,23,-1,3,7,12,-1,1,weil
6,2,16,1,3,4,9,1,1,constant
6,4,5,-1,3,21,11,1,-1,weil
6,5,4,-1,3,11,21,1,-1,weil
6,5,10,1,3,11,17,1,1,weil
6,10,5,1,3,17,11,1,1,weil
6,13,23,1,3,20,12,-1,-1,weil
6,14,17,-1,3,18,8,-1,1,weil
6,16,2,1,3,9,4,1,1,constant
6,16,19,-1,3,9,24,-1,1,constant
6,17,0,1,3,8,1,-1,-1,weil
6,17,14,-1,3,8,18,-1,1,weil
6,19,16,-1,3,24,9,-1,1,constant
6,23,1,-1,3,12,7,-1,1,weil
6,23,13,1,3,12,20,-1,-1,weil
7,0,22,1,10,1,23,1,1,weil
7,0,24,-1,10,1,14,1,-1,weil
7,3,16,1,10,6,9,-1,-1,constant
7,5,22,1,10,11,23,1,1,weil
7,5,24,1,10,11,14,-1,-1,weil
7,16,3,1,10,9,6,-1,-1,constant
7,22,0,1,10,23,1,1,1,weil
7,22,5,1,10,23,11,1,1,weil
7,24,0,-1,10,14,1,1,-1,weil
7,24,5,1,10,14,11,-1,-1,weil
8,2,24,-1,16,4,14,-1,1,weil
8,3,23,1,16,6,12,-1,-1,weil
8,5,24,-1,16,11,14,1,-1,weil
8,23,3,1,16,12,6,-1,-1,weil
8,24,2,-1,16,14,4,-1,1,weil
8,24,5,-1,16,14,11,1,-1,weil
9,0,21,-1,0,1,15,-1,1,weil
9,2,11,-1,0,4,13,1,-1,constant
9,11,2,-1,0,13,4,1,-1,constant
9,21,0,-1,0,15,1,-1,1,weil
10,0,19,1,17,1,24,1,1,weil
10,0,22,1,17,1,23,1,1,weil
10,1,14,1,17,7,18,-1,-1,weil
10,2,13,-1,17,4,20,-1,1,weil
10,12,19,-1,17,5,24,-1,1,weil
10,12,22,-1,17,5,23,1,-1,weil
10,13,2,-1,17,20,4,-1,1,weil
10,13,18,-1,17,20,2,1,-1,weil
10,14,1,1,17,18,7,-1,-1,weil
10,18,13,-1,17,2,20,1,-1,weil
10,19,0,1,17,24,1,1,1,weil
10,19,12,-1,17,24,5,-1,1,weil
10,22,0,1,17,23,1,1,1,weil
10,22,12,-1,17,23,5,1,-1,weil
11,0,26,1,13,1,26,-1,-1,weil
11,1,15,1,13,7,19,-1,-1,weil
11,1,24,1,13,7,14,-1,-1,weil
11,3,26,-1,13,6,26,-1,1,weil
11,7,12,1,13,10,5,1,1,weil
11,12,7,1,13,5,10,1,1,weil
11,15,1,1,13,19,7,-1,-1,weil
11,16,20,1,13,9,25,-1,-1,constant
11,20,16,1,13,25,9,-1,-1,constant
11,24,1,1,13,14,7,-1,-1,weil
11,26,0,1,13,26,1,-1,-1,weil
11,26,3,-1,13,26,6,-1,1,weil
12,0,21,1,5,1,15,1,1,weil
12,0,24,-1,5,1,14,1,-1,weil
12,3,16,1,5,6,9,-1,-1,constant
12,4,9,-1,5,21,0,1,-1,constant
12,9,4,-1,5,0,21,1,-1,constant
12,10,21,1,5,17,15,1,1,weil
12,10,24,1,5,17,14,-1,-1,weil
12,16,3,1,5,9,6,-1,-1,constant
12,21,0,1,5,15,1,1,1,weil
12,21,10,1,5,15,17,1,1,weil
12,24,0,-1,5,14,1,1,-1,weil
12,24,10,1,5,14,17,-1,-1,weil
13,1,15,1,20,7,19,-1,-1,weil
13,1,26,-1,20,7,26,1,-1,weil
13,5,10,1,20,11,17,1,1,weil
13,6,15,-1,20,3,19,-1,1,weil
13,6,26,-1,20,3,26,1,-1,weil
13,10,5,1,20,17,11,1,1,weil
13,11,14,1,20,13,18,-1,-1,weil
13,11,19,1,20,13,24,-1,-1,weil
13,14,11,1,20,18,13,-1,-1,weil
13,15,1,1,20,19,7,-1,-1,weil
13,15,6,-1,20,19,3,-1,1,weil
13,16,20,1,20,9,25,1,1,weil
13,19,11,1,20,24,13,-1,-1,weil
13,20,16,1,20,25,9,1,1,weil
13,26,1,-1,20,26,7,1,-1,weil
13,26,6,-1,20,26,3,1,-1,weil
14,0,26,1,18,1,26,-1,-1,weil
14,2,16,1,18,4,9,1,1,constant
14,5,10,-1,18,11,17,1,-1,weil
14,6,26,1,18,3,26,1,1,weil
14,10,5,-1,18,17,11,1,-1,weil
14,15,23,1,18,19,12,-1,-1,weil
14,16,2,1,18,9,4,1,1,constant
14,23,15,1,18,12,19,-1,-1,weil
14,26,0,1,18,26,1,-1,-1,weil
14,26,6,1,18,26,3,1,1,weil
15,0,20,1,19,1,25,-1,-1,weil
15,3,13,-1,19,6,20,1,-1,weil
15,3,26,1,19,6,26,1,1,weil
15,7,12,1,19,10,5,-1,-1,constant
15,11,14,-1,19,13,18,-1,1,weil
15,12,7,1,19,5,10,-1,-1,constant
15,12,25,-1,19,5,22,1,-1,constant
15,13,3,-1,19,20,6,1,-1,weil
15,14,11,-1,19,18,13,-1,1,weil
15,14,24,-1,19,18,14,1,-1,weil
15,16,20,-1,19,9,25,-1,1,weil
15,20,0,1,19,25,1,-1,-1,weil
15,20,16,-1,19,25,9,-1,1,weil
15,24,14,-1,19,14,18,1,-1,weil
15,25,12,-1,19,22,5,1,-1,constant
15,26,3,1,19,26,6,1,1,weil
16,0,23,-1,9,1,12,1,-1,weil
16,6,26,1,9,3,26,1,1,constant
16,7,12,-1,9,10,5,1,-1,constant
16,11,14,1,9,13,18,-1,-1,constant
16,12,7,-1,9,5,10,1,-1,constant
16,13,24,-1,9,20,14,-1,1,weil
16,14,11,1,9,18,13,-1,-1,constant
16,15,23,-1,9,19,12,-1,1,weil
16,23,0,-1,9,12,1,1,-1,weil
16,23,15,-1,9,12,19,-1,1,weil
16,24,13,-1,9,14,20,-1,1,weil
16,26,6,1,9,26,3,1,1,constant
17,1,23,1,8,7,12,1,1,weil
17,1,24,1,8,7,14,-1,-1,weil
17,2,20,1,8,4,25,-1,-1,constant
17,3,6,-1,8,6,3,1,-1,weil
17,6,3,-1,8,3,6,1,-1,weil
17,8,18,1,8,16,2,-1,-1,weil
17,18,8,1,8,2,16,-1,-1,weil
17,20,2,1,8,25,4,-1,-1,constant
17,21,22,-1,8,15,23,-1,1,weil
17,22,21,-1,8,23,15,-1,1,weil
17,23,1,1,8,12,7,1,1,weil
17,24,1,1,8,14,7,-1,-1,weil
18,2,24,-1,2,4,14,-1,1,weil
18,3,23,1,2,6,12,-1,-1,weil
18,4,9,1,2,21,0,-1,-1,weil
18,9,4,1,2,0,21,-1,-1,weil
18,9,22,1,2,0,23,-1,-1,weil
18,10,24,-1,2,17,14,1,-1,weil
18,22,9,1,2,23,0,-1,-1,weil
18,23,3,1,2,12,6,-1,-1,weil
18,24,2,-1,2,14,4,-1,1,weil
18,24,10,-1,2,14,17,1,-1,weil
19,1,23,1,24,7,12,1,1,constant
19,2,20,1,24,4,25,1,1,constant
19,2,26,-1,24,4,26,-1,1,constant
19,5,10,-1,24,11,17,-1,1,weil
19,5,22,1,24,11,23,1,1,weil
19,6,20,1,24,3,25,-1,-1,constant
19,6,26,1,24,3,26,1,1,constant
19,10,5,-1,24,17,11,-1,1,weil
19,10,21,1,24,17,15,1,1,weil
19,13,17,1,24,20,8,1,1,weil
19,14,17,-1,24,18,8,1,-1,weil
19,17,13,1,24,8,20,1,1,weil
19,17,14,-1,24,8,18,1,-1,weil
19,20,2,1,24,25,4,1,1,constant
19,20,6,1,24,25,3,-1,-1,constant
19,21,10,1,24,15,17,1,1,weil
19,21,22,-1,24,15,23,1,-1,weil
19,22,5,1,24,23,11,1,1,weil
19,22,21,-1,24,23,15,1,-1,weil
19,23,1,1,24,12,7,1,1,constant
19,26,2,-1,24,26,4,-1,1,constant
19,26,6,1,24,26,3,1,1,constant
20,1,15,-1,25,7,19,1,-1,weil
20,3,19,-1,25,6,24,-1,1,constant
20,3,26,1,25,6,26,1,1,constant
20,11,17,1,25,13,8,1,1,constant
20,13,24,-1,25,20,14,-1,1,weil
20,15,1,-1,25,19,7,1,-1,weil
20,17,11,1,25,8,13,1,1,constant
20,19,3,-1,25,24,6,-1,1,constant
20,21,22,1,25,15,23,1,1,weil
20,22,21,1,25,23,15,1,1,weil
20,24,13,-1,25,14,20,-1,1,weil
20,26,3,1,25,26,6,1,1,constant
21,5,12,-1,15,11,5,-1,1,weil
21,5,24,1,15,11,14,-1,-1,weil
21,12,5,-1,15,5,11,-1,1,weil
21,12,19,-1,15,5,24,-1,1,weil
21,17,26,1,15,8,26,1,1,weil
21,19,12,-1,15,24,5,-1,1,weil
21,19,24,1,15,24,14,-1,-1,weil
21,20,23,-1,15,25,12,-1,1,weil
21,23,20,-1,15,12,25,-1,1,weil
21,24,5,1,15,14,11,-1,-1,weil
21,24,19,1,15,14,24,-1,-1,weil
21,26,17,1,15,26,8,1,1,weil
22,4,25,-1,23,21,22,1,-1,weil
22,7,10,-1,23,10,17,-1,1,weil
22,7,19,-1,23,10,24,-1,1,weil
22,10,7,-1,23,17,10,-1,1,weil
22,10,24,1,23,17,14,-1,-1,weil
22,17,26,1,23,8,26,1,1,weil
22,18,25,-1,23,2,22,-1,1,weil
22,19,7,-1,23,24,10,-1,1,weil
22,19,24,1,23,24,14,-1,-1,weil
22,20,23,-1,23,25,12,-1,1,weil
22,23,20,-1,23,12,25,-1,1,weil
22,24,10,1,23,14,17,-1,-1,weil
22,24,19,1,23,14,24,-1,-1,weil
22,25,4,-1,23,22,21,1,-1,weil
22,25,18,-1,23,22,2,-1,1,weil
22,26,17,1,23,26,8,1,1,weil
23,2,16,1,12,4,9,-1,-1,weil
23,6,26,-1,12,3,26,1,-1,weil
