i,j,proj,proj_prime,defect,sign
0,1,0,0,0,-1
1,0,0,0,0,-1
0,2,0,0,0,-1
2,0,0,0,0,-1
0,3,0,0,0,-1
3,0,0,0,0,-1
0,13,0,0,0,-1
13,0,0,0,0,-1
0,14,2,0,1,-1
14,0,0,0,0,-1
0,15,2,0,1,-1
15,0,0,0,0,-1
0,16,0,0,0,-1
16,0,0,2,2,-1
0,17,0,0,0,-1
17,0,0,0,0,-1
0,18,0,0,0,-1
18,0,0,2,2,-1
0,19,0,2,2,-1
19,0,2,0,1,-1
0,20,0,2,2,-1
20,0,2,0,1,-1
0,21,0,0,0,-1
21,0,0,0,0,-1
1,2,0,0,0,-1
2,1,0,0,0,-1
1,3,0,0,0,-1
3,1,0,0,0,-1
1,4,0,0,0,-1
4,1,2,0,1,-1
1,5,0,2,2,-1
5,1,2,0,1,-1
1,6,0,0,0,-1
6,1,2,0,1,-1
1,7,0,2,2,-1
7,1,2,0,1,-1
1,8,0,2,2,-1
8,1,2,0,1,-1
1,9,0,0,0,-1
9,1,0,0,0,-1
1,10,2,2,0,-1
10,1,0,0,0,-1
1,11,0,2,2,-1
11,1,0,0,0,-1
1,12,2,0,1,-1
12,1,0,0,0,-1
2,3,0,0,0,-1
3,2,0,0,0,-1
2,31,0,0,0,-1
31,2,0,0,0,-1
2,32,0,0,0,-1
32,2,0,0,0,-1
2,33,2,0,1,-1
33,2,0,0,0,-1
2,34,2,0,1,-1
34,2,0,0,0,-1
2,35,0,0,0,-1
35,2,2,0,1,-1
2,36,0,0,0,-1
36,2,0,0,0,-1
2,37,0,0,0,-1
37,2,0,0,0,-1
2,38,0,0,0,-1
38,2,0,0,0,-1
2,39,0,0,0,-1
39,2,2,0,1,-1
3,22,0,0,0,-1
22,3,0,0,0,-1
3,23,0,0,0,-1
23,3,0,0,0,-1
3,24,0,0,0,-1
24,3,0,0,0,-1
3,25,2,0,1,-1
25,3,0,0,0,-1
3,26,0,0,0,-1
26,3,0,0,0,-1
3,27,2,0,1,-1
27,3,0,0,0,-1
3,28,0,0,0,-1
28,3,0,0,0,-1
3,29,2,0,1,-1
29,3,0,0,0,-1
3,30,2,0,1,-1
30,3,0,0,0,-1
4,7,2,2,0,-1
7,4,0,0,0,-1
4,10,2,0,1,-1
10,4,0,2,2,-1
4,13,0,2,2,-1
13,4,2,0,1,-1
4,16,0,0,0,-1
16,4,0,0,0,-1
4,19,0,0,0,-1
19,4,0,2,2,-1
4,22,0,2,2,-1
22,4,2,0,1,-1
4,25,0,0,0,-1
25,4,0,0,0,-1
4,28,0,0,0,-1
28,4,0,0,0,-1
4,31,0,0,0,-1
31,4,0,0,0,-1
4,34,0,0,0,-1
34,4,0,0,0,-1
4,37,0,0,0,-1
37,4,0,0,0,-1
5,8,2,0,1,-1
8,5,0,0,0,-1
5,11,2,0,1,-1
11,5,0,0,0,-1
5,13,0,0,0,-1
13,5,0,0,0,-1
5,16,0,2,2,-1
16,5,2,0,1,-1
5,19,0,0,0,-1
19,5,2,0,1,-1
5,23,0,0,0,-1
23,5,0,0,0,-1
5,26,0,2,2,-1
26,5,2,0,1,-1
5,29,0,0,0,-1
29,5,2,0,1,-1
5,33,0,0,0,-1
33,5,0,0,0,-1
5,36,0,0,0,-1
36,5,0,2,2,-1
5,39,0,0,0,-1
39,5,0,0,0,-1
6,9,2,0,1,-1
9,6,0,0,0,-1
6,12,0,0,0,-1
12,6,0,0,0,-1
6,13,0,0,0,-1
13,6,2,2,0,-1
6,16,0,0,0,-1
16,6,2,2,0,-1
6,19,0,0,0,-1
19,6,2,0,1,-1
6,24,0,0,0,-1
24,6,2,0,1,-1
6,27,0,0,0,-1
27,6,0,0,0,-1
6,30,0,0,0,-1
30,6,0,2,2,-1
6,32,0,2,2,-1
32,6,0,0,0,-1
6,35,2,0,1,-1
35,6,0,0,0,-1
6,38,2,2,0,-1
38,6,0,0,0,-1
7,10,0,0,0,-1
10,7,2,0,1,-1
7,14,0,0,0,-1
14,7,0,2,2,-1
7,17,0,0,0,-1
17,7,0,0,0,-1
7,20,0,0,0,-1
20,7,0,2,2,-1
7,23,0,0,0,-1
