N12_vertex,slope_m,intercept_b,phase_points,H_vertices_in_coset
4,inf,0,"(0,0); (0,1); (0,2)",1 2 3 7 8 9 10 11 12
5,inf,1,"(1,0); (1,1); (1,2)",19 20 21 28 29 30 37 38 39
6,inf,2,"(2,0); (2,1); (2,2)",16 17 18 25 26 27 34 35 36
13,0,0,"(0,0); (1,0); (2,0)",1 2 3 16 17 18 19 20 21
14,0,1,"(0,1); (1,1); (2,1)",7 8 9 25 26 27 37 38 39
15,0,2,"(0,2); (1,2); (2,2)",10 11 12 28 29 30 34 35 36
22,2,0,"(0,0); (1,2); (2,1)",1 2 3 25 26 27 28 29 30
23,2,1,"(0,1); (1,0); (2,2)",7 8 9 19 20 21 34 35 36
24,2,2,"(0,2); (1,1); (2,0)",10 11 12 16 17 18 37 38 39
31,1,0,"(0,0); (1,1); (2,2)",1 2 3 34 35 36 37 38 39
32,1,1,"(0,1); (1,2); (2,0)",7 8 9 16 17 18 28 29 30
33,1,2,"(0,2); (1,0); (2,1)",10 11 12 19 20 21 25 26 27
