N12_vertex,line_slope_m,line_intercept_b,state_vector
1,inf,0,"[+1.000000+0.000000j, +0.000000+0.000000j, +0.000000+0.000000j]"
2,inf,1,"[+0.000000+0.000000j, +1.000000+0.000000j, +0.000000+0.000000j]"
3,inf,2,"[+0.000000+0.000000j, +0.000000+0.000000j, +1.000000+0.000000j]"
13,0,0,"[+0.577350-0.000000j, +0.577350-0.000000j, +0.577350-0.000000j]"
14,0,1,"[+0.577350+0.000000j, -0.288675+0.500000j, -0.288675-0.500000j]"
15,0,2,"[+0.577350+0.000000j, -0.288675-0.500000j, -0.288675+0.500000j]"
16,2,0,"[+0.288675+0.500000j, +0.288675-0.500000j, +0.288675-0.500000j]"
17,2,1,"[+0.288675+0.500000j, +0.288675+0.500000j, -0.577350+0.000000j]"
18,2,2,"[-0.577350-0.000000j, +0.288675-0.500000j, -0.577350-0.000000j]"
19,1,0,"[+0.000000+0.577350j, -0.500000-0.288675j, -0.500000-0.288675j]"
20,1,1,"[-0.000000+0.577350j, +0.500000-0.288675j, -0.000000+0.577350j]"
21,1,2,"[-0.000000+0.577350j, -0.000000+0.577350j, +0.500000-0.288675j]"
