N12_vertex,slope,intercept,state_vector
4,inf,0,"[+0.577350+0.000000j, +0.577350-0.000000j, +0.577350-0.000000j]"
5,inf,1,"[+0.577350-0.000000j, -0.288675-0.500000j, -0.288675+0.500000j]"
6,inf,2,"[+0.577350-0.000000j, -0.288675+0.500000j, -0.288675-0.500000j]"
13,0,0,"[+1.000000+0.000000j, +0.000000+0.000000j, +0.000000+0.000000j]"
14,0,1,"[+0.000000+0.000000j, +1.000000+0.000000j, +0.000000+0.000000j]"
15,0,2,"[+0.000000+0.000000j, +0.000000+0.000000j, +1.000000+0.000000j]"
22,2,0,"[+0.577350+0.000000j, +0.577350+0.000000j, -0.288675+0.500000j]"
23,2,1,"[+0.577350+0.000000j, -0.288675-0.500000j, -0.288675-0.500000j]"
24,2,2,"[+0.577350+0.000000j, -0.288675+0.500000j, +0.577350+0.000000j]"
31,1,0,"[+0.577350+0.000000j, -0.288675-0.500000j, +0.577350+0.000000j]"
32,1,1,"[+0.577350-0.000000j, +0.577350-0.000000j, -0.288675-0.500000j]"
33,1,2,"[+0.577350-0.000000j, -0.288675+0.500000j, -0.288675+0.500000j]"
