block,tE,tF,size,flags
0,0,0,4,0 1 78 79
1,1,0,4,2 3 72 73
2,2,0,4,4 5 74 75
3,0,1,4,6 7 76 77
4,3,1,4,8 9 42 43
5,4,1,4,10 11 44 45
6,5,2,4,12 13 46 47
7,3,2,4,14 15 40 41
8,2,2,4,16 17 150 151
9,5,3,4,18 19 144 145
10,1,3,4,20 21 146 147
11,4,3,4,22 23 148 149
12,6,4,4,24 25 114 115
13,7,4,4,26 27 116 117
14,2,4,4,28 29 118 119
15,0,5,4,30 31 112 113
16,6,5,4,32 33 66 67
17,8,5,4,34 35 68 69
18,7,6,4,36 37 70 71
19,1,6,4,38 39 64 65
20,8,6,4,48 49 182 183
21,9,7,4,50 51 176 177
22,0,7,4,52 53 178 179
23,10,7,4,54 55 180 181
24,9,8,4,56 57 122 123
25,7,8,4,58 59 124 125
26,4,8,4,60 61 126 127
27,7,9,4,62 63 120 121
28,3,9,4,80 81 186 187
29,10,9,4,82 83 188 189
30,9,10,4,84 85 190 191
31,5,10,4,86 87 184 185
32,8,10,4,88 89 158 159
33,6,11,4,90 91 152 153
34,5,11,4,92 93 154 155
35,10,11,4,94 95 156 157
36,9,12,4,96 97 130 131
37,11,12,4,98 99 132 133
38,2,12,4,100 101 134 135
39,3,13,4,102 103 128 129
40,11,13,4,104 105 162 163
41,8,13,4,106 107 164 165
42,6,14,4,108 109 166 167
43,11,14,4,110 111 160 161
44,4,14,4,136 137 174 175
45,1,15,4,138 139 168 169
46,11,15,4,140 141 170 171
47,10,15,4,142 143 172 173
