tV,tE,tF,swapC1,swapC2
0,0,0,0,1
0,0,1,0,3
0,0,5,1,5
0,0,7,3,5
0,2,0,0,1
0,2,2,0,2
0,2,4,1,7
0,2,12,2,7
0,4,1,0,3
0,4,3,0,6
0,4,8,3,7
0,4,14,6,7
0,5,2,0,2
0,5,3,0,6
0,5,10,2,5
0,5,11,5,6
0,6,4,1,7
0,6,5,1,5
0,6,11,5,6
0,6,14,6,7
0,9,7,3,5
0,9,8,3,7
0,9,10,2,5
0,9,12,2,7
1,0,0,0,1
1,0,1,0,3
1,0,5,1,5
1,0,7,3,5
1,1,0,0,1
1,1,3,0,6
1,1,6,1,4
1,1,15,4,6
1,3,1,0,3
1,3,2,0,2
1,3,9,3,4
1,3,13,2,4
1,5,2,0,2
1,5,3,0,6
1,5,10,2,5
1,5,11,5,6
1,8,5,1,5
1,8,6,1,4
1,8,10,2,5
1,8,13,2,4
1,10,7,3,5
1,10,9,3,4
1,10,11,5,6
1,10,15,4,6
2,1,0,0,1
2,1,3,0,6
2,1,6,1,4
2,1,15,4,6
2,2,0,0,1
2,2,2,0,2
2,2,4,1,7
2,2,12,2,7
2,3,1,0,3
2,3,2,0,2
2,3,9,3,4
2,3,13,2,4
2,4,1,0,3
2,4,3,0,6
2,4,8,3,7
2,4,14,6,7
2,7,4,1,7
2,7,6,1,4
2,7,8,3,7
2,7,9,3,4
2,11,12,2,7
2,11,13,2,4
2,11,14,6,7
2,11,15,4,6
3,6,4,1,7
3,6,5,1,5
3,6,11,5,6
3,6,14,6,7
3,7,4,1,7
3,7,6,1,4
3,7,8,3,7
3,7,9,3,4
3,8,5,1,5
3,8,6,1,4
3,8,10,2,5
3,8,13,2,4
3,9,7,3,5
3,9,8,3,7
3,9,10,2,5
3,9,12,2,7
3,10,7,3,5
3,10,9,3,4
3,10,11,5,6
3,10,15,4,6
3,11,12,2,7
3,11,13,2,4
3,11,14,6,7
3,11,15,4,6
