u,v,gen,cocycle_Z3_exp
0,1,g2,0
0,2,g3,0
0,3,g5,0
0,4,g8,0
0,4,g9,0
1,5,g2,0
1,6,g3,0
1,7,g5,0
1,8,g8,0
1,8,g9,0
2,6,g2,0
2,9,g3,0
2,10,g5,0
2,11,g8,0
2,11,g9,0
3,7,g2,0
3,12,g3,0
3,13,g5,0
3,14,g8,0
3,14,g9,0
4,8,g2,0
4,11,g3,0
4,15,g5,0
4,0,g8,0
4,0,g9,0
5,0,g2,0
5,16,g3,0
5,17,g5,0
5,18,g8,0
5,18,g9,0
6,16,g2,0
6,19,g3,0
6,20,g5,0
6,21,g8,0
6,21,g9,0
7,17,g2,0
7,22,g3,0
7,23,g5,0
7,24,g8,0
7,24,g9,0
8,18,g2,0
8,21,g3,0
8,25,g5,0
8,1,g8,0
8,1,g9,0
9,19,g2,0
9,0,g3,0
9,12,g5,1
9,26,g8,0
9,26,g9,0
10,20,g2,0
10,3,g3,2
10,27,g5,0
10,28,g8,0
10,28,g9,0
11,21,g2,0
11,26,g3,0
11,29,g5,0
11,2,g8,0
11,2,g9,0
12,22,g2,0
12,10,g3,1
12,30,g5,0
12,31,g8,0
12,31,g9,0
13,23,g2,0
13,32,g3,0
13,0,g5,0
13,15,g8,0
13,15,g9,0
14,24,g2,0
14,31,g3,0
14,4,g5,0
14,3,g8,0
14,3,g9,0
15,25,g2,0
15,33,g3,0
15,14,g5,0
15,13,g8,0
15,13,g9,0
16,2,g2,0
16,34,g3,0
16,35,g5,0
16,36,g8,0
16,36,g9,0
17,3,g2,0
17,37,g3,0
17,32,g5,2
17,38,g8,0
17,38,g9,0
18,4,g2,0
18,36,g3,0
18,33,g5,2
18,5,g8,0
18,5,g9,0
19,34,g2,0
19,1,g3,0
19,22,g5,1
19,39,g8,0
19,39,g9,0
20,35,g2,0
20,7,g3,2
20,40,g5,0
20,41,g8,0
20,41,g9,0
21,36,g2,0
21,39,g3,0
21,42,g5,0
21,6,g8,0
21,6,g9,0
22,37,g2,0
22,20,g3,1
22,43,g5,0
22,44,g8,0
22,44,g9,0
23,32,g2,2
23,13,g3,1
23,1,g5,0
23,25,g8,0
23,25,g9,0
24,38,g2,0
24,44,g3,0
24,8,g5,0
24,7,g8,0
24,7,g9,0
25,33,g2,2
25,15,g3,1
25,24,g5,0
25,23,g8,0
25,23,g9,0
26,39,g2,0
26,4,g3,0
26,45,g5,0
26,9,g8,0
26,9,g9,0
27,40,g2,0
27,46,g3,0
27,2,g5,0
27,29,g8,0
27,29,g9,0
28,41,g2,0
28,14,g3,2
28,11,g5,0
28,10,g8,0
28,10,g9,0
29,42,g2,0
29,47,g3,0
29,28,g5,0
29,27,g8,0
29,27,g9,0
30,43,g2,0
30,48,g3,0
30,9,g5,2
30,45,g8,2
30,45,g9,2
31,44,g2,0
31,28,g3,1
31,26,g5,2
31,12,g8,0
31,12,g9,0
32,13,g2,1
32,23,g3,2
32,5,g5,1
32,33,g8,0
32,33,g9,0
33,15,g2,1
33,25,g3,2
33,38,g5,1
33,32,g8,0
33,32,g9,0
34,9,g2,0
34,5,g3,0
34,37,g5,1
34,49,g8,0
34,49,g9,0
35,10,g2,0
35,17,g3,2
35,46,g5,2
35,50,g8,0
35,50,g9,0
36,11,g2,0
36,49,g3,0
36,47,g5,2
36,16,g8,0
36,16,g9,0
37,12,g2,0
37,35,g3,1
37,48,g5,2
37,51,g8,0
37,51,g9,0
38,14,g2,0
38,51,g3,0
38,18,g5,0
38,17,g8,0
38,17,g9,0
39,49,g2,0
39,8,g3,0
39,52,g5,0
39,19,g8,0
39,19,g9,0
40,46,g2,2
40,27,g3,1
40,6,g5,0
40,42,g8,0
40,42,g9,0
41,50,g2,0
41,24,g3,2
41,21,g5,0
41,20,g8,0
41,20,g9,0
42,47,g2,2
42,29,g3,1
42,41,g5,0
42,40,g8,0
42,40,g9,0
43,48,g2,2
43,30,g3,1
43,19,g5,2
43,52,g8,2
43,52,g9,2
44,51,g2,0
44,41,g3,1
44,39,g5,2
44,22,g8,0
44,22,g9,0
45,52,g2,0
45,53,g3,0
45,31,g5,1
45,30,g8,1
45,30,g9,1
46,27,g2,1
46,40,g3,2
46,16,g5,1
46,47,g8,0
46,47,g9,0
47,29,g2,1
47,42,g3,2
47,50,g5,1
47,46,g8,0
47,46,g9,0
48,30,g2,1
48,43,g3,2
48,34,g5,0
48,53,g8,2
48,53,g9,2
49,26,g2,0
49,18,g3,0
49,53,g5,2
49,34,g8,0
49,34,g9,0
50,28,g2,0
50,38,g3,2
50,36,g5,0
50,35,g8,0
50,35,g9,0
51,31,g2,0
51,50,g3,1
51,49,g5,2
51,37,g8,0
51,37,g9,0
52,53,g2,2
52,45,g3,1
52,44,g5,1
52,43,g8,1
52,43,g9,1
53,45,g2,1
53,52,g3,2
53,51,g5,2
53,48,g8,1
53,48,g9,1
