edge_index,v_i,v_j,v_i_coords,v_j_coords,root_index,root_coords,we6_orbit_id,we6_orbit_size
0,0,1,"(0, 0, 0, 1)","(0, 0, 1, 0)",112,"(-1, -1, -1, -1, -1, -1, -1, -1)",0,27
1,0,2,"(0, 0, 0, 1)","(0, 0, 1, 1)",208,"(-1, -1, -1, -1, -1, -1, 1, 1)",5,27
2,0,3,"(0, 0, 0, 1)","(0, 0, 1, 2)",111,"(0, 0, 0, 0, 0, 0, -2, -2)",10,1
3,0,13,"(0, 0, 0, 1)","(1, 0, 0, 0)",108,"(0, 0, 0, 0, 0, 0, 2, 2)",8,1
4,0,14,"(0, 0, 0, 1)","(1, 0, 0, 1)",143,"(1, 1, 1, 1, 1, 1, -1, -1)",6,27
5,0,15,"(0, 0, 0, 1)","(1, 0, 0, 2)",239,"(1, 1, 1, 1, 1, 1, 1, 1)",2,27
6,0,16,"(0, 0, 0, 1)","(1, 0, 1, 0)",1,"(2, -2, 0, 0, 0, 0, 0, 0)",3,72
7,0,17,"(0, 0, 0, 1)","(1, 0, 1, 1)",2,"(-2, 2, 0, 0, 0, 0, 0, 0)",3,72
8,0,18,"(0, 0, 0, 1)","(1, 0, 1, 2)",5,"(2, 0, -2, 0, 0, 0, 0, 0)",3,72
9,0,19,"(0, 0, 0, 1)","(1, 0, 2, 0)",6,"(-2, 0, 2, 0, 0, 0, 0, 0)",3,72
10,0,20,"(0, 0, 0, 1)","(1, 0, 2, 1)",9,"(2, 0, 0, -2, 0, 0, 0, 0)",3,72
11,0,21,"(0, 0, 0, 1)","(1, 0, 2, 2)",10,"(-2, 0, 0, 2, 0, 0, 0, 0)",3,72
12,1,2,"(0, 0, 1, 0)","(0, 0, 1, 1)",13,"(2, 0, 0, 0, -2, 0, 0, 0)",3,72
13,1,3,"(0, 0, 1, 0)","(0, 0, 1, 2)",14,"(-2, 0, 0, 0, 2, 0, 0, 0)",3,72
14,1,4,"(0, 0, 1, 0)","(0, 1, 0, 0)",20,"(2, 0, 0, 0, 0, 0, 2, 0)",5,27
15,1,5,"(0, 0, 1, 0)","(0, 1, 0, 1)",24,"(2, 0, 0, 0, 0, 0, 0, 2)",2,27
16,1,6,"(0, 0, 1, 0)","(0, 1, 0, 2)",44,"(0, 2, 0, 0, 0, 0, 2, 0)",5,27
17,1,7,"(0, 0, 1, 0)","(0, 1, 1, 0)",48,"(0, 2, 0, 0, 0, 0, 0, 2)",2,27
18,1,8,"(0, 0, 1, 0)","(0, 1, 1, 1)",64,"(0, 0, 2, 0, 0, 0, 2, 0)",5,27
19,1,9,"(0, 0, 1, 0)","(0, 1, 1, 2)",68,"(0, 0, 2, 0, 0, 0, 0, 2)",2,27
20,1,10,"(0, 0, 1, 0)","(0, 1, 2, 0)",80,"(0, 0, 0, 2, 0, 0, 2, 0)",5,27
21,1,11,"(0, 0, 1, 0)","(0, 1, 2, 1)",84,"(0, 0, 0, 2, 0, 0, 0, 2)",2,27
22,1,12,"(0, 0, 1, 0)","(0, 1, 2, 2)",92,"(0, 0, 0, 0, 2, 0, 2, 0)",5,27
23,2,3,"(0, 0, 1, 1)","(0, 0, 1, 2)",17,"(2, 0, 0, 0, 0, -2, 0, 0)",1,27
24,2,31,"(0, 0, 1, 1)","(1, 2, 0, 0)",96,"(0, 0, 0, 0, 2, 0, 0, 2)",2,27
25,2,32,"(0, 0, 1, 1)","(1, 2, 0, 1)",100,"(0, 0, 0, 0, 0, 2, 2, 0)",2,27
26,2,33,"(0, 0, 1, 1)","(1, 2, 0, 2)",104,"(0, 0, 0, 0, 0, 2, 0, 2)",12,1
27,2,34,"(0, 0, 1, 1)","(1, 2, 1, 0)",215,"(1, 1, 1, 1, -1, -1, 1, 1)",5,27
28,2,35,"(0, 0, 1, 1)","(1, 2, 1, 1)",219,"(1, 1, 1, -1, 1, -1, 1, 1)",5,27
29,2,36,"(0, 0, 1, 1)","(1, 2, 1, 2)",221,"(1, 1, -1, 1, 1, -1, 1, 1)",5,27
30,2,37,"(0, 0, 1, 1)","(1, 2, 2, 0)",222,"(1, -1, 1, 1, 1, -1, 1, 1)",5,27
31,2,38,"(0, 0, 1, 1)","(1, 2, 2, 1)",223,"(-1, 1, 1, 1, 1, -1, 1, 1)",5,27
32,2,39,"(0, 0, 1, 1)","(1, 2, 2, 2)",227,"(1, 1, 1, -1, -1, 1, 1, 1)",2,27
33,3,22,"(0, 0, 1, 2)","(1, 1, 0, 0)",229,"(1, 1, -1, 1, -1, 1, 1, 1)",2,27
34,3,23,"(0, 0, 1, 2)","(1, 1, 0, 1)",230,"(1, -1, 1, 1, -1, 1, 1, 1)",2,27
