edge_index,word_len,word,v_i,v_j,root_index,root_coords,we6_orbit_id,we6_orbit_size
0,0,(),0,1,112,"(-1, -1, -1, -1, -1, -1, -1, -1)",0,27
6,1,"(0,)",0,16,1,"(2, -2, 0, 0, 0, 0, 0, 0)",3,72
15,1,"(1,)",1,5,24,"(2, 0, 0, 0, 0, 0, 0, 2)",2,27
2,1,"(4,)",0,3,111,"(0, 0, 0, 0, 0, 0, -2, -2)",10,1
13,1,"(5,)",1,3,14,"(-2, 0, 0, 0, 2, 0, 0, 0)",3,72
3,1,"(6,)",0,13,108,"(0, 0, 0, 0, 0, 0, 2, 2)",8,1
14,1,"(7,)",1,4,20,"(2, 0, 0, 0, 0, 0, 2, 0)",5,27
9,2,"(0, 0)",0,19,6,"(-2, 0, 2, 0, 0, 0, 0, 0)",3,72
56,2,"(0, 1)",5,16,30,"(0, -2, 2, 0, 0, 0, 0, 0)",3,72
8,2,"(0, 4)",0,18,5,"(2, 0, -2, 0, 0, 0, 0, 0)",3,72
36,2,"(0, 5)",3,25,233,"(1, 1, -1, -1, 1, 1, 1, 1)",2,27
45,2,"(0, 7)",4,16,18,"(-2, 0, 0, 0, 0, 2, 0, 0)",4,27
16,2,"(1, 1)",1,6,44,"(0, 2, 0, 0, 0, 0, 2, 0)",5,27
34,2,"(1, 4)",3,23,230,"(1, -1, 1, 1, -1, 1, 1, 1)",2,27
21,2,"(1, 5)",1,11,84,"(0, 0, 0, 2, 0, 0, 0, 2)",2,27
55,2,"(1, 6)",5,13,4,"(2, 0, 2, 0, 0, 0, 0, 0)",3,72
54,2,"(4, 1)",5,11,55,"(0, 0, -2, -2, 0, 0, 0, 0)",3,72
1,2,"(4, 4)",0,2,208,"(-1, -1, -1, -1, -1, -1, 1, 1)",5,27
23,2,"(4, 5)",2,3,17,"(2, 0, 0, 0, 0, -2, 0, 0)",1,27
5,2,"(4, 6)",0,15,239,"(1, 1, 1, 1, 1, 1, 1, 1)",2,27
43,2,"(4, 7)",4,10,7,"(-2, 0, -2, 0, 0, 0, 0, 0)",3,72
154,2,"(5, 0)",16,18,110,"(0, 0, 0, 0, 0, 0, -2, 2)",4,27
12,2,"(5, 5)",1,2,13,"(2, 0, 0, 0, -2, 0, 0, 0)",3,72
133,2,"(5, 6)",13,15,89,"(0, 0, 0, 0, 2, -2, 0, 0)",1,27
20,2,"(5, 7)",1,10,80,"(0, 0, 0, 2, 0, 0, 2, 0)",5,27
33,2,"(6, 5)",3,22,229,"(1, 1, -1, 1, -1, 1, 1, 1)",2,27
44,2,"(6, 7)",4,13,0,"(2, 2, 0, 0, 0, 0, 0, 0)",3,72
57,3,"(0, 0, 1)",5,19,33,"(0, 2, 0, -2, 0, 0, 0, 0)",3,72
10,3,"(0, 0, 4)",0,20,9,"(2, 0, 0, -2, 0, 0, 0, 0)",3,72
39,3,"(0, 0, 5)",3,28,236,"(1, -1, -1, 1, 1, 1, 1, 1)",2,27
46,3,"(0, 0, 7)",4,19,29,"(0, 2, -2, 0, 0, 0, 0, 0)",3,72
67,3,"(0, 1, 1)",6,16,34,"(0, -2, 0, 2, 0, 0, 0, 0)",3,72
169,3,"(0, 1, 4)",18,23,165,"(-1, 1, -1, 1, -1, 1, 1, -1)",3,72
118,3,"(0, 1, 5)",11,25,132,"(-1, -1, -1, 1, -1, 1, -1, -1)",6,27
62,3,"(0, 4, 1)",5,36,91,"(0, 0, 0, 0, -2, -2, 0, 0)",1,27
11,3,"(0, 4, 2)",0,21,10,"(-2, 0, 0, 2, 0, 0, 0, 0)",3,72
7,3,"(0, 4, 4)",0,17,2,"(-2, 2, 0, 0, 0, 0, 0, 0)",3,72
41,3,"(0, 4, 5)",3,30,238,"(-1, -1, 1, 1, 1, 1, 1, 1)",2,27
51,3,"(0, 4, 7)",4,34,35,"(0, -2, 0, -2, 0, 0, 0, 0)",3,72
171,3,"(0, 5, 0)",18,37,168,"(1, -1, -1, -1, 1, 1, 1, -1)",3,72
37,3,"(0, 5, 3)",3,26,234,"(1, -1, 1, -1, 1, 1, 1, 1)",2,27
31,3,"(0, 5, 4)",2,38,223,"(-1, 1, 1, 1, 1, -1, 1, 1)",5,27
27,3,"(0, 5, 5)",2,34,215,"(1, 1, 1, 1, -1, -1, 1, 1)",5,27
147,3,"(0, 5, 6)",15,28,191,"(1, 1, 1, 1, 1, -1, -1, 1)",3,72
106,3,"(0, 5, 7)",10,18,58,"(0, 0, -2, 0, 2, 0, 0, 0)",3,72
168,3,"(0, 7, 4)",18,22,164,"(1, -1, -1, 1, -1, 1, 1, -1)",3,72
48,3,"(0, 7, 5)",4,25,15,"(-2, 0, 0, 0, -2, 0, 0, 0)",3,72
35,3,"(1, 1, 4)",3,24,231,"(-1, 1, 1, 1, -1, 1, 1, 1)",2,27
19,3,"(1, 1, 5)",1,9,68,"(0, 0, 2, 0, 0, 0, 0, 2)",2,27
66,3,"(1, 1, 6)",6,13,8,"(2, 0, 0, 2, 0, 0, 0, 0)",3,72
120,3,"(1, 4, 1)",11,32,22,"(-2, 0, 0, 0, 0, 0, 2, 0)",5,27
26,3,"(1, 4, 4)",2,33,104,"(0, 0, 0, 0, 0, 2, 0, 2)",12,1
114,3,"(1, 4, 6)",11,15,36,"(0, 2, 0, 0, 2, 0, 0, 0)",3,72
108,3,"(1, 4, 7)",10,24,120,"(1, -1, -1, -1, 1, -1, -1, -1)",0,27
160,3,"(1, 5, 0)",16,36,154,"(1, -1, 1, -1, 1, -1, 1, -1)",1,27
22,3,"(1, 5, 3)",1,12,92,"(0, 0, 0, 0, 2, 0, 2, 0)",5,27
18,3,"(1, 5, 5)",1,8,64,"(0, 0, 2, 0, 0, 0, 2, 0)",5,27
139,3,"(1, 5, 6)",13,33,88,"(0, 0, 0, 0, 2, 2, 0, 0)",4,27
135,3,"(1, 6, 4)",13,23,56,"(0, 0, 2, 0, 2, 0, 0, 0)",3,72
117,3,"(1, 6, 5)",11,22,130,"(-1, -1, 1, -1, -1, 1, -1, -1)",6,27
64,3,"(4, 1, 1)",6,9,145,"(-1, 1, -1, -1, -1, -1, 1, -1)",1,27
