flag,tV,tE,tF,tC,aV,aE,aF,aC
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
2,1,1,0,0,0,1,1,0
3,2,1,0,0,0,1,1,0
4,0,2,0,0,0,2,0,0
5,2,2,0,0,0,2,0,0
6,0,0,1,0,0,3,1,0
7,1,0,1,0,0,3,1,0
8,1,3,1,0,0,3,2,1
9,2,3,1,0,0,3,2,1
10,0,4,1,0,0,2,3,1
11,2,4,1,0,0,2,3,1
12,0,5,2,0,0,0,2,1
13,1,5,2,0,0,0,2,1
14,1,3,2,0,0,1,3,1
15,2,3,2,0,0,1,3,1
16,0,2,2,0,0,4,4,0
17,2,2,2,0,0,4,4,0
18,0,5,3,0,0,5,5,0
19,1,5,3,0,0,5,5,0
20,1,1,3,0,0,6,4,0
21,2,1,3,0,0,6,4,0
22,0,4,3,0,0,7,5,0
23,2,4,3,0,0,7,5,0
24,0,6,4,1,0,7,6,1
25,3,6,4,1,0,7,6,1
26,2,7,4,1,0,6,7,1
27,3,7,4,1,0,6,7,1
28,0,2,4,1,0,4,6,1
29,2,2,4,1,0,4,6,1
30,0,0,5,1,0,5,7,1
31,1,0,5,1,0,5,7,1
32,0,6,5,1,0,0,8,0
33,3,6,5,1,0,0,8,0
34,1,8,5,1,0,2,9,0
35,3,8,5,1,0,2,9,0
36,2,7,6,1,0,1,8,0
37,3,7,6,1,0,1,8,0
38,1,1,6,1,0,3,9,0
39,2,1,6,1,0,3,9,0
40,1,3,2,2,0,1,3,2
41,2,3,2,2,0,1,3,2
42,2,3,1,3,0,3,2,2
43,1,3,1,3,0,3,2,2
44,0,4,1,3,0,2,3,2
45,2,4,1,3,0,2,3,2
46,1,5,2,2,0,0,2,2
47,0,5,2,2,0,0,2,2
48,1,8,6,1,0,8,4,0
49,3,8,6,1,0,8,4,0
50,0,9,7,3,0,9,5,0
51,3,9,7,3,0,9,5,0
52,0,0,7,3,0,10,4,0
53,1,0,7,3,0,10,4,0
54,1,10,7,3,0,11,5,0
55,3,10,7,3,0,11,5,0
56,0,9,8,3,0,11,10,2
57,3,9,8,3,0,11,10,2
58,2,7,8,3,0,10,11,2
59,3,7,8,3,0,10,11,2
60,0,4,8,3,0,8,10,2
61,2,4,8,3,0,8,10,2
62,2,7,9,3,0,9,11,2
63,3,7,9,3,0,9,11,2
64,2,1,6,4,0,3,9,1
65,1,1,6,4,0,3,9,1
66,0,6,5,5,0,0,8,1
67,3,6,5,5,0,0,8,1
68,3,8,5,5,0,2,9,1
69,1,8,5,5,0,2,9,1
70,2,7,6,4,0,1,8,1
71,3,7,6,4,0,1,8,1
72,2,1,0,1,0,1,1,2
73,1,1,0,1,0,1,1,2
74,0,2,0,1,0,2,0,2
75,2,2,0,1,0,2,0,2
76,1,0,1,3,0,3,1,2
77,0,0,1,3,0,3,1,2
78,0,0,0,1,0,0,0,2
79,1,0,0,1,0,0,0,2
80,1,3,9,3,0,12,6,1
81,2,3,9,3,0,12,6,1
82,1,10,9,3,0,13,7,1
83,3,10,9,3,0,13,7,1
84,0,9,10,5,0,14,6,1
85,3,9,10,5,0,14,6,1
86,0,5,10,5,0,15,7,1
87,1,5,10,5,0,15,7,1
88,1,8,10,5,0,14,10,2
89,3,8,10,5,0,14,10,2
90,0,6,11,5,0,15,11,2
91,3,6,11,5,0,15,11,2
92,0,5,11,5,0,13,10,2
93,1,5,11,5,0,13,10,2
94,1,10,11,5,0,12,11,2
95,3,10,11,5,0,12,11,2
96,0,9,12,2,0,4,8,0
97,3,9,12,2,0,4,8,0
98,2,11,12,2,0,6,9,0
99,3,11,12,2,0,6,9,0
100,0,2,12,2,0,5,8,0
101,2,2,12,2,0,5,8,0
102,1,3,13,2,0,7,9,0
103,2,3,13,2,0,7,9,0
104,2,11,13,2,0,8,0,0
105,3,11,13,2,0,8,0,0
106,1,8,13,2,0,10,1,0
107,3,8,13,2,0,10,1,0
108,0,6,14,6,0,9,0,0
109,3,6,14,6,0,9,0,0
110,2,11,14,6,0,11,1,0
111,3,11,14,6,0,11,1,0
112,1,0,5,5,0,5,7,3
113,0,0,5,5,0,5,7,3
114,0,6,4,7,0,7,6,3
115,3,6,4,7,0,7,6,3
116,3,7,4,7,0,6,7,3
117,2,7,4,7,0,6,7,3
118,0,2,4,7,0,4,6,3
119,2,2,4,7,0,4,6,3
120,2,7,9,4,0,9,11,3
121,3,7,9,4,0,9,11,3
122,3,9,8,7,0,11,10,3
123,0,9,8,7,0,11,10,3
124,2,7,8,7,0,10,11,3
125,3,7,8,7,0,10,11,3
126,2,4,8,7,0,8,10,3
127,0,4,8,7,0,8,10,3
128,2,3,13,4,0,7,9,1
