tE,tF,tC,swapV1,swapV2
0,0,0,0,1
0,0,1,0,1
0,1,0,0,1
0,1,3,0,1
0,5,1,0,1
0,5,5,0,1
0,7,3,0,1
0,7,5,0,1
1,0,0,1,2
1,0,1,1,2
1,3,0,1,2
1,3,6,1,2
1,6,1,1,2
1,6,4,1,2
1,15,4,1,2
1,15,6,1,2
2,0,0,0,2
2,0,1,0,2
2,2,0,0,2
2,2,2,0,2
2,4,1,0,2
2,4,7,0,2
2,12,2,0,2
2,12,7,0,2
3,1,0,1,2
3,1,3,1,2
3,2,0,1,2
3,2,2,1,2
3,9,3,1,2
3,9,4,1,2
3,13,2,1,2
3,13,4,1,2
4,1,0,0,2
4,1,3,0,2
4,3,0,0,2
4,3,6,0,2
4,8,3,0,2
4,8,7,0,2
4,14,6,0,2
4,14,7,0,2
5,2,0,0,1
5,2,2,0,1
5,3,0,0,1
5,3,6,0,1
5,10,2,0,1
5,10,5,0,1
5,11,5,0,1
5,11,6,0,1
6,4,1,0,3
6,4,7,0,3
6,5,1,0,3
6,5,5,0,3
6,11,5,0,3
6,11,6,0,3
6,14,6,0,3
6,14,7,0,3
7,4,1,2,3
7,4,7,2,3
7,6,1,2,3
7,6,4,2,3
7,8,3,2,3
7,8,7,2,3
7,9,3,2,3
7,9,4,2,3
8,5,1,1,3
8,5,5,1,3
8,6,1,1,3
8,6,4,1,3
8,10,2,1,3
8,10,5,1,3
8,13,2,1,3
8,13,4,1,3
9,7,3,0,3
9,7,5,0,3
9,8,3,0,3
9,8,7,0,3
9,10,2,0,3
9,10,5,0,3
9,12,2,0,3
9,12,7,0,3
10,7,3,1,3
10,7,5,1,3
10,9,3,1,3
10,9,4,1,3
10,11,5,1,3
10,11,6,1,3
10,15,4,1,3
10,15,6,1,3
11,12,2,2,3
11,12,7,2,3
11,13,2,2,3
11,13,4,2,3
11,14,6,2,3
11,14,7,2,3
11,15,4,2,3
11,15,6,2,3
