tV,tE,tC,swapF1,swapF2
0,0,0,0,1
0,0,1,0,5
0,0,3,1,7
0,0,5,5,7
0,2,0,0,2
0,2,1,0,4
0,2,2,2,12
0,2,7,4,12
0,4,0,1,3
0,4,3,1,8
0,4,6,3,14
0,4,7,8,14
0,5,0,2,3
0,5,2,2,10
0,5,5,10,11
0,5,6,3,11
0,6,1,4,5
0,6,5,5,11
0,6,6,11,14
0,6,7,4,14
0,9,2,10,12
0,9,3,7,8
0,9,5,7,10
0,9,7,8,12
1,0,0,0,1
1,0,1,0,5
1,0,3,1,7
1,0,5,5,7
1,1,0,0,3
1,1,1,0,6
1,1,4,6,15
1,1,6,3,15
1,3,0,1,2
1,3,2,2,13
1,3,3,1,9
1,3,4,9,13
1,5,0,2,3
1,5,2,2,10
1,5,5,10,11
1,5,6,3,11
1,8,1,5,6
1,8,2,10,13
1,8,4,6,13
1,8,5,5,10
1,10,3,7,9
1,10,4,9,15
1,10,5,7,11
1,10,6,11,15
2,1,0,0,3
2,1,1,0,6
2,1,4,6,15
2,1,6,3,15
2,2,0,0,2
2,2,1,0,4
2,2,2,2,12
2,2,7,4,12
2,3,0,1,2
2,3,2,2,13
2,3,3,1,9
2,3,4,9,13
2,4,0,1,3
2,4,3,1,8
2,4,6,3,14
2,4,7,8,14
2,7,1,4,6
2,7,3,8,9
2,7,4,6,9
2,7,7,4,8
2,11,2,12,13
2,11,4,13,15
2,11,6,14,15
2,11,7,12,14
3,6,1,4,5
3,6,5,5,11
3,6,6,11,14
3,6,7,4,14
3,7,1,4,6
3,7,3,8,9
3,7,4,6,9
3,7,7,4,8
3,8,1,5,6
3,8,2,10,13
3,8,4,6,13
3,8,5,5,10
3,9,2,10,12
3,9,3,7,8
3,9,5,7,10
3,9,7,8,12
3,10,3,7,9
3,10,4,9,15
3,10,5,7,11
3,10,6,11,15
3,11,2,12,13
3,11,4,13,15
3,11,6,14,15
3,11,7,12,14
