ray_index,label,v0,v1,v2,v3
0,"e0",(1+0j),0j,0j,0j
1,"e1",0j,(1+0j),0j,0j
2,"e2",0j,0j,(1+0j),0j
3,"e3",0j,0j,0j,(1+0j)
4,"(0,1,-w^0,w^0)/sqrt3",0j,(0.5773502691896258+0j),(-0.5773502691896258+0j),(0.5773502691896258+0j)
5,"(1,0,-w^0,-w^0)/sqrt3",(0.5773502691896258+0j),0j,(-0.5773502691896258+0j),(-0.5773502691896258+0j)
6,"(1,-w^0,0,w^0)/sqrt3",(0.5773502691896258+0j),(-0.5773502691896258+0j),0j,(0.5773502691896258+0j)
7,"(1,w^0,w^0,0)/sqrt3",(0.5773502691896258+0j),(0.5773502691896258+0j),(0.5773502691896258+0j),0j
8,"(0,1,-w^0,w^1)/sqrt3",0j,(0.5773502691896258+0j),(-0.5773502691896258+0j),(-0.2886751345948128+0.5000000000000001j)
9,"(1,0,-w^0,-w^1)/sqrt3",(0.5773502691896258+0j),0j,(-0.5773502691896258+0j),(0.2886751345948128-0.5000000000000001j)
10,"(1,-w^0,0,w^1)/sqrt3",(0.5773502691896258+0j),(-0.5773502691896258+0j),0j,(-0.2886751345948128+0.5000000000000001j)
11,"(1,w^0,w^1,0)/sqrt3",(0.5773502691896258+0j),(0.5773502691896258+0j),(-0.2886751345948128+0.5000000000000001j),0j
12,"(0,1,-w^0,w^2)/sqrt3",0j,(0.5773502691896258+0j),(-0.5773502691896258+0j),(-0.2886751345948131-0.4999999999999999j)
13,"(1,0,-w^0,-w^2)/sqrt3",(0.5773502691896258+0j),0j,(-0.5773502691896258+0j),(0.2886751345948131+0.4999999999999999j)
14,"(1,-w^0,0,w^2)/sqrt3",(0.5773502691896258+0j),(-0.5773502691896258+0j),0j,(-0.2886751345948131-0.4999999999999999j)
15,"(1,w^0,w^2,0)/sqrt3",(0.5773502691896258+0j),(0.5773502691896258+0j),(-0.2886751345948131-0.4999999999999999j),0j
16,"(0,1,-w^1,w^0)/sqrt3",0j,(0.5773502691896258+0j),(0.2886751345948128-0.5000000000000001j),(0.5773502691896258+0j)
17,"(1,0,-w^1,-w^0)/sqrt3",(0.5773502691896258+0j),0j,(0.2886751345948128-0.5000000000000001j),(-0.5773502691896258+0j)
