ray_index,label,comp,amp,phase_rad,phase_deg
0,"e0",0,1.00000000,0.00000000,0.0000
0,"e0",1,0.00000000,0.00000000,0.0000
0,"e0",2,0.00000000,0.00000000,0.0000
0,"e0",3,0.00000000,0.00000000,0.0000
1,"e1",0,0.00000000,0.00000000,0.0000
1,"e1",1,1.00000000,0.00000000,0.0000
1,"e1",2,0.00000000,0.00000000,0.0000
1,"e1",3,0.00000000,0.00000000,0.0000
2,"e2",0,0.00000000,0.00000000,0.0000
2,"e2",1,0.00000000,0.00000000,0.0000
2,"e2",2,1.00000000,0.00000000,0.0000
2,"e2",3,0.00000000,0.00000000,0.0000
3,"e3",0,0.00000000,0.00000000,0.0000
3,"e3",1,0.00000000,0.00000000,0.0000
3,"e3",2,0.00000000,0.00000000,0.0000
3,"e3",3,1.00000000,0.00000000,0.0000
4,"(0,1,-w^0,w^0)/sqrt3",0,0.00000000,0.00000000,0.0000
4,"(0,1,-w^0,w^0)/sqrt3",1,0.57735027,0.00000000,0.0000
4,"(0,1,-w^0,w^0)/sqrt3",2,0.57735027,3.14159265,180.0000
4,"(0,1,-w^0,w^0)/sqrt3",3,0.57735027,0.00000000,0.0000
5,"(1,0,-w^0,-w^0)/sqrt3",0,0.57735027,0.00000000,0.0000
5,"(1,0,-w^0,-w^0)/sqrt3",1,0.00000000,0.00000000,0.0000
5,"(1,0,-w^0,-w^0)/sqrt3",2,0.57735027,3.14159265,180.0000
5,"(1,0,-w^0,-w^0)/sqrt3",3,0.57735027,3.14159265,180.0000
6,"(1,-w^0,0,w^0)/sqrt3",0,0.57735027,0.00000000,0.0000
6,"(1,-w^0,0,w^0)/sqrt3",1,0.57735027,3.14159265,180.0000
6,"(1,-w^0,0,w^0)/sqrt3",2,0.00000000,0.00000000,0.0000
6,"(1,-w^0,0,w^0)/sqrt3",3,0.57735027,0.00000000,0.0000
7,"(1,w^0,w^0,0)/sqrt3",0,0.57735027,0.00000000,0.0000
7,"(1,w^0,w^0,0)/sqrt3",1,0.57735027,0.00000000,0.0000
7,"(1,w^0,w^0,0)/sqrt3",2,0.57735027,0.00000000,0.0000
7,"(1,w^0,w^0,0)/sqrt3",3,0.00000000,0.00000000,0.0000
