u,qid,twin_bit,gen,cocycle_Z3_exp,orient_index,target_qid,target_twin,v,sheet_id,x,y,z,tx,ty,tz,L11,L12,L21,L22,s_zshift_x,s_zshift_y,q_xy,silent_index,block_guess
0,0,0,g2,0,0,7,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",6,36
0,0,0,g3,0,1,3,0,2,0,0,0,0,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",6,36
0,0,0,g5,0,2,12,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",6,36
0,0,0,g8,0,3,19,0,4,0,0,0,0,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",6,36
0,0,0,g9,0,4,19,0,4,0,0,0,0,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",6,36
1,7,0,g2,0,0,6,0,5,0,0,0,2,0,0,2,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",7,42
1,7,0,g3,0,1,5,0,6,0,0,0,2,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",7,42
1,7,0,g5,0,2,16,0,7,0,0,0,2,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",7,42
1,7,0,g8,0,3,11,0,8,0,0,0,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",7,42
1,7,0,g9,0,4,11,0,8,0,0,0,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",7,42
