qid,twin_bit,gen,orient_index,target_qid,target_twin,v,sheet_id
0,0,g2,0,7,0,1,0
0,0,g3,1,3,0,2,0
0,0,g5,2,12,0,3,0
0,0,g8,3,19,0,4,0
0,0,g9,4,19,0,4,0
7,0,g2,0,6,0,5,0
7,0,g3,1,5,0,6,0
7,0,g5,2,16,0,7,0
7,0,g8,3,11,0,8,0
7,0,g9,4,11,0,8,0
3,0,g2,0,5,0,6,0
3,0,g3,1,2,0,9,0
3,0,g5,2,15,0,10,0
3,0,g8,3,15,1,11,0
3,0,g9,4,15,1,11,0
12,0,g2,0,16,0,7,0
12,0,g3,1,19,1,12,0
12,0,g5,2,22,0,13,0
12,0,g8,3,2,1,14,0
12,0,g9,4,2,1,14,0
19,0,g2,0,11,0,8,0
19,0,g3,1,15,1,11,0
19,0,g5,2,9,0,15,0
19,0,g8,3,0,0,0,0
19,0,g9,4,0,0,0,0
6,0,g2,0,0,0,0,1
6,0,g3,1,8,0,16,1
6,0,g5,2,18,0,17,1
6,0,g8,3,21,0,18,1
6,0,g9,4,21,0,18,1
5,0,g2,0,8,0,16,1
5,0,g3,1,4,0,19,1
5,0,g5,2,20,0,20,1
5,0,g8,3,20,1,21,1
5,0,g9,4,20,1,21,1
16,0,g2,0,18,0,17,0
16,0,g3,1,11,1,22,0
16,0,g5,2,24,0,23,0
16,0,g8,3,4,1,24,0
16,0,g9,4,4,1,24,0
11,0,g2,0,21,0,18,0
11,0,g3,1,20,1,21,0
11,0,g5,2,23,0,25,0
11,0,g8,3,7,0,1,0
11,0,g9,4,7,0,1,0
2,0,g2,0,4,0,19,1
2,0,g3,1,0,0,0,1
2,0,g5,2,19,1,12,1
2,0,g8,3,12,1,26,1
2,0,g9,4,12,1,26,1
15,0,g2,0,20,0,20,0
15,0,g3,1,12,0,3,0
15,0,g5,2,14,0,27,0
15,0,g8,3,3,1,28,0
15,0,g9,4,3,1,28,0
15,1,g2,5,20,1,21,0
15,1,g3,6,12,1,26,0
15,1,g5,7,14,1,29,0
15,1,g8,8,3,0,2,0
15,1,g9,9,3,0,2,0
19,1,g2,5,11,1,22,1
19,1,g3,6,15,0,10,1
19,1,g5,7,9,1,30,1
19,1,g8,8,0,1,31,1
19,1,g9,9,0,1,31,1
22,0,g2,0,24,0,23,1
22,0,g3,1,25,0,32,1
22,0,g5,2,0,0,0,1
22,0,g8,3,9,0,15,1
22,0,g9,4,9,0,15,1
2,1,g2,5,4,1,24,1
2,1,g3,6,0,1,31,1
2,1,g5,7,19,0,4,1
2,1,g8,8,12,0,3,1
2,1,g9,9,12,0,3,1
9,0,g2,0,23,0,25,2
9,0,g3,1,17,0,33,2
9,0,g5,2,2,1,14,2
9,0,g8,3,22,0,13,2
9,0,g9,4,22,0,13,2
8,0,g2,0,3,0,2,2
8,0,g3,1,1,0,34,2
8,0,g5,2,10,0,35,2
8,0,g8,3,10,1,36,2
8,0,g9,4,10,1,36,2
18,0,g2,0,12,0,3,1
18,0,g3,1,21,1,37,1
18,0,g5,2,25,0,32,1
18,0,g8,3,1,1,38,1
18,0,g9,4,1,1,38,1
21,0,g2,0,19,0,4,1
21,0,g3,1,10,1,36,1
21,0,g5,2,17,0,33,1
21,0,g8,3,6,0,5,1
21,0,g9,4,6,0,5,1
4,0,g2,0,1,0,34,2
4,0,g3,1,7,0,1,2
4,0,g5,2,11,1,22,2
4,0,g8,3,16,1,39,2
4,0,g9,4,16,1,39,2
20,0,g2,0,10,0,35,2
20,0,g3,1,16,0,7,2
20,0,g5,2,26,0,40,2
20,0,g8,3,5,1,41,2
20,0,g9,4,5,1,41,2
20,1,g2,5,10,1,36,2
20,1,g3,6,16,1,39,2
20,1,g5,7,26,1,42,2
20,1,g8,8,5,0,6,2
20,1,g9,9,5,0,6,2
11,1,g2,5,21,1,37,2
11,1,g3,6,20,0,20,2
11,1,g5,7,23,1,43,2
11,1,g8,8,7,1,44,2
11,1,g9,9,7,1,44,2
24,0,g2,0,25,0,32,1
24,0,g3,1,22,0,13,1
24,0,g5,2,7,0,1,1
24,0,g8,3,23,0,25,1
24,0,g9,4,23,0,25,1
4,1,g2,5,1,1,38,2
4,1,g3,6,7,1,44,2
4,1,g5,7,11,0,8,2
4,1,g8,8,16,0,7,2
4,1,g9,9,16,0,7,2
23,0,g2,0,17,0,33,3
23,0,g3,1,9,0,15,3
23,0,g5,2,4,1,24,3
23,0,g8,3,24,0,23,3
23,0,g9,4,24,0,23,3
12,1,g2,5,16,1,39,2
12,1,g3,6,19,0,4,2
12,1,g5,7,22,1,45,2
12,1,g8,8,2,0,9,2
12,1,g9,9,2,0,9,2
14,0,g2,0,26,0,40,2
14,0,g3,1,13,0,46,2
14,0,g5,2,3,0,2,2
14,0,g8,3,14,1,29,2
14,0,g9,4,14,1,29,2
3,1,g2,5,5,1,41,3
3,1,g3,6,2,1,14,3
3,1,g5,7,15,1,11,3
3,1,g8,8,15,0,10,3
3,1,g9,9,15,0,10,3
14,1,g2,5,26,1,42,3
14,1,g3,6,13,1,47,3
14,1,g5,7,3,1,28,3
14,1,g8,8,14,0,27,3
14,1,g9,9,14,0,27,3
9,1,g2,5,23,1,43,3
9,1,g3,6,17,1,48,3
9,1,g5,7,2,0,9,3
9,1,g8,8,22,1,45,3
9,1,g9,9,22,1,45,3
0,1,g2,5,7,1,44,3
0,1,g3,6,3,1,28,3
0,1,g5,7,12,1,26,3
0,1,g8,8,19,1,12,3
0,1,g9,9,19,1,12,3
25,0,g2,0,22,0,13,3
25,0,g3,1,24,0,23,3
25,0,g5,2,6,0,5,3
25,0,g8,3,17,0,33,3
25,0,g9,4,17,0,33,3
17,0,g2,0,9,0,15,4
17,0,g3,1,23,0,25,4
17,0,g5,2,1,1,38,4
17,0,g8,3,25,0,32,4
17,0,g9,4,25,0,32,4
1,0,g2,0,2,0,9,3
1,0,g3,1,6,0,5,3
1,0,g5,2,21,1,37,3
1,0,g8,3,18,1,49,3
1,0,g9,4,18,1,49,3
10,0,g2,0,15,0,10,4
10,0,g3,1,18,0,17,4
10,0,g5,2,13,0,46,4
10,0,g8,3,8,1,50,4
10,0,g9,4,8,1,50,4
10,1,g2,5,15,1,11,4
10,1,g3,6,18,1,49,4
10,1,g5,7,13,1,47,4
10,1,g8,8,8,0,16,4
10,1,g9,9,8,0,16,4
21,1,g2,5,19,1,12,3
21,1,g3,6,10,0,35,3
21,1,g5,7,17,1,48,3
21,1,g8,8,6,1,51,3
21,1,g9,9,6,1,51,3
1,1,g2,5,2,1,14,4
1,1,g3,6,6,1,51,4
1,1,g5,7,21,0,18,4
1,1,g8,8,18,0,17,4
1,1,g9,9,18,0,17,4
16,1,g2,5,18,1,49,4
16,1,g3,6,11,0,8,4
16,1,g5,7,24,1,52,4
16,1,g8,8,4,0,19,4
16,1,g9,9,4,0,19,4
26,0,g2,0,13,0,46,3
26,0,g3,1,14,0,27,3
26,0,g5,2,5,0,6,3
26,0,g8,3,26,1,42,3
26,0,g9,4,26,1,42,3
5,1,g2,5,8,1,50,4
5,1,g3,6,4,1,24,4
5,1,g5,7,20,1,21,4
5,1,g8,8,20,0,20,4
5,1,g9,9,20,0,20,4
26,1,g2,5,13,1,47,4
26,1,g3,6,14,1,29,4
26,1,g5,7,5,1,41,4
26,1,g8,8,26,0,40,4
26,1,g9,9,26,0,40,4
23,1,g2,5,17,1,48,5
23,1,g3,6,9,1,30,5
23,1,g5,7,4,0,19,5
23,1,g8,8,24,1,52,5
23,1,g9,9,24,1,52,5
7,1,g2,5,6,1,51,5
7,1,g3,6,5,1,41,5
7,1,g5,7,16,1,39,5
7,1,g8,8,11,1,22,5
7,1,g9,9,11,1,22,5
22,1,g2,5,24,1,52,4
22,1,g3,6,25,1,53,4
22,1,g5,7,0,1,31,4
22,1,g8,8,9,1,30,4
22,1,g9,9,9,1,30,4
13,0,g2,0,14,0,27,5
13,0,g3,1,26,0,40,5
13,0,g5,2,8,0,16,5
13,0,g8,3,13,1,47,5
13,0,g9,4,13,1,47,5
13,1,g2,5,14,1,29,5
13,1,g3,6,26,1,42,5
13,1,g5,7,8,1,50,5
13,1,g8,8,13,0,46,5
13,1,g9,9,13,0,46,5
17,1,g2,5,9,1,30,4
17,1,g3,6,23,1,43,4
17,1,g5,7,1,0,34,4
17,1,g8,8,25,1,53,4
17,1,g9,9,25,1,53,4
18,1,g2,5,12,1,26,5
18,1,g3,6,21,0,18,5
18,1,g5,7,25,1,53,5
18,1,g8,8,1,0,34,5
18,1,g9,9,1,0,34,5
8,1,g2,5,3,1,28,5
8,1,g3,6,1,1,38,5
8,1,g5,7,10,1,36,5
8,1,g8,8,10,0,35,5
8,1,g9,9,10,0,35,5
6,1,g2,5,0,1,31,5
6,1,g3,6,8,1,50,5
6,1,g5,7,18,1,49,5
6,1,g8,8,21,1,37,5
6,1,g9,9,21,1,37,5
24,1,g2,5,25,1,53,5
24,1,g3,6,22,1,45,5
24,1,g5,7,7,1,44,5
24,1,g8,8,23,1,43,5
24,1,g9,9,23,1,43,5
25,1,g2,5,22,1,45,5
25,1,g3,6,24,1,52,5
25,1,g5,7,6,1,51,5
25,1,g8,8,17,1,48,5
25,1,g9,9,17,1,48,5
