flag,pocket,word
0,47,
1,46,
2,45,
3,44,
4,31,
5,30,
6,29,
7,28,
8,16,
9,17,
10,18,
11,19,
12,36,
13,37,
14,38,
15,39,
16,48,
17,49,
18,50,
19,51,
20,52,
21,53,
22,18,2
23,19,2
24,12,2 1
25,34,2 1
26,35,2
27,34,2
28,12,2
29,13,2
30,6,2
31,7,2
32,6,2 1
33,1,2 1
34,0,2
35,1,2
36,35,
37,34,
38,33,
39,32,
40,38,3
41,39,3
42,17,3
43,14,1
44,15,1
45,19,3
46,37,3
47,36,3
48,0,
49,1,
50,2,
51,3,
52,40,
53,41,
54,42,
55,43,
56,2,2
57,3,2
58,3,2 1 0
59,3,2 1
60,2,2 1
61,19,3 2
62,25,2 3
63,24,2 3
64,27,
65,26,
66,8,1 2
67,11,1 2
68,1,2 3
69,0,2 3
70,25,
71,24,
72,4,
73,5,
74,12,
75,13,
76,14,
77,15,
78,6,
79,7,
80,14,1 2
81,17,3 2
82,42,2
83,43,2
84,2,3 2
85,3,3 2
86,8,2
87,9,2
88,9,2 1
89,1,2 3 2
90,8,1
91,11,1
92,8,
93,9,
94,10,
95,11,
96,20,
97,21,
98,22,
99,23,
100,20,1
101,22,1
102,38,3 2
103,22,2 1
104,22,2
105,23,2
106,0,3 2 3
107,23,2 1
108,8,1 3 2
109,11,1 3 2
110,22,3 2 3
111,23,3 2 3
112,7,2 3
113,6,2 3
114,12,2 1 3
115,34,2 1 3
116,34,2 3
117,35,2 3
118,12,2 3
119,13,2 3
120,25,2
121,24,2
122,3,2 3
123,2,2 3
124,35,2 3 2
125,3,2 1 3
126,19,3 2 3
127,2,2 1 3
128,22,2 1 3
129,0,3 2 1
130,20,3
131,21,3
132,23,3
133,22,3
134,20,1 3
135,22,1 3
136,18,2 3 2
137,19,2 3 2
138,26,2 3
139,27,2 3
140,27,2 1 3
141,11,3 2 1
142,10,3 2
143,11,3 2
144,50,3
145,51,3
146,53,3
147,52,3
148,18,2 3
149,19,2 3
150,49,3
151,48,3
152,11,1 3
153,8,1 3
154,8,3
155,9,3
156,11,3
157,10,3
158,9,2 1 3
159,21,2 1
160,22,3 2
161,23,3 2
162,23,2 3
163,22,2 3
164,0,3 2
165,1,3 2
166,23,3 2 1
167,8,1 3 2 3
168,27,2
169,26,2
170,27,2 1
171,23,2 3 2
172,11,3 2 3
173,26,2 1
174,2,2 1 3 2
175,22,3 2 1
176,2,3
177,3,3
178,41,3
179,40,3
180,10,2
181,11,2
182,1,3
183,0,3
184,9,2 3
185,8,2 3
186,14,1 2 3
187,25,2 1
188,24,2 1
189,42,2 3
190,20,2
191,21,2
