u,v,gen,cocycle_Z3_exp,qid_u,qid_v,x_u,y_u,z_u,x_v,y_v,z_v
0,1,g2,0,0,7,0,0,0,0,0,2
0,2,g3,0,0,3,0,0,0,0,2,1
0,3,g5,0,0,12,0,0,0,1,0,0
0,4,g8,0,0,19,0,0,0,1,1,2
0,4,g9,0,0,19,0,0,0,1,1,2
1,5,g2,0,7,6,0,0,2,0,0,1
1,6,g3,0,7,5,0,0,2,0,2,0
1,7,g5,0,7,16,0,0,2,1,0,2
1,8,g8,0,7,11,0,0,2,1,1,1
1,8,g9,0,7,11,0,0,2,1,1,1
2,6,g2,0,3,5,0,2,1,0,2,0
2,9,g3,0,3,2,0,2,1,0,1,2
2,10,g5,0,3,15,0,2,1,1,2,1
2,11,g8,0,3,15,0,2,1,1,2,1
2,11,g9,0,3,15,0,2,1,1,2,1
3,7,g2,0,12,16,1,0,0,1,0,2
3,12,g3,0,12,19,1,0,0,1,1,2
3,13,g5,0,12,22,1,0,0,2,0,0
3,14,g8,0,12,2,1,0,0,0,1,2
3,14,g9,0,12,2,1,0,0,0,1,2
4,8,g2,0,19,11,1,1,2,1,1,1
4,11,g3,0,19,15,1,1,2,1,2,1
4,15,g5,0,19,9,1,1,2,2,1,2
4,0,g8,0,19,0,1,1,2,0,0,0
4,0,g9,0,19,0,1,1,2,0,0,0
5,0,g2,0,6,0,0,0,1,0,0,0
5,16,g3,0,6,8,0,0,1,0,2,2
5,17,g5,0,6,18,0,0,1,1,0,1
5,18,g8,0,6,21,0,0,1,1,1,0
5,18,g9,0,6,21,0,0,1,1,1,0
6,16,g2,0,5,8,0,2,0,0,2,2
6,19,g3,0,5,4,0,2,0,0,1,1
6,20,g5,0,5,20,0,2,0,1,2,0
6,21,g8,0,5,20,0,2,0,1,2,0
6,21,g9,0,5,20,0,2,0,1,2,0
7,17,g2,0,16,18,1,0,2,1,0,1
7,22,g3,0,16,11,1,0,2,1,1,1
7,23,g5,0,16,24,1,0,2,2,0,2
7,24,g8,0,16,4,1,0,2,0,1,1
7,24,g9,0,16,4,1,0,2,0,1,1
8,18,g2,0,11,21,1,1,1,1,1,0
8,21,g3,0,11,20,1,1,1,1,2,0
8,25,g5,0,11,23,1,1,1,2,1,1
8,1,g8,0,11,7,1,1,1,0,0,2
8,1,g9,0,11,7,1,1,1,0,0,2
9,19,g2,0,2,4,0,1,2,0,1,1
9,0,g3,0,2,0,0,1,2,0,0,0
9,12,g5,1,2,19,0,1,2,1,1,2
9,26,g8,0,2,12,0,1,2,1,0,0
9,26,g9,0,2,12,0,1,2,1,0,0
10,20,g2,0,15,20,1,2,1,1,2,0
