target,target_value,value,pct_error,complexity,expr
alpha,0.0072973525692838015,0.0072962861111573185,0.014614315484385118,6,(log(2) / (90 + 5))
alpha,0.0072973525692838015,0.007299554390097196,0.03017287149674063,7,(sqrt(3) / (240 - e))
alpha,0.0072973525692838015,0.007294048769158502,0.045273955094431016,7,(sqrt(pi) / (240 + 3))
alpha,0.0072973525692838015,0.00730251482316522,0.07074146181654942,8,(sqrt(pi) / (240 + e))
alpha,0.0072973525692838015,0.007291666666666666,0.0779173345833509,5,((7 / 40) / 24)
alpha,0.0072973525692838015,0.00729108825847884,0.08584360897305784,8,(log(phi) / (90 - 24))
alpha,0.0072973525692838015,0.007289801105443845,0.10348223918551563,8,(sqrt(pi) / (240 + pi))
alpha,0.0072973525692838015,0.007289542615500622,0.1070244819477839,7,(inv(10) / (11 + e))
alpha,0.0072973525692838015,0.007286571021962894,0.14774601087920308,7,(inv(24) / (3 + e))
alpha,0.0072973525692838015,0.007308231255564883,0.14907716432493665,6,(sqrt(3) / (240 - 3))
alpha,0.0072973525692838015,0.007309793946012844,0.17049164900447322,6,(log(10) / (45 * 7))
alpha,0.0072973525692838015,0.007283600407480351,0.1884541232300667,8,(sqrt(8) / (240 * phi))
alpha,0.0072973525692838015,0.007283575078162825,0.1888012260633989,6,(log(6) / (240 + 6))
alpha,0.0072973525692838015,0.007312600076026509,0.20894573200269043,7,(sqrt(3) / (240 - pi))
alpha,0.0072973525692838015,0.007313303956032877,0.21859142199348577,6,(log(6) / (240 + 5))
alpha,0.0072973525692838015,0.007315626874700456,0.2504237700337359,6,(log(5) / (5280 / 24))
alpha,0.0072973525692838015,0.007277524401549904,0.2717172775419771,6,(sqrt(3) / (240 - 2))
alpha,0.0072973525692838015,0.00731920526609908,0.2994606140761417,6,(log(40) / (6048 / 12))
alpha,0.0072973525692838015,0.007275132275132275,0.3044980208994837,5,((22 / 6048) * 2)
alpha,0.0072973525692838015,0.007320087176315693,0.3115459588397413,6,(sqrt(40) / (6048 / 7))
alpha,0.0072973525692838015,0.007270988102939939,0.36128809857477456,8,(inv(phi) / (40 + 45))
alpha,0.0072973525692838015,0.007323905247258411,0.36386727546063496,7,(log(6) / (90 * e))
alpha,0.0072973525692838015,0.007324081924454065,0.3662883890628139,6,(log(3) / (240 - 90))
alpha,0.0072973525692838015,0.007324189466551718,0.36776210294236467,7,(sqrt(pi) / (240 + 2))
alpha,0.0072973525692838015,0.007269311744554944,0.38426024318582885,7,((40 - phi) / 5280)
cabibbo_deg,13.04,13.040572139156149,0.004387570215872173,7,(sqrt(24) + (5 + pi))
cabibbo_deg,13.04,13.038747233909156,0.009607101923644465,8,((10 * phi) - pi)
cabibbo_deg,13.04,13.041666666666666,0.012781186094071528,6,(inv(24) + (2 + 11))
cabibbo_deg,13.04,13.041759469228055,0.013492862178338696,6,(log(6) + (90 / 8))
cabibbo_deg,13.04,13.04244364204649,0.018739586246090255,5,(sqrt(240) - sqrt(6))
